map,collision_cell_reached,post_collision_propagation_completed,q_A_final,q_B_final,q_reversed,A_identity_mode_final,B_identity_mode_final,identity_labels_preserved,identity_labels_swapped,final_chi_A,final_chi_B,reflection_position_order,transmission_position_order,left_slot_identity,right_slot_identity,left_slot_mode,right_slot_mode,reflection_spatial_pattern,transmission_spatial_pattern,reflection_valid,collision_step,post_collision_steps
reflection,True,True,-1.0,1.0,True,1,2,True,False,-0.22000000000000003,0.22000000000000003,True,False,A,B,1,2,True,False,True,19,21
transmission,True,True,1,-1,False,1,2,True,False,0.20000000000000007,-0.20000000000000007,False,True,B,A,2,1,False,True,False,19,21
label_exchange_reflection,True,True,-1.0,1.0,True,2,1,False,True,-0.22000000000000003,0.22000000000000003,True,False,A,B,2,1,False,True,False,19,21
transmission_with_label_exchange,True,True,1,-1,False,2,1,False,True,0.20000000000000007,-0.20000000000000007,False,True,B,A,1,2,True,False,False,19,21
