t,H,Q2_re,Q2_im,generator_norm
0,np.float64(76.23618079528838),np.float64(27.540232112090656),np.float64(0.14194554216086752),np.float64(8.191023268152279)
1,np.float64(76.23618079528846),np.float64(27.540232112090635),np.float64(0.14194554216079902),np.float64(8.338569698945903)
2,np.float64(76.23618079528823),np.float64(27.540232112090543),np.float64(0.1419455421608129),np.float64(8.204016757234665)
3,np.float64(76.23618079528822),np.float64(27.540232112090553),np.float64(0.14194554216086464),np.float64(8.684147935830806)
4,np.float64(76.23618079528826),np.float64(27.540232112090553),np.float64(0.14194554216087996),np.float64(8.44946154709909)
5,np.float64(76.23618079528825),np.float64(27.540232112090592),np.float64(0.14194554216100164),np.float64(8.580627158547777)
6,np.float64(76.2361807952883),np.float64(27.54023211209062),np.float64(0.14194554216098965),np.float64(8.760699069807623)
7,np.float64(76.23618079528833),np.float64(27.54023211209064),np.float64(0.1419455421610043),np.float64(8.548521391054923)
8,np.float64(76.23618079528829),np.float64(27.54023211209064),np.float64(0.14194554216108624),np.float64(8.735343297689845)
9,np.float64(76.23618079528819),np.float64(27.540232112090607),np.float64(0.14194554216105593),np.float64(8.707374244677611)
10,np.float64(76.23618079528836),np.float64(27.540232112090674),np.float64(0.14194554216095656),np.float64(8.781158394061187)
11,np.float64(76.23618079528833),np.float64(27.540232112090653),np.float64(0.14194554216094724),np.float64(8.596356334221438)
12,np.float64(76.23618079528819),np.float64(27.540232112090614),np.float64(0.14194554216095367),np.float64(8.754708854615833)
13,np.float64(76.23618079528819),np.float64(27.540232112090628),np.float64(0.14194554216097033),np.float64(8.669785838894777)
14,np.float64(76.23618079528832),np.float64(27.540232112090646),np.float64(0.14194554216095878),np.float64(8.689039871381581)
15,np.float64(76.2361807952883),np.float64(27.54023211209064),np.float64(0.14194554216108157),np.float64(8.619972428226916)
16,np.float64(76.23618079528819),np.float64(27.54023211209057),np.float64(0.14194554216115018),np.float64(8.819742707983636)
17,np.float64(76.23618079528835),np.float64(27.540232112090628),np.float64(0.14194554216115574),np.float64(8.60711253198267)
18,np.float64(76.23618079528819),np.float64(27.540232112090585),np.float64(0.14194554216116018),np.float64(8.747295396182713)
19,np.float64(76.23618079528839),np.float64(27.54023211209064),np.float64(0.14194554216114086),np.float64(8.661898380027683)
20,np.float64(76.23618079528846),np.float64(27.540232112090663),np.float64(0.14194554216112532),np.float64(8.8198532862088)
21,np.float64(76.23618079528856),np.float64(27.540232112090674),np.float64(0.14194554216110777),np.float64(8.444402785238946)
22,np.float64(76.23618079528849),np.float64(27.540232112090653),np.float64(0.14194554216103972),np.float64(8.74590254504821)
23,np.float64(76.23618079528865),np.float64(27.540232112090703),np.float64(0.14194554216095134),np.float64(8.554195833275454)
24,np.float64(76.23618079528865),np.float64(27.540232112090678),np.float64(0.14194554216105842),np.float64(8.709167075071756)
25,np.float64(76.23618079528859),np.float64(27.54023211209066),np.float64(0.14194554216102606),np.float64(8.468448160456683)
26,np.float64(76.2361807952885),np.float64(27.540232112090642),np.float64(0.14194554216093025),np.float64(8.744572190402666)
27,np.float64(76.23618079528838),np.float64(27.54023211209064),np.float64(0.1419455421609993),np.float64(8.452802956399093)
28,np.float64(76.23618079528845),np.float64(27.54023211209064),np.float64(0.14194554216100783),np.float64(8.628873166088955)
29,np.float64(76.2361807952885),np.float64(27.540232112090656),np.float64(0.1419455421610849),np.float64(8.48075020439989)
30,np.float64(76.23618079528835),np.float64(27.54023211209058),np.float64(0.14194554216115976),np.float64(8.709573804910471)
31,np.float64(76.23618079528842),np.float64(27.540232112090635),np.float64(0.14194554216123995),np.float64(8.553144532999546)
32,np.float64(76.23618079528852),np.float64(27.54023211209063),np.float64(0.14194554216117616),np.float64(8.45611467775526)
33,np.float64(76.2361807952886),np.float64(27.54023211209069),np.float64(0.14194554216111888),np.float64(8.50476109075856)
34,np.float64(76.2361807952887),np.float64(27.540232112090756),np.float64(0.14194554216110122),np.float64(8.521310284446548)
35,np.float64(76.2361807952888),np.float64(27.540232112090855),np.float64(0.14194554216108365),np.float64(8.521003709351055)
36,np.float64(76.23618079528876),np.float64(27.540232112090813),np.float64(0.14194554216100608),np.float64(8.438221966582649)
37,np.float64(76.23618079528862),np.float64(27.540232112090777),np.float64(0.14194554216096877),np.float64(8.547150820568621)
38,np.float64(76.23618079528862),np.float64(27.540232112090777),np.float64(0.14194554216090438),np.float64(8.371618903315492)
39,np.float64(76.23618079528852),np.float64(27.54023211209073),np.float64(0.14194554216104205),np.float64(8.597739391251842)
40,np.float64(76.2361807952884),np.float64(27.54023211209069),np.float64(0.14194554216103783),np.float64(8.564559042813515)
41,np.float64(76.23618079528822),np.float64(27.540232112090674),np.float64(0.1419455421611555),np.float64(8.557858206202889)
42,np.float64(76.23618079528812),np.float64(27.540232112090642),np.float64(0.14194554216103525),np.float64(8.41129153307793)
43,np.float64(76.23618079528815),np.float64(27.540232112090624),np.float64(0.1419455421611544),np.float64(8.537783025143264)
44,np.float64(76.23618079528822),np.float64(27.540232112090667),np.float64(0.1419455421611994),np.float64(8.555931137959488)
45,np.float64(76.23618079528819),np.float64(27.540232112090685),np.float64(0.1419455421612305),np.float64(8.633283215071204)
