step,H_total,abs_ZtZ,phase_pair_max_rat_err_q_le_256,phase_pair_median_rat_err_q_le_256,phase_pair_frac_err_lt_1e10,phase_pair_smallest_global_q_tol_1e10
0,0.8596491228070173,4.830894905938759e-16,8.481479150569378e-16,3.5339496460705744e-16,1.0,2.0
1,0.8596491228070186,8.063593153156445e-16,8.481479150569378e-16,2.7755575615628914e-16,1.0,2.0
2,0.8596491228070198,1.2303773955855097e-15,8.481479150569378e-16,2.7755575615628914e-16,1.0,2.0
3,0.8596491228070196,8.659500947708929e-16,1.1102230246251565e-15,2.7755575615628914e-16,1.0,2.0
4,0.8596491228070193,1.0900805296169213e-15,1.1102230246251565e-15,2.7755575615628914e-16,1.0,2.0
5,0.8596491228070196,1.0779953081135127e-15,1.1102230246251565e-15,2.8271597168564594e-16,1.0,2.0
6,0.8596491228070201,1.0576297337700568e-15,1.4135798584282298e-15,5.551115123125783e-16,1.0,2.0
7,0.8596491228070209,1.714419678461198e-15,1.7208456881689926e-15,5.551115123125783e-16,1.0,2.0
8,0.859649122807019,1.9938075653169008e-15,2.275957200481571e-15,5.551115123125783e-16,1.0,2.0
9,0.8596491228070183,2.1656951964858414e-15,2.831068712794149e-15,5.654319433712919e-16,1.0,2.0
10,0.8596491228070176,2.4152311612123055e-15,3.1086244689504383e-15,7.067899292141149e-16,1.0,2.0
11,0.8596491228070179,3.1628310587153944e-15,3.3861802251067274e-15,8.326672684688674e-16,1.0,2.0
12,0.859649122807018,3.4119040716460527e-15,3.6637359812630166e-15,9.188269079783492e-16,1.0,2.0
13,0.8596491228070178,3.3226134994212016e-15,3.6637359812630166e-15,9.895059008997609e-16,1.0,2.0
14,0.8596491228070168,3.354614461525173e-15,3.552713678800501e-15,9.992007221626409e-16,1.0,2.0
15,0.8596491228070162,3.2384110719707228e-15,3.3861802251067274e-15,9.992007221626409e-16,1.0,2.0
16,0.859649122807016,2.538466007448469e-15,2.55351295663786e-15,8.481479150569378e-16,1.0,2.0
17,0.8596491228070158,1.6849413563442163e-15,2.275957200481571e-15,8.326672684688674e-16,1.0,2.0
18,0.8596491228070164,1.0471788657157485e-15,1.9790118017995217e-15,7.216449660063518e-16,1.0,2.0
19,0.8596491228070174,1.4284852257270011e-15,1.7208456881689926e-15,7.774689221355263e-16,1.0,2.0
20,0.8596491228070182,1.2954954025560477e-15,1.7208456881689926e-15,8.326672684688674e-16,1.0,2.0
