step,a2<b2;ab<0,a2<b2;ab>0,a2>b2;ab<0,a2>b2;ab>0
0,0,6,4,0
1,0,6,4,0
2,0,6,4,0
3,6,0,0,4
4,6,0,0,4
5,6,0,0,4
6,6,0,0,4
7,6,0,0,4
8,0,4,6,0
9,0,4,6,0
10,0,4,6,0
11,0,4,6,0
12,0,4,6,0
13,4,0,0,6
14,4,0,0,6
15,4,0,0,6
16,4,0,0,6
17,4,0,0,6
18,0,6,4,0
19,0,6,4,0
20,0,6,4,0
21,0,6,4,0
22,6,0,0,4
23,6,0,0,4
24,6,0,0,4
25,6,0,0,4
26,6,0,0,4
27,0,4,6,0
28,0,4,6,0
29,0,4,6,0
30,0,4,6,0
31,0,4,6,0
32,4,0,0,6
33,4,0,0,6
34,4,0,0,6
35,4,0,0,6
36,4,0,0,6
37,0,6,4,0
38,0,6,4,0
39,0,6,4,0
40,0,6,4,0
41,0,6,4,0
42,6,0,0,4
43,6,0,0,4
44,6,0,0,4
45,6,0,0,4
46,0,4,6,0
47,0,4,6,0
48,0,4,6,0
49,0,4,6,0
50,0,4,6,0
51,4,0,0,6
52,4,0,0,6
53,4,0,0,6
54,4,0,0,6
55,4,0,0,6
56,0,6,4,0
57,0,6,4,0
58,0,6,4,0
59,0,6,4,0
60,0,6,4,0
61,6,0,0,4
62,6,0,0,4
63,6,0,0,4
64,6,0,0,4
65,6,0,0,4
66,0,4,6,0
67,0,4,6,0
68,0,4,6,0
69,0,4,6,0
70,0,4,6,0
71,4,0,0,6
72,4,0,0,6
73,4,0,0,6
74,4,0,0,6
75,0,6,4,0
76,0,6,4,0
77,0,6,4,0
78,0,6,4,0
79,0,6,4,0
80,6,0,0,4
81,6,0,0,4
82,6,0,0,4
83,6,0,0,4
84,6,0,0,4
85,0,4,6,0
86,0,4,6,0
87,0,4,6,0
88,0,4,6,0
89,0,4,6,0
90,4,0,0,6
91,4,0,0,6
92,4,0,0,6
93,4,0,0,6
94,4,0,0,6
95,0,6,4,0
96,0,6,4,0
97,0,6,4,0
98,0,6,4,0
99,6,0,0,4
100,6,0,0,4
101,6,0,0,4
102,6,0,0,4
103,6,0,0,4
104,0,4,6,0
105,0,4,6,0
106,0,4,6,0
107,0,4,6,0
108,0,4,6,0
109,4,0,0,6
110,4,0,0,6
111,4,0,0,6
112,4,0,0,6
113,4,0,0,6
114,0,6,4,0
115,0,6,4,0
116,0,6,4,0
117,0,6,4,0
118,0,6,4,0
119,6,0,0,4
120,6,0,0,4
121,6,0,0,4
122,6,0,0,4
123,6,0,0,4
124,0,4,6,0
125,0,4,6,0
126,0,4,6,0
127,0,4,6,0
128,4,0,0,6
129,4,0,0,6
130,4,0,0,6
131,4,0,0,6
132,4,0,0,6
133,0,6,4,0
134,0,6,4,0
135,0,6,4,0
136,0,6,4,0
137,0,6,4,0
138,6,0,0,4
139,6,0,0,4
140,6,0,0,4
141,6,0,0,4
142,6,0,0,4
143,0,4,6,0
144,0,4,6,0
145,0,4,6,0
146,0,4,6,0
147,0,4,6,0
148,4,0,0,6
149,4,0,0,6
150,4,0,0,6
151,4,0,0,6
152,4,0,0,6
153,0,6,4,0
154,0,6,4,0
155,0,6,4,0
156,0,6,4,0
157,6,0,0,4
158,6,0,0,4
159,6,0,0,4
160,6,0,0,4
161,6,0,0,4
162,0,4,6,0
163,0,4,6,0
164,0,4,6,0
165,0,4,6,0
166,0,4,6,0
167,4,0,0,6
168,4,0,0,6
169,4,0,0,6
170,4,0,0,6
171,4,0,0,6
172,0,6,4,0
173,0,6,4,0
174,0,6,4,0
175,0,6,4,0
176,0,6,4,0
177,6,0,0,4
178,6,0,0,4
179,6,0,0,4
180,6,0,0,4
181,0,4,6,0
182,0,4,6,0
183,0,4,6,0
184,0,4,6,0
185,0,4,6,0
186,4,0,0,6
187,4,0,0,6
188,4,0,0,6
189,4,0,0,6
190,4,0,0,6
191,0,6,4,0
192,0,6,4,0
193,0,6,4,0
194,0,6,4,0
195,0,6,4,0
196,6,0,0,4
197,6,0,0,4
198,6,0,0,4
199,6,0,0,4
200,6,0,0,4
201,0,4,6,0
202,0,4,6,0
203,0,4,6,0
204,0,4,6,0
205,0,4,6,0
206,4,0,0,6
207,4,0,0,6
208,4,0,0,6
209,4,0,0,6
210,0,6,4,0
211,0,6,4,0
212,0,6,4,0
213,0,6,4,0
214,0,6,4,0
215,6,0,0,4
216,6,0,0,4
217,6,0,0,4
218,6,0,0,4
219,6,0,0,4
220,0,4,6,0
221,0,4,6,0
222,0,4,6,0
223,0,4,6,0
224,0,4,6,0
225,4,0,0,6
226,4,0,0,6
227,4,0,0,6
228,4,0,0,6
229,4,0,0,6
230,0,6,4,0
231,0,6,4,0
232,0,6,4,0
233,0,6,4,0
234,6,0,0,4
235,6,0,0,4
236,6,0,0,4
237,6,0,0,4
238,6,0,0,4
239,0,4,6,0
240,0,4,6,0
241,0,4,6,0
242,0,4,6,0
243,0,4,6,0
244,4,0,0,6
245,4,0,0,6
246,4,0,0,6
247,4,0,0,6
248,4,0,0,6
249,0,6,4,0
250,0,6,4,0
251,0,6,4,0
252,0,6,4,0
253,0,6,4,0
254,6,0,0,4
255,6,0,0,4
256,6,0,0,4
257,6,0,0,4
258,6,0,0,4
259,0,4,6,0
260,0,4,6,0
261,0,4,6,0
262,0,4,6,0
263,4,0,0,6
264,4,0,0,6
265,4,0,0,6
266,4,0,0,6
267,4,0,0,6
268,0,6,4,0
269,0,6,4,0
270,0,6,4,0
271,0,6,4,0
272,0,6,4,0
273,6,0,0,4
274,6,0,0,4
275,6,0,0,4
276,6,0,0,4
277,6,0,0,4
278,0,4,6,0
279,0,4,6,0
280,0,4,6,0
281,0,4,6,0
282,0,4,6,0
283,4,0,0,6
284,4,0,0,6
285,4,0,0,6
286,4,0,0,6
287,0,4,4,2
288,0,6,4,0
289,0,6,4,0
290,0,6,4,0
291,0,6,4,0
292,6,0,0,4
293,6,0,0,4
294,6,0,0,4
295,6,0,0,4
296,6,0,0,4
297,0,4,6,0
298,0,4,6,0
299,0,4,6,0
300,0,4,6,0
301,0,4,6,0
302,4,0,0,6
303,4,0,0,6
304,4,0,0,6
305,4,0,0,6
306,4,0,0,6
307,0,6,4,0
308,0,6,4,0
309,0,6,4,0
310,0,6,4,0
311,2,4,4,0
312,6,0,0,4
313,6,0,0,4
314,6,0,0,4
315,6,0,0,4
316,2,4,4,0
317,0,4,6,0
318,0,4,6,0
319,0,4,6,0
320,0,4,4,2
321,4,0,2,4
322,4,0,0,6
323,4,0,0,6
324,4,0,0,6
325,4,2,0,4
326,0,4,4,2
327,0,6,4,0
328,0,6,4,0
329,2,4,4,0
330,2,4,4,0
331,4,2,0,4
332,6,0,0,4
333,4,0,2,4
334,4,0,2,4
335,4,0,2,4
336,2,4,4,0
337,0,4,4,2
338,0,4,4,2
339,0,4,4,2
340,1,3,3,3
341,4,2,2,2
342,4,2,0,4
343,4,2,0,4
344,4,2,0,4
345,4,2,2,2
346,3,2,3,2
347,2,4,4,0
348,2,4,4,0
349,0,4,6,0
350,2,2,3,3
351,2,2,3,3
352,4,0,2,4
353,4,0,0,6
354,4,2,0,4
355,2,3,2,3
356,2,3,2,3
357,0,3,4,3
358,0,6,4,0
359,2,4,4,0
360,3,3,2,2
361,3,3,2,2
362,3,3,0,4
363,4,0,2,4
364,4,1,2,3
365,3,2,3,2
366,3,2,3,2
367,1,4,3,2
368,2,3,3,2
369,2,2,3,3
370,2,2,3,3
371,2,4,3,1
372,3,2,2,3
373,2,2,3,3
374,2,3,2,3
375,2,3,2,3
376,4,1,0,5
377,2,3,2,3
378,2,3,2,3
379,3,3,2,2
380,1,5,4,0
381,3,3,4,0
382,3,3,2,2
383,3,3,2,2
384,4,1,1,4
385,5,0,1,4
386,3,0,3,4
387,3,2,3,2
388,3,4,3,0
389,0,4,5,1
390,0,4,5,1
391,0,4,3,3
392,2,2,3,3
393,4,1,3,2
394,4,1,0,5
395,4,1,0,5
396,5,2,0,3
397,1,2,4,3
398,1,5,4,0
399,0,5,5,0
400,2,3,5,0
