step,H_total,H_parallel,H_perp,A_perp,f,ztz_re,ztz_im,abs_ztz,sigma_est,sigma_exact
0,0.8596491228070173,0.8596491228070173,2.5728858861679743e-32,1.6040217848171435e-16,2.9929488879913177e-32,-1.1102230246251565e-16,-4.701590202029226e-16,4.830894905938759e-16,3.7416573867739418,3.7416573867739418
1,0.8596491228070186,0.8596491228070186,8.453026896537102e-31,9.194034422677078e-16,9.833112920461515e-31,3.3306690738754696e-16,-7.34358073830206e-16,8.063593153156445e-16,3.741657386773939,3.741657386773939
2,0.8596491228070198,0.8596491228070198,1.0455392185592207e-30,1.0225161214177607e-15,1.2162394991403147e-30,8.881784197001252e-16,-8.514503099692723e-16,1.2303773955855097e-15,3.741657386773942,3.741657386773942
3,0.8596491228070196,0.8596491228070196,1.3261953597050506e-30,1.151605557343768e-15,1.5427170510854635e-30,3.885780586188048e-16,-7.738712160261286e-16,8.659500947708929e-16,3.74165738677394,3.74165738677394
4,0.8596491228070193,0.8596491228070193,1.2150692019139071e-30,1.1023017744310797e-15,1.413447847124338e-30,-1.1102230246251565e-16,-1.0844121031258501e-15,1.0900805296169213e-15,3.741657386773944,3.741657386773944
5,0.8596491228070196,0.8596491228070196,1.5773366244531462e-30,1.2559206282457287e-15,1.834860971302635e-30,-1.1102230246251565e-16,-1.0722629960371983e-15,1.0779953081135127e-15,3.741657386773943,3.741657386773943
6,0.8596491228070201,0.8596491228070201,2.9586135805676717e-30,1.72006208625377e-15,3.441652532497077e-30,1.1102230246251565e-16,-1.0517864336976604e-15,1.0576297337700568e-15,3.7416573867739418,3.7416573867739418
7,0.8596491228070209,0.8596491228070209,4.1818679847452246e-30,2.04496160960181e-15,4.864621941438304e-30,-1.1102230246251565e-16,-1.7108211134571958e-15,1.714419678461198e-15,3.7416573867739418,3.7416573867739418
8,0.859649122807019,0.859649122807019,4.9960789428592334e-30,2.2351910305070646e-15,5.8117653008770575e-30,1.1102230246251565e-16,-1.990714107015578e-15,1.9938075653169008e-15,3.7416573867739404,3.7416573867739404
9,0.8596491228070183,0.8596491228070183,6.211103005790069e-30,2.492208459537458e-15,7.225160639388441e-30,0.0,-2.1656951964858414e-15,2.1656951964858414e-15,3.7416573867739413,3.7416573867739413
10,0.8596491228070176,0.8596491228070176,6.033079370454081e-30,2.456232759828368e-15,7.018071920732298e-30,0.0,-2.4152311612123055e-15,2.4152311612123055e-15,3.7416573867739413,3.7416573867739413
11,0.8596491228070179,0.8596491228070179,6.701923242851618e-30,2.588807301220316e-15,7.79611479270494e-30,8.881784197001252e-16,-3.0355624521254263e-15,3.1628310587153944e-15,3.7416573867739413,3.7416573867739413
12,0.859649122807018,0.859649122807018,7.024877620401052e-30,2.650448569657795e-15,8.171796415568567e-30,9.43689570931383e-16,-3.278801516992185e-15,3.4119040716460527e-15,3.7416573867739404,3.7416573867739404
13,0.8596491228070178,0.8596491228070178,7.266292938929992e-30,2.6956062284632732e-15,8.452626479979785e-30,1.1102230246251565e-15,-3.1316393952893383e-15,3.3226134994212016e-15,3.741657386773945,3.741657386773945
14,0.8596491228070168,0.8596491228070168,8.480254731125877e-30,2.912087692897636e-15,9.864786115799498e-30,6.661338147750939e-16,-3.287811418905745e-15,3.354614461525173e-15,3.7416573867739413,3.7416573867739413
15,0.8596491228070162,0.8596491228070162,7.940031381725257e-30,2.817806129194352e-15,9.236363035884498e-30,8.326672684688674e-16,-3.1295321521088676e-15,3.2384110719707228e-15,3.741657386773939,3.741657386773939
16,0.859649122807016,0.859649122807016,6.94220707753823e-30,2.6348068387527443e-15,8.075628641217956e-30,1.0547118733938987e-15,-2.308980843379456e-15,2.538466007448469e-15,3.741657386773939,3.741657386773939
17,0.8596491228070158,0.8596491228070158,6.774121541641834e-30,2.6027142643098253e-15,7.880100568848681e-30,1.1657341758564144e-15,-1.2165899907361781e-15,1.6849413563442163e-15,3.7416573867739387,3.7416573867739387
18,0.8596491228070164,0.8596491228070164,5.7151730358448176e-30,2.3906428080842225e-15,6.648262511084796e-30,9.43689570931383e-16,-4.539092095530381e-16,1.0471788657157485e-15,3.7416573867739435,3.7416573867739435
19,0.8596491228070174,0.8596491228070174,5.3633613064177245e-30,2.315893198404824e-15,6.239012131955313e-30,1.1102230246251565e-15,-8.988742268596262e-16,1.4284852257270011e-15,3.7416573867739396,3.7416573867739396
20,0.8596491228070182,0.8596491228070182,5.640082832872482e-30,2.374885856809224e-15,6.560912683137372e-30,1.0547118733938987e-15,-7.522574041947266e-16,1.2954954025560477e-15,3.7416573867739435,3.7416573867739435
21,0.8596491228070202,0.8596491228070202,5.765174992025971e-30,2.4010778812912276e-15,6.706428051948558e-30,1.3322676295501878e-15,-9.571850451726603e-16,1.6404695204268393e-15,3.74165738677394,3.74165738677394
22,0.8596491228070205,0.8596491228070205,6.167453609159855e-30,2.4834358476030453e-15,7.174384810655317e-30,9.992007221626409e-16,-9.533194453861602e-16,1.3810213785896724e-15,3.7416573867739396,3.7416573867739396
23,0.8596491228070201,0.8596491228070201,5.343300037707947e-30,2.311557924367881e-15,6.21567555406841e-30,-1.1102230246251565e-16,-1.1587727850516913e-15,1.1640791721444601e-15,3.74165738677394,3.74165738677394
24,0.8596491228070204,0.8596491228070204,5.229284985000223e-30,2.2867629927476573e-15,6.08304579887779e-30,-2.7755575615628914e-16,-1.2787279530553393e-15,1.3085038691958795e-15,3.7416573867739413,3.7416573867739413
25,0.8596491228070212,0.8596491228070212,6.028545911920926e-30,2.455309738489408e-15,7.012798305703904e-30,-7.771561172376096e-16,-1.8158662264324585e-15,1.975181455678919e-15,3.741657386773941,3.741657386773941
26,0.8596491228070222,0.8596491228070222,6.347191021219794e-30,2.519363217406294e-15,7.383467106316862e-30,-9.43689570931383e-16,-2.712152265512367e-15,2.871640631696195e-15,3.7416573867739418,3.7416573867739418
