N_body,resolution,M,W,exact_finite_order_closed,persistent_closed,bundle_closure_needed,sea_or_unresolved,bundle_candidate_power_fraction,max_norm_drift,max_closure_abs,BF_behavior_confirmed
5,144,10,10,0,0,0,144,0.0,4.884981308350689e-15,4.061091564194853e-15,0
40,144,780,54,0,0,141,3,0.9839051371636556,1.1102230246251565e-15,1.2520053478329512e-15,0
