series,experiment,kind,case_index,case,legacy_valid,N_A,N_B,q_A0,q_B0,m_A,m_B,A_A,A_B,q_target_A,q_target_B,target_class,complete_R,complete_T,complete_t_real,complete_t_imag,complete_r_real,complete_r_imag,p_minus,p_plus,p_error_A,p_error_B,copy_distance_A,copy_distance_B,norm_minus,norm_plus,p_reproduced,state_reproduced,scattering_reproduces_legacy,needs_nontrivial_scattering_or_carrier_update,best_R,best_T,best_p_minus,best_p_plus,best_max_p_error,best_l2_p_error,best_probability_fit_reproduces_p
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,5,5,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,6,6,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,7,7,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,8,8,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,9,9,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,10,10,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,11,11,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,12,12,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,13,13,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,14,14,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,15,15,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,16,16,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,17,17,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,18,18,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,19,19,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,20,20,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,21,21,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,22,22,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,23,23,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,24,24,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,25,25,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,26,26,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,27,27,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,28,28,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,29,29,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,30,30,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,31,31,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,32,32,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,33,33,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,34,34,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,35,35,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
20260710,elastic_collision_cell_resolution_sweep,copy_reflection_cases,36,36,True,99,99,1.0,-1.0,1,2,1.0,1.0,-1.0,1.0,complete_reflection,1.0,3.749399456654644e-33,3.749399456654644e-33,6.123233995736766e-17,1.0,-6.123233995736766e-17,-0.9999999999999987,1.0,1.3322676295501878e-15,0.0,0.0,0.0,1.0000000000000018,1.0000000000000022,True,True,True,False,0.0,1.0,-1.0,1.0,0.0,0.0,True
