local_path	zenodo_filename	size_bytes
波の情報読出し/20260715/交換散乱係数R集中と微細構造定数対応候補の数値実験 v1.md	波の情報読出し__20260715__交換散乱係数R集中と微細構造定数対応候補の数値実験 v1.md	28340
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_ja.md	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_ja.md	28340
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_en.md	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_en.md	29774
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_ja.tex	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_ja.tex	45507
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_en.tex	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_en.tex	47615
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_ja.pdf	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_ja.pdf	1665087
波の情報読出し/20260715/exchange_weight_alpha_correspondence_numerical_experiment_en.pdf	波の情報読出し__20260715__exchange_weight_alpha_correspondence_numerical_experiment_en.pdf	1565608
波の情報読出し/20260715/RELEASE_NOTES_exchange_weight_alpha_correspondence_v1.md	波の情報読出し__20260715__RELEASE_NOTES_exchange_weight_alpha_correspondence_v1.md	3075
波の情報読出し/20260715/交換散乱係数R集中実験群_全体計画と評価方法_v1.md	波の情報読出し__20260715__交換散乱係数R集中実験群_全体計画と評価方法_v1.md	7882
波の情報読出し/20260715/系統A_局在性交換R近傍斉一スイープ実験仕様書_v1.md	波の情報読出し__20260715__系統A_局在性交換R近傍斉一スイープ実験仕様書_v1.md	10577
波の情報読出し/20260715/系統B_灰色猫準安定界面R近傍スイープ実験仕様書_v1.md	波の情報読出し__20260715__系統B_灰色猫準安定界面R近傍スイープ実験仕様書_v1.md	11010
波の情報読出し/20260715/System B 全域Rスイープ候補帯一覧.md	波の情報読出し__20260715__System B 全域Rスイープ候補帯一覧.md	5462
波の情報読出し/20260715/System B 低エネルギー標準α近傍R感度一覧.md	波の情報読出し__20260715__System B 低エネルギー標準α近傍R感度一覧.md	8135
波の情報読出し/20260715/System B 高エネルギー標準α近傍R感度一覧.md	波の情報読出し__20260715__System B 高エネルギー標準α近傍R感度一覧.md	8051
波の情報読出し/20260715/System B 中間R近傍R感度一覧.md	波の情報読出し__20260715__System B 中間R近傍R感度一覧.md	9284
波の情報読出し/20260715/System B 極低エネルギー標準α近傍R感度一覧.md	波の情報読出し__20260715__System B 極低エネルギー標準α近傍R感度一覧.md	9770
波の情報読出し/20260715/標準理論でのα.md	波の情報読出し__20260715__標準理論でのα.md	7204
波の情報読出し/20260715/run_system_A_localization_exchange_R_sweep_preliminary_v1.py	波の情報読出し__20260715__run_system_A_localization_exchange_R_sweep_preliminary_v1.py	66340
波の情報読出し/20260715/run_system_B_gray_cat_metastable_R_sweep_preliminary_v1.py	波の情報読出し__20260715__run_system_B_gray_cat_metastable_R_sweep_preliminary_v1.py	45944
波の情報読出し/20260715/run_minimal_system_B_gray_direct_check_v5.py	波の情報読出し__20260715__run_minimal_system_B_gray_direct_check_v5.py	14306
波の情報読出し/20260715/system_A_localization_exchange_R_sweep_result_v1/odd_kernel_N_1_2_3_5_15_63_gap_depth_distribution_overview_v1.png	波の情報読出し__20260715__system_A_localization_exchange_R_sweep_result_v1__odd_kernel_N_1_2_3_5_15_63_gap_depth_distribution_overview_v1.png	510491
波の情報読出し/20260715/system_B_gray_cat_metastable_R_sweep_result_v1/system_B_odd_kernel_N_1_2_3_5_15_63_gray_depth_distribution_overview_v1.png	波の情報読出し__20260715__system_B_gray_cat_metastable_R_sweep_result_v1__system_B_odd_kernel_N_1_2_3_5_15_63_gray_depth_distribution_overview_v1.png	382740
波の情報読出し/20260715/system_B_full_R_sweep_ranked_depth_bar_v1.svg	波の情報読出し__20260715__system_B_full_R_sweep_ranked_depth_bar_v1.svg	7096
