t,delta_NL
0,0.0
1,0.29223447367280164
2,0.4267810374727385
3,0.5510784707549921
4,0.6359224029642128
5,0.7186943843902003
6,0.7553476190941146
7,0.7979722150398394
8,0.8494082891507581
9,0.9128440153059899
10,0.9320281522403572
11,0.9447184148084184
12,0.9532642235339888
13,0.9868659832185497
14,1.016891630563669
15,1.0527349138336122
16,1.0508043315746511
17,1.0540023596013388
18,1.0595261195427568
19,1.0799058281159024
20,1.1043040846876906
21,1.1276775099043779
22,1.119996993139858
23,1.1243752690059368
24,1.1392074381097013
25,1.1597220167797497
26,1.1800024022573254
27,1.1909869779063693
28,1.199263223161463
29,1.2141667975649362
30,1.2295784543155932
31,1.2524125568102782
32,1.271535420685085
33,1.2891501538337993
34,1.3022579514550234
35,1.3197100491691256
36,1.3399951417021867
37,1.3613241250652233
38,1.3800444503598153
39,1.3990465808215307
40,1.415958528055417
41,1.4367059711748766
42,1.4562034059320357
43,1.4690127959417911
44,1.4928091795956733
45,1.5112405668014113
46,1.5271576749336604
47,1.5475871495267237
48,1.5598540542623
49,1.5783914390215552
50,1.5965590597587729
51,1.6101516786451173
52,1.6285563065513757
53,1.6441806885022856
54,1.6597887210078779
55,1.669731417133096
56,1.6828886374284542
57,1.6963529309527023
58,1.713518459399345
59,1.7303320422865753
60,1.7372201647433636
61,1.7414457389123719
62,1.7502298307418043
63,1.7657717184507646
64,1.7857605579013804
65,1.7949228548441551
66,1.790930254662287
67,1.7903306969595625
68,1.8039859384364765
69,1.8237950253816508
70,1.8372121198248301
71,1.8307031045696882
72,1.820719378647436
73,1.8255028730639153
74,1.8444194178071294
75,1.8614633840358978
76,1.856820574191752
77,1.840960521552213
78,1.8326237388947575
79,1.8460060778411829
80,1.8687830162143844
81,1.865666777530743
82,1.8500992249860073
83,1.828017218685069
84,1.8315216059053954
85,1.8549024953383884
86,1.8597535851521942
87,1.8436290635604098
88,1.8171392633890797
89,1.802442608093393
90,1.8217951659230278
91,1.8319266748842569
92,1.8245816374993369
93,1.7941634497078234
94,1.7691755454798066
95,1.7721047978303677
96,1.7854761599998425
97,1.7834472049518664
98,1.765773057566903
99,1.725814603202275
100,1.7200172782281786
101,1.7242240774829043
102,1.7267337570230104
103,1.7198739550729796
104,1.6839455407044845
105,1.6599881410081805
106,1.6609106504599938
107,1.6618842405540875
108,1.6643896844980024
109,1.6356453723734345
110,1.6079946233089881
111,1.5914105969830357
112,1.5978084697536294
113,1.608368452093143
114,1.5897556704182356
115,1.5598391144105197
116,1.5355073255320095
117,1.5302333188923856
118,1.5564368109188174
119,1.5491079743878344
120,1.5215406772336122
121,1.4954968983930905
122,1.4756236113869052
123,1.504488441173402
124,1.5143401798438798
125,1.4946594289653445
126,1.4729692288013538
127,1.4419082387674729
128,1.4666199884526188
129,1.4853963716619802
130,1.4800044279250104
131,1.4642600652521314
132,1.4324874348333547
133,1.4488483655014632
134,1.4715113075447106
135,1.4780204339215093
136,1.4694910969039072
137,1.4403998353928504
138,1.4521540921700287
139,1.4732415539727657
140,1.4874558607561081
141,1.487589135240343
142,1.4619531103112313
143,1.4661606922554373
144,1.487213116455613
145,1.5030333032823568
146,1.5124877410119943
147,1.4919769061056944
148,1.4880185713214293
149,1.5031653779600014
150,1.5206565106857308
151,1.5355150222252096
152,1.52287952364303
153,1.512550980256612
154,1.5210322871945765
155,1.5331391911448538
156,1.552721989340563
157,1.5475468250967412
158,1.536495474315351
159,1.5350520583729856
160,1.5430785485451692
161,1.56012491010002
162,1.5627707281579102
163,1.5537780934475698
164,1.5438171311976445
165,1.5456404345182368
166,1.561045843398612
167,1.5664374025857726
168,1.559481005902139
169,1.546191870227374
170,1.538701229674816
171,1.5540371709814549
172,1.560295278707211
173,1.5526726464652252
174,1.5403357012412227
175,1.524564476155692
176,1.5368221443072316
177,1.5463658218889793
178,1.5354367113215894
179,1.5268535744465523
180,1.5042252270191647
181,1.5129876979388714
182,1.5237563281331468
183,1.5138567151129956
184,1.5053742748745207
185,1.4841706757124424
186,1.4832259830226688
187,1.4976901733461887
188,1.4886436465978652
189,1.4814432785126226
190,1.4656006645461563
191,1.4557778558713403
192,1.4668893553883926
193,1.4636699304484682
194,1.455205067658777
195,1.4486657087942996
196,1.4336334386817164
197,1.4363574113055433
198,1.4375956995986565
199,1.4286551596251564
200,1.4287369419101128
201,1.4173728343595213
202,1.4097183520517813
203,1.4130349913215279
204,1.4049888470008598
205,1.4025803936317416
206,1.4028887538758716
207,1.3903891037633003
208,1.391086698415318
209,1.3863020936211699
210,1.378109681430244
211,1.3818030956147163
212,1.3781074586089692
213,1.3712094933075758
214,1.3725114351092103
215,1.363437417337618
216,1.3593923843271418
217,1.3632681236056574
218,1.3584673854528904
219,1.3584118647882077
220,1.3593062590324287
221,1.347566360934689
222,1.3480906428559944
223,1.3485902638022018
224,1.3481384226054718
225,1.3554145022019612
226,1.3509784389156723
227,1.3430829776170907
228,1.3410270253613068
229,1.3428050694781595
230,1.3496912450803988
231,1.3594223481273848
232,1.3530631444301395
233,1.345358199414584
234,1.3416821234101326
235,1.3471917300031537
236,1.3647502609114595
237,1.3715576688430973
238,1.364387743769654
239,1.3539187048860963
240,1.3503342563706868
241,1.3694574536922568
242,1.3889672266188766
243,1.3925986828148935
244,1.3810637507496124
245,1.3679657703196837
246,1.374780734829009
247,1.4043281942802577
248,1.4214122763738894
249,1.4168679043675145
250,1.3999316251355525
251,1.3908673772687485
252,1.4175833826458932
