N,design,kind,max_frac,max_frac_step,final_frac,growth_rate_per_step,onset_frac_gt5pct,Htotal_drift
4,A_matching,neutral,1.4716786284356644e-23,40000,1.4716786284356644e-23,,,1.4432899320127035e-13
5,C_cycle,neutral,2.483161419447773e-19,40000,2.483161419447773e-19,,,6.13176176500474e-13
6,A_matching,inflating,0.9969198852876078,12862,0.7957740272925733,0.014309877243923137,5064,7.205347429817266e-13
7,C_cycle,neutral,1.3020953177122176e-18,40000,1.3020953177122176e-18,,,1.5540901898702941e-12
8,A_matching,inflating,0.9897820980760872,8977,0.9656450837575269,0.018250255317683164,3632,1.482147737874584e-12
