N,M,subset_size,cover_id,block_count,max_block_residual,mean_block_residual,blocks
3,3,3,0,1,2.100090372495147e-15,2.100090372495147e-15,1-2+1-3+2-3
4,6,3,0,2,4.459091088870946e-15,4.195347781033293e-15,1-2+2-3+2-4 | 1-3+1-4+3-4
4,6,3,1,2,5.195040086148256e-15,4.122625152185123e-15,1-2+1-3+2-3 | 1-4+2-4+3-4
4,6,3,2,2,5.3497206998673045e-15,4.417061713827703e-15,1-2+1-4+2-4 | 1-3+2-3+3-4
4,6,3,3,2,6.020849091717407e-15,4.264350064618785e-15,1-2+1-3+1-4 | 2-3+2-4+3-4
