N,M,subset_size,best_closure_residual,hit_count_lt1e-6,best_edges
3,3,2,0.47629698876658993,0,"1-2,1-3"
3,3,3,2.100090372495147e-15,1,"1-2,1-3,2-3"
4,6,2,0.49998955323228456,0,"1-2,2-4"
4,6,3,2.5078510375201642e-15,8,"2-3,2-4,3-4"
5,10,2,1.879825521094725e-10,13,"2-3,4-5"
5,10,3,0.33333333207545784,0,"1-2,1-4,3-5"
6,15,2,0.17578171048369054,0,"1-2,4-6"
6,15,3,0.12073905981160364,0,"1-4,2-4,3-4"
7,21,2,9.532232061723963e-05,0,"1-7,4-6"
7,21,3,0.031657360921421435,0,"3-5,4-6,5-6"
8,28,2,0.0012048845238616128,0,"2-4,4-5"
8,28,3,0.007502277651501481,0,"1-3,5-8,7-8"
9,36,2,0.00010144828837759574,0,"3-6,6-7"
9,36,3,0.12381233899526674,0,"2-4,5-7,6-8"
10,45,2,5.543338265245182e-06,0,"2-4,3-10"
10,45,3,0.004738425919099937,0,"3-4,3-8,3-10"
11,55,2,0.00030783103065738055,0,"3-7,6-7"
11,55,3,0.022506460171643445,0,"2-11,6-9,7-8"
12,66,2,0.00013756407399993426,0,"1-4,7-9"
12,66,3,0.0026851073827158164,0,"3-9,5-6,7-11"
13,78,2,0.00048650797592678563,0,"3-7,6-9"
13,78,3,0.010016208009047572,0,"1-9,1-10,5-10"
14,91,2,0.00015443244293300066,0,"3-8,7-10"
14,91,3,0.007224643620888662,0,"1-14,4-12,8-12"
15,105,2,1.5958684870399987e-05,0,"5-12,7-14"
15,105,3,0.00854493491191399,0,"2-6,5-14,7-8"
16,120,2,0.00035057412648267864,0,"1-15,11-12"
16,120,3,0.003060627909393962,0,"2-9,4-15,9-15"
