N,M,decomposition,block_id,block_size,closure_residual,edges
11,55,walecki_hamilton_cycle,1,11,0.21458043329990864,"2-11,1-2,1-3,3-10,4-10,4-9,5-9,5-8,6-8,6-7,7-11"
11,55,walecki_hamilton_cycle,2,11,0.11755490116798024,"3-11,2-3,2-4,1-4,1-5,5-10,6-10,6-9,7-9,7-8,8-11"
11,55,walecki_hamilton_cycle,3,11,0.28087987119577434,"4-11,3-4,3-5,2-5,2-6,1-6,1-7,7-10,8-10,8-9,9-11"
11,55,walecki_hamilton_cycle,4,11,0.09557594505971666,"5-11,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-10,10-11"
12,66,round_robin_matching,0,6,0.15223806638689438,"1-12,2-11,3-10,4-9,5-8,6-7"
12,66,round_robin_matching,1,6,0.3098343180689511,"1-11,10-12,2-9,3-8,4-7,5-6"
12,66,round_robin_matching,2,6,0.2199430656950622,"1-10,9-11,8-12,2-7,3-6,4-5"
12,66,round_robin_matching,3,6,0.6934354782926521,"1-9,8-10,7-11,6-12,2-5,3-4"
12,66,round_robin_matching,4,6,0.2806668432265262,"1-8,7-9,6-10,5-11,4-12,2-3"
12,66,round_robin_matching,5,6,0.30983099152428994,"1-7,6-8,5-9,4-10,3-11,2-12"
12,66,round_robin_matching,6,6,0.3540792287643953,"1-6,5-7,4-8,3-9,2-10,11-12"
12,66,round_robin_matching,7,6,0.20745177811019427,"1-5,4-6,3-7,2-8,9-12,10-11"
12,66,round_robin_matching,8,6,0.9935470937126657,"1-4,3-5,2-6,7-12,8-11,9-10"
12,66,round_robin_matching,9,6,0.4287867152455041,"1-3,2-4,5-12,6-11,7-10,8-9"
12,66,round_robin_matching,10,6,0.3307218352236869,"1-2,3-12,4-11,5-10,6-9,7-8"
13,78,round_robin_matching,0,6,0.3514953254411821,"2-13,3-12,4-11,5-10,6-9,7-8"
13,78,round_robin_matching,1,6,0.2854402732492451,"1-13,2-11,3-10,4-9,5-8,6-7"
13,78,round_robin_matching,2,6,0.6605702969142289,"1-12,11-13,2-9,3-8,4-7,5-6"
