N,M,q,cond_rank,dim_theory,dim_measured,eq_residual,eq_mu,eq_mu_over_mean_amp2,eq_global,eq_local,eq_rank,eq_round,eq_axes_distinct,eq_vertex_null
3,3,3,0,0,0,2.1334277879468756e-17,-0.09999999999999996,-1.4999999999999998,1.4304896245381995e-16,0.3333333333333334,1,True,0.258198890,0.022222222222222237
4,6,3,2,0,0,5.042647498783524e-17,-0.19999999999999993,-2.9999999999999996,1.3985787785349408e-16,7.152448122690998e-17,3,True,0.258198890,2.8556916123843425e-17
5,10,2,1,0,0,1.6328623988631376e-17,-0.2666666666666666,-4.0,6.123233995736766e-17,2.4492935982947065e-17,4,True,0.273012086,7.287696899109827e-17
6,15,5,2,2,2,3.3072454878176786e-17,-0.33333333333333326,-5.0,3.9252311467094385e-17,2.7971575570698816e-17,5,False,0.365148372 0.285744043 0.182574186,7.798167441738925e-17
7,21,3,2,0,0,9.465557770498482e-17,-0.39999999999999997,-6.000000000000001,1.4192834470457546e-16,4.0871132129662843e-17,6,True,0.296970891,6.317515481600947e-17
8,28,7,2,4,4,6.60847683825476e-17,-0.4666666666666666,-7.000000000000001,1.0112052942561251e-16,3.176032259107733e-17,7,False,0.447213595 0.307051957 0.182574186,1.1133784230775528e-16
9,36,4,2,1,1,2.7711313196431527e-17,-0.5333333333333332,-8.0,1.1564823173178716e-17,1.3821748748021831e-17,8,False,0.349660915 0.335255203 0.316227766 0.221771922,6.061970464859775e-17
10,45,9,2,6,6,1.4557730781995132e-16,-0.5999999999999998,-8.999999999999998,9.620375951001545e-17,2.3813428407392742e-17,9,False,0.516397779 0.324667915 0.182574186,5.703522584108235e-17
11,55,5,2,2,2,6.192131172816592e-17,-0.6666666666666665,-10.0,7.070685587131469e-17,1.6085617686330394e-17,10,False,0.395116115 0.372366066 0.340937944 0.217578398 0.204837607,9.488852801220122e-17
12,66,11,2,8,8,1.9737352973167865e-16,-0.7333333333333333,-11.000000000000002,5.892237989276224e-17,1.4105307688904965e-17,11,False,0.577350269 0.339808849 0.182574186,1.0638404840061771e-16
13,78,6,2,3,3,1.4991669286903367e-16,-0.7999999999999997,-11.999999999999998,9.311224347332214e-17,1.910573871023131e-17,12,False,0.435667331 0.407077226 0.364716343 0.216210665 0.205945730 0.196861967,8.516387049815964e-17
14,91,13,2,10,10,1.7372712672559237e-16,-0.8666666666666664,-13.000000000000002,1.4338402285089055e-16,2.5684024015749608e-17,13,False,0.632455532 0.353159897 0.182574186,1.326779359094549e-16
15,105,7,2,4,4,2.0730418615361571e-16,-0.933333333333333,-13.999999999999995,1.0475624188435257e-16,2.2473657951974952e-17,14,False,0.472648580 0.439506541 0.387196133 0.215419304 0.210960155 0.195371618 0.192745420,1.188368601136613e-16
16,120,15,2,12,12,1.274213878915217e-16,-0.9999999999999999,-14.999999999999998,9.272255196210977e-17,1.229888665952378e-17,15,False,0.683130051 0.365148372 0.182574186,5.3667341445316145e-17
