index,singular_value_rel
0,1.000e+00
1,9.521e-01
2,9.348e-01
3,8.501e-01
4,7.970e-01
5,7.754e-01
6,7.512e-01
7,7.281e-01
8,6.632e-01
9,6.348e-01
10,5.520e-01
11,1.281e-03
12,7.739e-04
13,7.264e-04
14,5.998e-04
15,4.982e-04
16,4.846e-04
17,4.193e-04
18,3.546e-04
19,3.441e-04
20,3.227e-04
21,3.016e-04
22,2.802e-04
23,2.553e-04
24,1.999e-04
25,1.774e-04
26,1.585e-04
27,1.425e-04
28,1.199e-04
29,2.331e-14
