index,singular_value_rel
0,1.000e+00
1,9.757e-01
2,9.424e-01
3,8.892e-01
4,7.473e-01
5,9.719e-04
6,4.700e-04
7,3.958e-04
8,3.753e-04
9,3.186e-04
10,2.915e-04
11,2.452e-14
