N,M,q,nullity,nontrivial_null,class_family_dim,n_tried,n_converged,dist_med,dist_min,dist_max,amp_within_class_spread_med,phase_within_class_spread_med,pca_dim_est,nullity_generic_point,global_closure_med,global_closure_max,local_closure_med,local_closure_max,local_closure_min,n_local_closed_lt_1e10,rank_min,rank_max,roundness_parent,roundness_med,roundness_max,mu_parent,mu_dev_max
4,6,3,7,5,0,100,100,0.0009999993030873264,0.0009997367808006077,0.0010002338743802623,0.002209011685251456,1.1391576701033634e-16,5,7,5.485677294651097e-17,1.734723475976808e-16,0.0005708293312676849,0.000696535011782107,0.00011155532710195655,0,3,3,2.1499376424746294e-16,0.0017027936110164934,0.001730780951059673,-0.19999999999999993,8.326672684688674e-17
5,10,2,6,4,0,100,100,0.0009999988260861168,0.0009999955276889419,0.001000018829042963,4.224303229565828e-06,0.0031117006114488284,6,6,4.163339044897558e-17,1.6653354333944823e-16,1.2490012216847834e-16,2.4980021031916055e-16,2.081672141635323e-17,100,4,4,2.0332854852504503e-16,0.0015833240942251994,0.0016316694597142884,-0.2666666666666666,1.1102230246251565e-16
6,15,5,13,11,2,100,100,0.0009999979233237637,0.0009987340283563841,0.001001608135859409,0.0010541004461449015,0.0018796714830097876,12,13,4.340005354667738e-17,2.1372633816199736e-14,7.051602400031883e-17,2.5174614052966195e-14,3.469446951953615e-17,100,5,5,0.5,0.5005636195125176,0.5014125025166694,-0.33333333333333326,2.2815083156046967e-14
7,21,3,22,20,0,100,100,0.0010000272306715683,0.0009976116171351215,0.001001260391835898,0.002056082985819484,0.002713081453449161,21,22,3.3214184182623423e-15,2.1718451123532424e-14,3.904877345375778e-15,1.6443461365701027e-14,4.234709678810309e-17,100,6,6,1.86924553312786e-16,0.001817241550679057,0.0021876781422157906,-0.39999999999999997,2.3647750424515834e-14
8,28,7,33,31,4,100,100,0.0009999900944283116,0.0009983874648386154,0.0010120709393979267,0.0019125873885314447,0.0024394513167273696,32,33,1.9783337685456853e-15,1.610282808997845e-14,1.9235006684210875e-15,1.3489598269865694e-14,3.0891900158822615e-17,100,7,7,0.591751709536137,0.5926684777546907,0.5933197714855272,-0.4666666666666666,2.9531932455029164e-14
