N,q,norm,mu,rho,rho_minus_1,lambda_f,ANGLE,ANGLE2_over_16,n_eig_gt_1,known_behaviour,band
4,3,0.816497,-0.333334,1.000000096,9.610e-08,0.000000,0.01689,1.78e-05,4,floor (measured 1.5e-23 @40000),neutral (rounding-floor)
5,2,0.927173,-0.343860,1.000094944,9.494e-05,0.000190,0.01742,1.90e-05,7,floor (2.5e-19),neutral (rounding-floor)
6,5,1.036862,-0.358361,1.007180732,7.181e-03,0.014310,0.01816,2.06e-05,13,inflating (t50=5269),inflating
7,3,1.210458,-0.418631,1.000131397,1.314e-04,0.000263,0.02121,2.81e-05,12,floor (1.3e-18),neutral (rounding-floor)
8,7,1.301688,-0.423598,1.009166993,9.167e-03,0.018250,0.02146,2.88e-05,14,inflating (t50=3791),inflating
9,4,1.4,-0.435556,1.000145336,1.453e-04,0.000291,0.02207,3.04e-05,23,"floor (this package, 6.4e-18)",neutral (rounding-floor)
10,9,1.5,-0.450000,1.010127124,1.013e-02,0.020152,0.02280,3.25e-05,29,not run,inflating
11,5,1.6,-0.465455,1.000168431,1.684e-04,0.000337,0.02358,3.48e-05,35,not run,neutral (rounding-floor)
