index,singular_value_rel
0,1.000e+00
1,9.493e-01
2,9.246e-01
3,8.917e-01
4,8.737e-01
5,8.562e-01
6,7.848e-01
7,7.464e-01
8,7.370e-01
9,6.919e-01
10,6.766e-01
11,6.508e-01
12,6.471e-01
13,5.955e-01
14,5.680e-01
15,5.297e-01
16,5.063e-01
17,4.890e-01
18,4.495e-01
19,4.079e-01
20,1.342e-03
21,6.085e-04
22,5.705e-04
23,5.075e-04
24,5.023e-04
25,4.623e-04
26,3.731e-04
27,3.713e-04
28,3.652e-04
29,3.402e-04
30,3.298e-04
31,3.104e-04
32,3.003e-04
33,2.880e-04
34,2.528e-04
35,2.177e-04
36,2.076e-04
37,1.852e-04
38,1.659e-04
39,1.628e-04
40,1.456e-04
41,1.550e-14
