index,singular_value_rel
0,1.000e+00
1,9.458e-01
2,8.671e-01
3,7.760e-01
4,1.030e-03
5,1.005e-03
6,9.043e-04
7,8.493e-04
8,7.772e-04
9,3.334e-04
10,5.640e-05
11,5.058e-05
12,4.619e-05
13,4.278e-05
14,9.543e-07
15,5.312e-07
16,4.843e-07
17,4.616e-07
18,3.428e-07
19,1.385e-16
