t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(1500.3084572710145),np.float64(-78.36618235332422),np.float64(114.12483213960586),np.float64(74.60926685885396),np.float64(4.440892098500626e-16)
1,np.float64(1500.3084572710081),np.float64(-78.36618235332169),np.float64(114.12483213960593),np.float64(75.67090888049468),np.float64(8.881784197001252e-16)
2,np.float64(1500.3084572710036),np.float64(-78.36618235332058),np.float64(114.12483213960685),np.float64(130.13484096661713),np.float64(1.7763568394002505e-15)
3,np.float64(1500.3084572709963),np.float64(-78.36618235331912),np.float64(114.12483213960871),np.float64(181.1347607946262),np.float64(3.552713678800501e-15)
4,np.float64(1500.308457270998),np.float64(-78.36618235332135),np.float64(114.12483213960765),np.float64(314.61197156351983),np.float64(1.4210854715202004e-14)
5,np.float64(1500.3084572709986),np.float64(-78.3661823533217),np.float64(114.12483213960883),np.float64(517.9524714838402),np.float64(2.842170943040401e-14)
6,np.float64(1500.3084572710013),np.float64(-78.36618235331505),np.float64(114.12483213961418),np.float64(588.549296373778),np.float64(2.842170943040401e-14)
7,np.float64(1500.3084572709952),np.float64(-78.36618235331298),np.float64(114.12483213961417),np.float64(653.589371548342),np.float64(2.842170943040401e-14)
8,np.float64(1500.3084572710009),np.float64(-78.36618235331254),np.float64(114.12483213961477),np.float64(683.7627385125917),np.float64(2.842170943040401e-14)
9,np.float64(1500.3084572710009),np.float64(-78.36618235330731),np.float64(114.12483213961883),np.float64(701.7175214449314),np.float64(5.684341886080802e-14)
10,np.float64(1500.308457270998),np.float64(-78.36618235330599),np.float64(114.12483213961976),np.float64(706.67441423206),np.float64(7.105427357601002e-15)
11,np.float64(1500.308457271),np.float64(-78.36618235330303),np.float64(114.12483213961977),np.float64(709.172555210979),np.float64(5.684341886080802e-14)
12,np.float64(1500.3084572709995),np.float64(-78.36618235330434),np.float64(114.12483213961978),np.float64(709.6385761893025),np.float64(2.842170943040401e-14)
13,np.float64(1500.3084572710027),np.float64(-78.36618235330457),np.float64(114.1248321396196),np.float64(710.2198334242476),np.float64(1.4210854715202004e-14)
14,np.float64(1500.3084572709995),np.float64(-78.36618235330496),np.float64(114.12483213961951),np.float64(710.976266884477),np.float64(2.842170943040401e-14)
15,np.float64(1500.308457271001),np.float64(-78.36618235330542),np.float64(114.12483213961886),np.float64(711.4997770496348),np.float64(5.684341886080802e-14)
16,np.float64(1500.3084572710022),np.float64(-78.36618235330593),np.float64(114.12483213961809),np.float64(711.9498685599505),np.float64(2.842170943040401e-14)
17,np.float64(1500.308457271002),np.float64(-78.36618235330735),np.float64(114.12483213961961),np.float64(712.5780344651743),np.float64(2.842170943040401e-14)
18,np.float64(1500.3084572710004),np.float64(-78.36618235330434),np.float64(114.12483213962082),np.float64(712.9821554892661),np.float64(2.842170943040401e-14)
19,np.float64(1500.3084572709993),np.float64(-78.36618235330506),np.float64(114.12483213961883),np.float64(713.2792566734676),np.float64(5.684341886080802e-14)
20,np.float64(1500.3084572710018),np.float64(-78.36618235330369),np.float64(114.12483213961812),np.float64(713.8067253919033),np.float64(5.684341886080802e-14)
21,np.float64(1500.308457271005),np.float64(-78.36618235329865),np.float64(114.12483213962199),np.float64(714.328295483051),np.float64(2.842170943040401e-14)
22,np.float64(1500.3084572710081),np.float64(-78.36618235329675),np.float64(114.12483213962395),np.float64(714.649093047188),np.float64(1.4210854715202004e-14)
23,np.float64(1500.3084572710104),np.float64(-78.36618235330161),np.float64(114.12483213962295),np.float64(714.8893330686726),np.float64(5.684341886080802e-14)
24,np.float64(1500.3084572710113),np.float64(-78.36618235330117),np.float64(114.12483213962327),np.float64(715.276744077326),np.float64(2.842170943040401e-14)
25,np.float64(1500.3084572710127),np.float64(-78.36618235330309),np.float64(114.12483213962057),np.float64(715.8523071196479),np.float64(2.842170943040401e-14)
26,np.float64(1500.3084572710109),np.float64(-78.36618235330332),np.float64(114.12483213961994),np.float64(716.4772120460116),np.float64(5.684341886080802e-14)
27,np.float64(1500.3084572710109),np.float64(-78.36618235330337),np.float64(114.12483213962118),np.float64(717.065572533512),np.float64(2.842170943040401e-14)
28,np.float64(1500.3084572710088),np.float64(-78.36618235330265),np.float64(114.12483213962054),np.float64(717.6495702624943),np.float64(2.842170943040401e-14)
29,np.float64(1500.3084572710109),np.float64(-78.36618235330002),np.float64(114.12483213962341),np.float64(718.5421895040714),np.float64(2.842170943040401e-14)
30,np.float64(1500.3084572710109),np.float64(-78.3661823532999),np.float64(114.12483213962412),np.float64(719.6201835051221),np.float64(2.842170943040401e-14)
