label,support,support_size,c_excluded_half_bins,predicted_R,predicted_R_float,measured_R,abs_error,verdict
H_pair_1_3,1 3,2,3,1/8,0.125,0.12500000000000003,2.7755575615628914e-17,PASS
H_single_5,5,1,0,1/2,0.5,0.4999999999999998,2.220446049250313e-16,PASS
H_odds_5_to_63,5 7 9 11 13 15 17 19...,30,0,1/2,0.5,0.4999999999999996,3.885780586188048e-16,PASS
H_triple_1_5_7,1 5 7,3,2,1/3,0.3333333333333333,0.3333333333333333,0.0,PASS
H_pair_3_7,3 7,2,1,3/8,0.375,0.3749999999999995,4.996003610813204e-16,PASS
H_odds_1_to_15,1 3 5 7 9 11 13 15,8,3,13/32,0.40625,0.4062500000000005,4.996003610813204e-16,PASS
H_mixed_1_2_5,1 2 5,3,4,1/6,0.16666666666666666,0.1666666666666663,3.608224830031759e-16,PASS
