stage,model,slot,delta_f,N_A,N_B,hair_enabled,R,p_chi,p_target,p_abs_error,kappa,L,N_eff,N_eff_2,P_m_A,P_m_B,target_mode_probability,H_distance_to_initial_A,H_distance_to_initial_B,copy_distance_d
stage0_old_condition_reproduction,fermionic_full,slot1,3.141592653589793,63,63,True,1.0000000000000004,1.9428902930940236e-15,-1.0,1.000000000000002,0.5000000000000001,0.010417938232421872,31.99999999999994,36.959437225152605,0.4999999999999998,0.5000000000000001,0.4999999999999998,3.469446951953614e-16,5.204170427930421e-17,1.0305395279900709
stage0_old_condition_reproduction,fermionic_full,slot2,3.141592653589793,63,63,True,1.0000000000000004,1.9428902930940236e-15,1.0,0.9999999999999981,0.5000000000000001,0.010417938232421872,31.99999999999994,36.959437225152605,0.4999999999999998,0.5000000000000001,0.5000000000000001,3.469446951953614e-16,5.204170427930421e-17,1.0305395279900733
stage0_old_condition_reproduction,bosonic_full,slot1,0.0,63,63,True,1.0,1.9428902930940236e-15,-1.0,1.000000000000002,0.5000000000000001,0.010417938232421872,31.99999999999994,36.959437225152605,0.4999999999999998,0.5000000000000001,0.4999999999999998,3.469446951953614e-16,5.204170427930421e-17,1.0305395279900706
stage0_old_condition_reproduction,bosonic_full,slot2,0.0,63,63,True,1.0,1.9428902930940236e-15,1.0,0.9999999999999981,0.5000000000000001,0.010417938232421872,31.99999999999994,36.959437225152605,0.4999999999999998,0.5000000000000001,0.5000000000000001,3.469446951953614e-16,5.204170427930421e-17,1.030539527990073
stage0_old_condition_reproduction,copy_reflection,slot1,nan,63,63,True,1.0,-0.9999999999999994,-1.0,5.551115123125783e-16,1.0,0.010417938232421865,31.999999999999936,36.959437225152605,1.0,0.0,1.0,0.0,nan,0.0
stage0_old_condition_reproduction,copy_reflection,slot2,nan,63,63,True,1.0,0.9999999999999976,1.0,2.4424906541753444e-15,1.0,0.010417938232421884,31.999999999999936,36.959437225152605,0.0,1.0,1.0,nan,0.0,0.0
stage0_old_condition_reproduction,simple_reflection,slot1,nan,63,63,True,1.0,-0.9999999999999994,-1.0,5.551115123125783e-16,1.0,0.010417938232421865,31.999999999999936,36.959437225152605,1.0,0.0,1.0,0.0,nan,nan
stage0_old_condition_reproduction,simple_reflection,slot2,nan,63,63,True,1.0,0.9999999999999976,1.0,2.4424906541753444e-15,1.0,0.010417938232421884,31.999999999999936,36.959437225152605,0.0,1.0,1.0,nan,0.0,nan
stage0_old_condition_reproduction,copy_transmission,slot1,nan,63,63,True,1.0,0.9999999999999998,-1.0,1.9999999999999998,1.0,0.010417938232421866,31.999999999999925,36.9594372251526,1.0,0.0,1.0,0.0,nan,nan
stage0_old_condition_reproduction,copy_transmission,slot2,nan,63,63,True,1.0,-0.9999999999999959,1.0,1.999999999999996,1.0,0.010417938232421884,31.999999999999936,36.959437225152605,0.0,1.0,1.0,nan,0.0,nan
