window_center,nontrivial_locks,freq_dispersion
1.000000000000000000e+02,0.000000000000000000e+00,8.919274148825622233e-13
1.500000000000000000e+02,0.000000000000000000e+00,3.090807053174682989e-12
2.000000000000000000e+02,0.000000000000000000e+00,1.062431218879289102e-11
2.500000000000000000e+02,0.000000000000000000e+00,3.649743536365724727e-11
3.000000000000000000e+02,0.000000000000000000e+00,1.253715778931901698e-10
3.500000000000000000e+02,0.000000000000000000e+00,4.306614956650304450e-10
4.000000000000000000e+02,0.000000000000000000e+00,1.479354625022108770e-09
4.500000000000000000e+02,0.000000000000000000e+00,5.081693941808325831e-09
5.000000000000000000e+02,0.000000000000000000e+00,1.745599781532622761e-08
5.500000000000000000e+02,0.000000000000000000e+00,5.996265755980008338e-08
6.000000000000000000e+02,0.000000000000000000e+00,2.059762109046233113e-07
6.500000000000000000e+02,0.000000000000000000e+00,7.075436847989284287e-07
7.000000000000000000e+02,0.000000000000000000e+00,2.430465456248701909e-06
7.500000000000000000e+02,0.000000000000000000e+00,8.348830518049971095e-06
8.000000000000000000e+02,0.000000000000000000e+00,2.867885543965229987e-05
8.500000000000000000e+02,0.000000000000000000e+00,9.851394802358432812e-05
9.000000000000000000e+02,0.000000000000000000e+00,3.384001580009918871e-04
9.500000000000000000e+02,0.000000000000000000e+00,1.162323628714573504e-03
1.000000000000000000e+03,0.000000000000000000e+00,3.988335971432607069e-03
1.050000000000000000e+03,0.000000000000000000e+00,1.351499083152446316e-02
1.100000000000000000e+03,0.000000000000000000e+00,3.957520753488031479e-02
1.150000000000000000e+03,0.000000000000000000e+00,7.033880297704075968e-02
1.200000000000000000e+03,0.000000000000000000e+00,8.409364252248206772e-02
1.250000000000000000e+03,0.000000000000000000e+00,8.808774194771705479e-02
1.300000000000000000e+03,0.000000000000000000e+00,8.451573549714788691e-02
1.350000000000000000e+03,0.000000000000000000e+00,6.255476962490677528e-02
1.400000000000000000e+03,0.000000000000000000e+00,3.117524666183340079e-02
1.450000000000000000e+03,0.000000000000000000e+00,7.003439869020727793e-02
1.500000000000000000e+03,0.000000000000000000e+00,1.129540301022632365e-01
1.550000000000000000e+03,0.000000000000000000e+00,1.227792226613033250e-01
1.600000000000000000e+03,0.000000000000000000e+00,1.188678846086419771e-01
1.650000000000000000e+03,0.000000000000000000e+00,1.140136573974162015e-01
1.700000000000000000e+03,0.000000000000000000e+00,9.479385032741521888e-02
1.750000000000000000e+03,0.000000000000000000e+00,7.081181389114860059e-02
1.800000000000000000e+03,0.000000000000000000e+00,9.567413531201950094e-02
1.850000000000000000e+03,0.000000000000000000e+00,1.152767294076699478e-01
1.900000000000000000e+03,0.000000000000000000e+00,1.056132112986535726e-01
1.950000000000000000e+03,0.000000000000000000e+00,8.155416331876755298e-02
2.000000000000000000e+03,0.000000000000000000e+00,5.735451910583430624e-02
2.050000000000000000e+03,0.000000000000000000e+00,4.238253075744080611e-02
2.100000000000000000e+03,0.000000000000000000e+00,6.078520829922282737e-02
2.150000000000000000e+03,0.000000000000000000e+00,7.255008795678462297e-02
2.200000000000000000e+03,0.000000000000000000e+00,6.985887691951932210e-02
2.250000000000000000e+03,0.000000000000000000e+00,5.170019235979841921e-02
2.300000000000000000e+03,0.000000000000000000e+00,3.827796100907613491e-02
2.350000000000000000e+03,0.000000000000000000e+00,4.659251331739956009e-02
2.400000000000000000e+03,0.000000000000000000e+00,5.492325762985911936e-02
2.450000000000000000e+03,0.000000000000000000e+00,7.183894496471919522e-02
2.500000000000000000e+03,0.000000000000000000e+00,7.861209433208317388e-02
2.550000000000000000e+03,0.000000000000000000e+00,7.411001055262041171e-02
