A_A,A_B,E_max_abs_error,E_tau_R_conservation_error,E_tau_R_preserved,K_R_phase_after,K_R_phase_conservation_error,K_R_phase_final,K_R_phase_initial,P_R_after,P_R_conservation_error,P_R_final,P_R_initial,R_A,R_B,R_max_abs_error,R_max_gauge_std,R_ratio_B_over_A,R_total_conservation_error,R_total_preserved,case,collision_cell_reached,generalized_K_R_phase_preserved,generalized_P_R_preserved,individual_readout_valid,p_max_abs_error,q_A_after,q_B_after,simple_flip_K_R_error,simple_flip_P_R_error,simple_flip_improves_or_matches,simple_flip_q_A,simple_flip_q_B,within_particle_separation_ratio_time
1.0,1.0,2.2315482794965646e-14,0.0,True,1.9999999999999911,0.0,1.9999999999999911,1.9999999999999911,3.3306690738754696e-16,0.0,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,4.440892098500626e-16,2.220446049250313e-16,1.0,0.0,True,A_1.00_B_1.00,True,True,True,True,2.5202062658991053e-14,-1.0,1.0,0.0,0.0,True,-1.0,1.0,0.0
1.0,1.1,2.2315482794965646e-14,0.0,True,2.210000000000006,1.4654943925052066e-14,2.210000000000006,2.2099999999999915,-0.20999999999998764,1.2212453270876722e-14,-0.20999999999998764,-0.20999999999999985,1.0,1.2100000000000002,4.440892098500626e-16,2.220446049250313e-16,1.2100000000000002,0.0,True,A_1.00_B_1.10,True,True,True,True,5.5067062021407764e-14,-1.1900452488687785,0.8099547511312216,0.0,0.4200000000000004,False,-1.0,1.0,0.0
1.0,1.25,2.2315482794965646e-14,4.440892098500626e-16,True,2.562500000000003,1.865174681370263e-14,2.562500000000003,2.5624999999999845,-0.5625000000000033,6.772360450213455e-15,-0.5625000000000033,-0.5624999999999966,1.0,1.5625,6.661338147750939e-16,4.710277376051325e-16,1.5625,4.440892098500626e-16,True,A_1.00_B_1.25,True,True,True,True,3.6193270602780103e-14,-1.4390243902439024,0.5609756097560976,0.0,1.125,False,-1.0,1.0,3.683878850562613e-30
1.0,1.5,2.6423307986078726e-14,0.0,True,3.249999999999997,1.3322676295501878e-15,3.249999999999997,3.2499999999999956,-1.2499999999999962,5.551115123125783e-15,-1.2499999999999962,-1.2500000000000018,1.0,2.25,8.881784197001252e-16,5.661048867003676e-16,2.25,0.0,True,A_1.00_B_1.50,True,True,True,True,3.277933480205775e-14,-1.7692307692307692,0.23076923076923078,0.0,2.5,False,-1.0,1.0,2.4559192337084088e-30
1.0,2.0,2.2315482794965646e-14,0.0,True,5.000000000000001,2.398081733190338e-14,5.000000000000001,4.999999999999977,-2.9999999999999796,1.2878587085651816e-14,-2.9999999999999796,-2.9999999999999925,1.0,4.0,1.7763568394002505e-15,8.881784197001252e-16,4.0,0.0,True,A_1.00_B_2.00,True,True,True,True,4.571343303894082e-14,-2.2,-0.19999999999999996,0.0,6.0,False,-1.0,1.0,0.0
1.0,3.0,2.6423307986078726e-14,3.552713678800501e-15,True,10.00000000000012,1.4086509736443986e-12,9.999999999998586,9.999999999999995,-8.00000000000005,2.3803181647963356e-13,-7.999999999999762,-8.0,1.0,9.0,1.865174681370263e-14,8.078732199757252e-15,9.0,5.329070518200751e-15,True,A_1.00_B_3.00,True,True,True,True,2.8688162956314045e-13,-2.6,-0.6000000000000001,0.0,16.0,False,-1.0,1.0,2.365357211965411e-28
1.5,1.0,2.6423307986078726e-14,0.0,True,3.249999999999998,1.4654943925052066e-14,3.249999999999998,3.2500000000000124,1.2500000000000004,1.0436096431476471e-14,1.2500000000000004,1.2500000000000109,2.25,1.0,8.881784197001252e-16,5.661048867003676e-16,0.4444444444444444,0.0,True,A_1.50_B_1.00,True,True,True,True,5.284661597215745e-14,-0.23076923076923078,1.7692307692307692,0.0,2.5,False,-1.0,1.0,2.4559192337084088e-30
2.0,1.0,2.2315482794965646e-14,0.0,True,4.999999999999985,6.217248937900877e-15,4.999999999999985,4.999999999999979,2.999999999999984,9.769962616701378e-15,2.999999999999984,2.999999999999994,4.0,1.0,1.7763568394002505e-15,8.881784197001252e-16,0.25,0.0,True,A_2.00_B_1.00,True,True,True,True,3.1530333899354446e-14,0.19999999999999996,2.2,0.0,6.0,False,-1.0,1.0,0.0
