step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,0.8596491228071075,8.221808652251313e-32,0.8596491228071075,9.999999999999998,0.9999999999999998,3.096568968671539e-14,nan,0.29319773575708535,0.29319773585185027,3.2877753208336e-11,nan,nan,0.0002160533895100599,0.00021605338951005758
1.0,0.8596491228071081,4.913088909773737e-28,0.8596491228071081,10.000000000000002,1.0000000000000002,3.077586012500741e-14,0.3438596491228431,0.2931977357570922,0.2931977358518439,3.287797978610502e-11,0.343859649122843,4.5775904052153226e-17,0.0002160533895099903,0.00021605338951005768
2.0,0.8596491228071084,1.9560104232692237e-27,0.8596491228071084,10.0,1.0,3.065920334870968e-14,0.3438596491228433,0.2931977357570989,0.2931977358518372,3.287817193102122e-11,0.3438596491228433,3.554013953140215e-17,0.00021605338950999008,0.00021605338951005763
3.0,0.8596491228071091,4.399275300477334e-27,0.8596491228071091,10.000000000000002,1.0000000000000002,3.099803407574101e-14,0.3438596491228432,0.2931977357571056,0.29319773585183057,3.28783841851745e-11,0.34385964912284334,3.55813907933947e-17,0.00021605338951005316,0.00021605338951005796
4.0,0.8596491228071115,7.822791753537973e-27,0.8596491228071115,10.000000000000002,1.0000000000000002,3.090579829348232e-14,0.3438596491228437,0.2931977357571128,0.2931977358518243,3.2878585587895095e-11,0.34385964912284384,5.3911625098000813e-17,0.00021605338950999667,0.00021605338951005858
5.0,0.8596491228071113,1.2189170599490892e-26,0.8596491228071113,9.999999999999998,0.9999999999999998,3.061592300887113e-14,0.3438596491228447,0.2931977357571195,0.2931977358518177,3.2878762076901085e-11,0.34385964912284456,4.54922388979178e-17,0.00021605338951003752,0.00021605338951005844
6.0,0.8596491228071108,1.7555603499872866e-26,0.8596491228071108,9.999999999999998,0.9999999999999998,3.076318379876137e-14,0.3438596491228445,0.29319773575712604,0.29319773585181086,3.287898149936826e-11,0.3438596491228445,4.0557450811298454e-17,0.000216053389510145,0.00021605338951005852
7.0,0.859649122807111,2.385804770266058e-26,0.859649122807111,10.000000000000002,1.0000000000000002,3.061627160320132e-14,0.3438596491228446,0.29319773575713276,0.2931977358518042,3.287913263403063e-11,0.34385964912284445,4.090648342145207e-17,0.00021605338951009276,0.00021605338951005844
8.0,0.8596491228071115,3.110912384071839e-26,0.8596491228071115,10.0,1.0,3.0370571621507585e-14,0.3438596491228445,0.29319773575713953,0.29319773585179776,3.28793482075434e-11,0.3438596491228445,5.681408115216833e-17,0.00021605338951016207,0.00021605338951005858
9.0,0.8596491228071096,3.9364161450767124e-26,0.8596491228071096,10.000000000000002,1.0000000000000002,3.021259320706897e-14,0.3438596491228447,0.293197735757146,0.29319773585179093,3.287958365340752e-11,0.3438596491228446,4.959134828068345e-17,0.00021605338951008842,0.0002160533895100582
10.0,0.8596491228071099,4.859339687588446e-26,0.8596491228071099,9.999999999999996,0.9999999999999997,3.0571838067536925e-14,0.3438596491228441,0.2931977357571527,0.2931977358517842,3.287982716468888e-11,0.3438596491228438,5.045669421566214e-17,0.00021605338951008742,0.00021605338951005823
