step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9
0,0.3570357027346275,0.3556366308252529,0.2979379317493162,0.2389497307954831,0.22967836030682823,0.2269895589868824,0.16255798257903417,0.07399830463843411,1.969944875803803e-09
1,0.35703570273462726,0.35563663082525254,0.29793793174931604,0.23894973079548276,0.2296783603068282,0.22698955898688206,0.16255798257903392,0.07399830463843396,2.3296464178506153e-09
2,0.3570357027346275,0.355636630825253,0.2979379317493164,0.2389497307954832,0.22967836030682848,0.22698955898688225,0.16255798257903398,0.07399830463843403,2.698044541108388e-09
3,0.3570357027346277,0.35563663082525304,0.29793793174931643,0.23894973079548334,0.2296783603068285,0.22698955898688253,0.1625579825790343,0.0739983046384342,3.243344442180014e-09
4,0.3570357027346278,0.3556366308252528,0.2979379317493166,0.23894973079548346,0.22967836030682848,0.2269895589868824,0.1625579825790343,0.07399830463843436,3.0856264950358277e-09
5,0.3570357027346289,0.35563663082525376,0.2979379317493175,0.23894973079548432,0.2296783603068291,0.22698955898688308,0.16255798257903498,0.07399830463843476,3.3207797985530664e-09
6,0.357035702734629,0.35563663082525393,0.29793793174931765,0.23894973079548443,0.22967836030682917,0.22698955898688336,0.1625579825790351,0.07399830463843465,1.9560075417535563e-09
7,0.3570357027346287,0.3556366308252537,0.2979379317493173,0.2389497307954842,0.22967836030682906,0.2269895589868834,0.16255798257903495,0.07399830463843453,7.696280545939809e-10
8,0.35703570273462804,0.3556366308252532,0.29793793174931704,0.23894973079548357,0.2296783603068289,0.22698955898688283,0.16255798257903445,0.07399830463843392,3.1861677526641743e-09
9,0.3570357027346278,0.35563663082525276,0.29793793174931693,0.23894973079548312,0.22967836030682895,0.22698955898688222,0.16255798257903412,0.07399830463843374,2.7760102218823677e-09
10,0.35703570273462787,0.355636630825253,0.29793793174931704,0.23894973079548318,0.22967836030682903,0.22698955898688236,0.16255798257903417,0.07399830463843372,3.833505516584323e-09
11,0.3570357027346278,0.35563663082525276,0.2979379317493169,0.23894973079548307,0.22967836030682878,0.2269895589868822,0.16255798257903406,0.07399830463843379,2.6686995972946934e-09
