step,tol,triplet_cluster_count,cluster_sizes_desc
0,0.01,2,14;14
0,0.001,2,14;14
0,0.0001,2,14;14
0,1e-06,2,14;14
0,1e-08,2,14;14
0,1e-10,2,14;14
1,0.01,2,14;14
1,0.001,2,14;14
1,0.0001,2,14;14
1,1e-06,2,14;14
1,1e-08,2,14;14
1,1e-10,2,14;14
10,0.01,2,14;14
10,0.001,2,14;14
10,0.0001,2,14;14
10,1e-06,2,14;14
10,1e-08,2,14;14
10,1e-10,2,14;14
50,0.01,2,14;14
50,0.001,2,14;14
50,0.0001,2,14;14
50,1e-06,2,14;14
50,1e-08,2,14;14
50,1e-10,2,14;14
100,0.01,2,14;14
100,0.001,2,14;14
100,0.0001,2,14;14
100,1e-06,2,14;14
100,1e-08,2,14;14
100,1e-10,2,14;14
150,0.01,2,14;14
150,0.001,2,14;14
150,0.0001,2,14;14
150,1e-06,2,14;14
150,1e-08,6,11;10;2;2;2;1
150,1e-10,26,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200,0.01,2,14;14
200,0.001,2,14;14
200,0.0001,2,14;14
200,1e-06,9,10;9;2;2;1;1;1;1;1
200,1e-08,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
200,1e-10,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,0.01,17,4;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1
300,0.001,24,3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,0.0001,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-06,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-08,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
300,1e-10,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.01,26,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.001,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,0.0001,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-06,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-08,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
500,1e-10,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
750,0.01,27,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
750,0.001,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
750,0.0001,28,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
