case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=8,8,28,7,0.10469314060499468,0.03571428571428618,0.03571428571428652,28,22,3+2+2+2+2 + 17 singles at tol1e-2
N=9,9,36,8,0.15410893891219501,0.027777777777778418,0.0277777777777785,36,34,2+2 + 32 singles at tol1e-2
