step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,1.236587394487611e-31,4.227290895009612e-32,0.9999999999999998,8.852713684850408e-12
5,4.182918059912551e-29,1.4299362510133312e-29,1.0,8.852676919009982e-12
10,9.369748490715548e-29,3.203061316967721e-29,0.9999999999999997,8.852598638468595e-12
25,2.6602507267493075e-28,9.094103438026503e-29,1.0000000000000004,8.852636573926012e-12
50,8.040950303670961e-28,2.7488098421072497e-28,1.0000000000000002,8.852566963221735e-12
75,1.6527811731807014e-27,5.650055011053336e-28,0.9999999999999992,8.8523595487074e-12
100,2.554598082643209e-27,8.732928431347403e-28,1.0000000000000007,8.852273804262301e-12
125,3.819852358176627e-27,1.3058217450689732e-27,1.0000000000000004,8.85226202857142e-12
150,5.334282969074711e-27,1.8235319175251596e-27,0.9999999999999998,8.852255399889323e-12
200,8.763553207573493e-27,2.995832631599603e-27,0.9999999999999997,8.851982887788859e-12
250,1.2775973601167926e-26,4.367484022548841e-27,0.9999999999999994,8.851928672075734e-12
300,1.716762525783699e-26,5.868776138661902e-27,0.9999999999999998,8.85182482816956e-12
350,2.170465837685511e-26,7.419767106213229e-27,0.9999999999999998,8.851869480568712e-12
400,2.877418586702386e-26,9.836494732940434e-27,1.0,8.851572582189031e-12
450,3.5359210537009485e-26,1.2087594408946477e-26,1.0,8.851385574908734e-12
500,4.248616893513112e-26,1.4523954869985533e-26,0.9999999999999997,8.851096895848917e-12
