N,M,total_closure_residual,best_pair_residual,pair_hits_lt1e-6,pair_exact_cover_count_capped100,best_triple_residual,triple_hits_lt1e-6,triple_exact_cover_count_capped100,roundrobin_min,roundrobin_mean,roundrobin_max,hamilton_min,hamilton_mean,hamilton_max
3,3,7.874661000091378e-14,0.4999999995910234,0,0,7.874661000091378e-14,1,1,1.0,1.0,1.0000000000000002,7.874661000091378e-14,7.874661000091378e-14,7.874661000091378e-14
4,6,5.3854825611833325e-14,0.4999999997696122,0,0,6.809730976538758e-13,8,4,0.9999999999999999,1.0,1.0000000000000002,,,
5,10,1.66556544705118e-14,3.237376461931726e-11,13,12,0.3333333330907068,0,0,0.09075009372267749,0.8173247581586521,1.0000000000000002,0.1999999999292998,0.19999999993678294,0.1999999999442661
6,15,8.32256224652017e-14,0.11024921473473878,0,0,0.07542712779089353,0,0,0.3684856097481799,0.6440402556000615,0.9977313280980824,,,
7,21,1.3511554573068483e-14,0.0021083982942646643,0,0,0.04866588922044853,0,0,0.09112074348325044,0.5118873008212168,0.8592506046037516,0.07791849878465447,0.09726535269508467,0.13486420787740605
8,28,1.1129153304847811e-13,0.007557500163442879,0,0,0.008576341215615423,0,0,0.2593354383518451,0.4745705232819342,0.7919536719410976,,,
9,36,6.436291650532655e-14,0.002859009130302003,0,0,0.18673917423401587,0,0,0.15648591868668033,0.5066912186894739,0.9410332905678255,0.15162590570227624,0.21241751205029616,0.3215700259855874
10,45,6.775010173653169e-15,0.0010011717162589978,0,0,0.0029383596205089283,0,0,0.20832242204864312,0.432929022986414,0.6846163249859625,,,
11,55,9.924258820897467e-14,2.8395321548275953e-05,0,0,0.025088617054310747,0,0,0.21289834594229423,0.32752497021486376,0.5902154961412707,0.014879824660113587,0.192391716074354,0.30738616336586344
12,66,6.917798336020544e-14,0.00029749137104143183,0,0,0.006548351613323519,0,0,0.03363969515030957,0.3871797214643774,0.8402875143902152,,,
13,78,9.084795729992505e-14,8.372465842823519e-05,0,0,0.015434098926184314,0,0,0.020732118653923638,0.3079446801363238,0.6645977113912572,0.01574477981710503,0.18352991152439124,0.4636222698867068
14,91,1.9584477963532467e-13,2.3258452090005666e-05,0,0,0.0025238368703597116,0,0,0.07705197659790469,0.32431307585348573,0.7031569449916166,,,
15,105,3.9159591165965365e-14,0.0002490356479866886,0,0,0.0026649381245239714,0,0,0.10500879295415184,0.3939432382015235,0.6856385691254508,0.03502515311516417,0.10191637193354908,0.16618186155919254
16,120,3.340820461814604e-14,6.91610380943071e-05,0,0,0.0023746873158716013,0,0,0.11242958162702801,0.3477781713727218,0.75021432048254,,,
