N,M,decomposition,block_id,block_size,closure_residual,edges
3,3,round_robin_matching,0,1,1.0000000000000002,2-3
3,3,round_robin_matching,1,1,1.0,1-3
3,3,round_robin_matching,2,1,1.0,1-2
3,3,walecki_hamilton_cycle,0,3,7.874661000091378e-14,"1-3,1-2,2-3"
4,6,round_robin_matching,0,2,1.0000000000000002,"1-4,2-3"
4,6,round_robin_matching,1,2,0.9999999999999999,"1-3,2-4"
4,6,round_robin_matching,2,2,1.0,"1-2,3-4"
5,10,round_robin_matching,0,2,1.0,"2-5,3-4"
5,10,round_robin_matching,1,2,1.0000000000000002,"1-5,2-3"
5,10,round_robin_matching,2,2,0.9958736970705834,"1-4,3-5"
5,10,round_robin_matching,3,2,0.9999999999999999,"1-3,2-4"
5,10,round_robin_matching,4,2,0.09075009372267749,"1-2,4-5"
5,10,walecki_hamilton_cycle,0,5,0.1999999999292998,"1-5,1-4,2-4,2-3,3-5"
5,10,walecki_hamilton_cycle,1,5,0.1999999999442661,"2-5,1-2,1-3,3-4,4-5"
6,15,round_robin_matching,0,3,0.36937002271947506,"1-6,2-5,3-4"
6,15,round_robin_matching,1,3,0.4938237438413505,"1-5,4-6,2-3"
6,15,round_robin_matching,2,3,0.3684856097481799,"1-4,3-5,2-6"
6,15,round_robin_matching,3,3,0.9977313280980824,"1-3,2-4,5-6"
6,15,round_robin_matching,4,3,0.9907905735932194,"1-2,3-6,4-5"
7,21,round_robin_matching,0,3,0.09112074348325044,"2-7,3-6,4-5"
7,21,round_robin_matching,1,3,0.32031317098595113,"1-7,2-5,3-4"
7,21,round_robin_matching,2,3,0.8031881460881167,"1-6,5-7,2-3"
7,21,round_robin_matching,3,3,0.8564056517786615,"1-5,4-6,3-7"
7,21,round_robin_matching,4,3,0.35819233179893256,"1-4,3-5,2-6"
7,21,round_robin_matching,5,3,0.29474045700985413,"1-3,2-4,6-7"
7,21,round_robin_matching,6,3,0.8592506046037516,"1-2,4-7,5-6"
7,21,walecki_hamilton_cycle,0,7,0.13486420787740605,"1-7,1-6,2-6,2-5,3-5,3-4,4-7"
7,21,walecki_hamilton_cycle,1,7,0.0790133514231935,"2-7,1-2,1-3,3-6,4-6,4-5,5-7"
7,21,walecki_hamilton_cycle,2,7,0.07791849878465447,"3-7,2-3,2-4,1-4,1-5,5-6,6-7"
8,28,round_robin_matching,0,4,0.2764860505033319,"1-8,2-7,3-6,4-5"
8,28,round_robin_matching,1,4,0.7919536719410976,"1-7,6-8,2-5,3-4"
8,28,round_robin_matching,2,4,0.5770529825625194,"1-6,5-7,4-8,2-3"
8,28,round_robin_matching,3,4,0.47687404556045837,"1-5,4-6,3-7,2-8"
8,28,round_robin_matching,4,4,0.5591774799151497,"1-4,3-5,2-6,7-8"
8,28,round_robin_matching,5,4,0.3811139941391375,"1-3,2-4,5-8,6-7"
8,28,round_robin_matching,6,4,0.2593354383518451,"1-2,3-8,4-7,5-6"
9,36,round_robin_matching,0,4,0.9410332905678255,"2-9,3-8,4-7,5-6"
9,36,round_robin_matching,1,4,0.506262854712294,"1-9,2-7,3-6,4-5"
9,36,round_robin_matching,2,4,0.3583489095868353,"1-8,7-9,2-5,3-4"
9,36,round_robin_matching,3,4,0.8753518985352297,"1-7,6-8,5-9,2-3"
9,36,round_robin_matching,4,4,0.24994021914646902,"1-6,5-7,4-8,3-9"
9,36,round_robin_matching,5,4,0.4701456091055462,"1-5,4-6,3-7,2-8"
9,36,round_robin_matching,6,4,0.508281462957702,"1-4,3-5,2-6,8-9"
9,36,round_robin_matching,7,4,0.15648591868668033,"1-3,2-4,6-9,7-8"
9,36,round_robin_matching,8,4,0.49437080490668167,"1-2,4-9,5-8,6-7"
9,36,walecki_hamilton_cycle,0,9,0.3215700259855874,"1-9,1-8,2-8,2-7,3-7,3-6,4-6,4-5,5-9"
9,36,walecki_hamilton_cycle,1,9,0.15162590570227624,"2-9,1-2,1-3,3-8,4-8,4-7,5-7,5-6,6-9"
9,36,walecki_hamilton_cycle,2,9,0.21739532437417422,"3-9,2-3,2-4,1-4,1-5,5-8,6-8,6-7,7-9"
9,36,walecki_hamilton_cycle,3,9,0.1590787921391468,"4-9,3-4,3-5,2-5,2-6,1-6,1-7,7-8,8-9"
10,45,round_robin_matching,0,5,0.20832242204864312,"1-10,2-9,3-8,4-7,5-6"
10,45,round_robin_matching,1,5,0.2704952841078406,"1-9,8-10,2-7,3-6,4-5"
10,45,round_robin_matching,2,5,0.22285862656681268,"1-8,7-9,6-10,2-5,3-4"
10,45,round_robin_matching,3,5,0.6217707483582163,"1-7,6-8,5-9,4-10,2-3"
10,45,round_robin_matching,4,5,0.5620280057399538,"1-6,5-7,4-8,3-9,2-10"
10,45,round_robin_matching,5,5,0.4501718224934732,"1-5,4-6,3-7,2-8,9-10"
10,45,round_robin_matching,6,5,0.6846163249859625,"1-4,3-5,2-6,7-10,8-9"
10,45,round_robin_matching,7,5,0.22499432489763885,"1-3,2-4,5-10,6-9,7-8"
10,45,round_robin_matching,8,5,0.6511036476791847,"1-2,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,0,5,0.21289834594229423,"2-11,3-10,4-9,5-8,6-7"
11,55,round_robin_matching,1,5,0.219319787533736,"1-11,2-9,3-8,4-7,5-6"
11,55,round_robin_matching,2,5,0.3184362464347058,"1-10,9-11,2-7,3-6,4-5"
11,55,round_robin_matching,3,5,0.23691691379316118,"1-9,8-10,7-11,2-5,3-4"
11,55,round_robin_matching,4,5,0.25029044115021426,"1-8,7-9,6-10,5-11,2-3"
11,55,round_robin_matching,5,5,0.3864357314244886,"1-7,6-8,5-9,4-10,3-11"
11,55,round_robin_matching,6,5,0.5902154961412707,"1-6,5-7,4-8,3-9,2-10"
11,55,round_robin_matching,7,5,0.33925653723450505,"1-5,4-6,3-7,2-8,10-11"
11,55,round_robin_matching,8,5,0.23077650960971427,"1-4,3-5,2-6,8-11,9-10"
11,55,round_robin_matching,9,5,0.5524580492868987,"1-3,2-4,6-11,7-10,8-9"
11,55,round_robin_matching,10,5,0.26577061381251327,"1-2,4-11,5-10,6-9,7-8"
11,55,walecki_hamilton_cycle,0,11,0.2898675717802797,"1-11,1-10,2-10,2-9,3-9,3-8,4-8,4-7,5-7,5-6,6-11"
11,55,walecki_hamilton_cycle,1,11,0.014879824660113587,"2-11,1-2,1-3,3-10,4-10,4-9,5-9,5-8,6-8,6-7,7-11"
11,55,walecki_hamilton_cycle,2,11,0.18709242982943988,"3-11,2-3,2-4,1-4,1-5,5-10,6-10,6-9,7-9,7-8,8-11"
11,55,walecki_hamilton_cycle,3,11,0.30738616336586344,"4-11,3-4,3-5,2-5,2-6,1-6,1-7,7-10,8-10,8-9,9-11"
11,55,walecki_hamilton_cycle,4,11,0.16273259073607352,"5-11,4-5,4-6,3-6,3-7,2-7,2-8,1-8,1-9,9-10,10-11"
12,66,round_robin_matching,0,6,0.1914784943974244,"1-12,2-11,3-10,4-9,5-8,6-7"
12,66,round_robin_matching,1,6,0.16347206500558242,"1-11,10-12,2-9,3-8,4-7,5-6"
12,66,round_robin_matching,2,6,0.4225533541883486,"1-10,9-11,8-12,2-7,3-6,4-5"
12,66,round_robin_matching,3,6,0.8402875143902152,"1-9,8-10,7-11,6-12,2-5,3-4"
