N,M,subset_size,best_closure_residual,hit_count_lt1e-6,best_edges
3,3,2,0.4999999995910234,0,"1-3,2-3"
3,3,3,7.874661000091378e-14,1,"1-2,1-3,2-3"
4,6,2,0.4999999997696122,0,"1-4,2-4"
4,6,3,6.809730976538758e-13,8,"1-2,2-3,2-4"
5,10,2,3.237376461931726e-11,13,"2-4,2-5"
5,10,3,0.3333333330907068,0,"1-3,1-5,3-5"
6,15,2,0.11024921473473878,0,"1-2,3-5"
6,15,3,0.07542712779089353,0,"1-3,2-3,3-6"
7,21,2,0.0021083982942646643,0,"4-6,5-7"
7,21,3,0.04866588922044853,0,"2-6,4-5,4-7"
8,28,2,0.007557500163442879,0,"1-4,3-8"
8,28,3,0.008576341215615423,0,"3-5,4-8,5-8"
9,36,2,0.002859009130302003,0,"4-5,5-6"
9,36,3,0.18673917423401587,0,"1-7,5-8,6-8"
10,45,2,0.0010011717162589978,0,"2-5,7-10"
10,45,3,0.0029383596205089283,0,"2-3,3-6,3-8"
11,55,2,2.8395321548275953e-05,0,"1-3,8-9"
11,55,3,0.025088617054310747,0,"1-2,1-11,6-11"
12,66,2,0.00029749137104143183,0,"4-6,5-7"
12,66,3,0.006548351613323519,0,"2-6,2-7,6-10"
13,78,2,8.372465842823519e-05,0,"2-5,2-11"
13,78,3,0.015434098926184314,0,"1-4,8-12,9-10"
14,91,2,2.3258452090005666e-05,0,"5-13,7-12"
14,91,3,0.0025238368703597116,0,"1-10,3-6,4-10"
15,105,2,0.0002490356479866886,0,"3-12,7-11"
15,105,3,0.0026649381245239714,0,"1-12,7-8,7-13"
16,120,2,6.91610380943071e-05,0,"11-14,13-15"
16,120,3,0.0023746873158716013,0,"1-7,3-10,4-13"
