mode_id,bin_index,signed_k,address_m,address_n,address,state_order,quadratic_order,cover_ratio,power,power_fraction,coherence_mean,coherence_min,rank1_fraction,phase_step_per_window_deg,single_mode_closure_residual,real_imag_rank,cartan_ready,BF_address_prediction,BF_measured,BF_type,BF_status,half_cycle_overlap_real,half_cycle_overlap_imag,half_cycle_fidelity,BF_behavior_residual_to_address_prediction,pair_branch,conjugate_address,model_charge_magnitude,conjugate_pair_det_gamma,coherence_random_reference,coherence_significant_vs_random_reference,state_recurrence_fidelity,quadratic_recurrence_fidelity,spin_structure,physical_spin,lifetime_steps,lifetime_status,status
k+1,1,1,1,144,1/144,144,72,2,136.59277467789482,0.9485609352631594,0.8448068435410538,0.3112778266365022,0.4061325492879793,-5.482095202202615,0.05995775299684533,2,False,F,F,F,address_prediction_not_confirmed_by_half_cycle,-0.9990607063357319,-0.009905008404257553,0.9991098058449531,0.009949445415506688,+m/n,-1/144,0.0004758892090711187,0.9948906938607802,0.13005309478285085,True,0.9968179067024463,0.9991415115740434,unresolved_non_null_single_mode,unresolved_parent_cartan_map,5904,lower_bound_no_e_fold_crossing,persistent_needs_bundle_closure
k+0,0,0,0,1,0/1,1,1,1,3.516510783121351,0.024420213771676073,0.6337494678872742,0.37030685978725375,0.3048904766972617,-62.21364701616265,0.06157439739041294,2,False,B,F,B,address_prediction_not_confirmed_by_half_cycle,-0.5188624565121077,0.680772208074475,0.8559608916675897,1.6644500476399375,neutral,0/1,0.0,0.0,0.13005309478285085,True,0.9999694502971486,0.9999626754228509,unresolved_non_null_single_mode,unresolved_parent_cartan_map,403,measured_first_e_fold_crossing,persistent_needs_bundle_closure
k+2,2,2,1,72,1/72,72,36,2,1.7879497732440537,0.012416317869750386,0.5935571777181357,0.12796467862895655,0.2673145540037223,-4.562183492967586,0.014595362492327306,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/72,0.001902650954127234,0.6408143673594835,0.13005309478285085,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-1,143,-1,-1,144,-1/144,144,72,2,0.5082720224607756,0.0035296668226442785,0.624145797292153,0.40855188236509504,0.300171853919939,-49.95099926556968,0.03560420011690817,2,False,F,F,F,address_prediction_not_confirmed_by_half_cycle,-0.604365013860173,0.5734247690636385,0.833110458315039,0.6966656357489927,-m/n,1/144,0.0004758892090711187,0.9948906938607802,0.13005309478285085,True,0.4586815920360076,0.7773048557159273,unresolved_non_null_single_mode,unresolved_parent_cartan_map,432,measured_first_e_fold_crossing,persistent_needs_bundle_closure
k+3,3,3,1,48,1/48,48,24,2,0.3703762857623742,0.00257205754001649,0.6023326552000225,0.07723684990906998,0.24764790851573265,-27.287538360912638,0.042274307770240584,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-1/48,0.004277569313094794,0.21359149310772385,0.13005309478285085,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-2,142,-2,-1,72,-1/72,72,36,2,0.19602653469035664,0.0013612953797941447,0.6237776485510935,0.3536158183998811,0.29355874632753665,-45.448017323799704,0.03853657493016939,2,False,B,F,B,address_prediction_not_confirmed_by_half_cycle,-0.6278747787128658,0.5415862890123109,0.8291817932093399,1.7156025191213693,-m/n,1/72,0.001902650954127234,0.6408143673594835,0.13005309478285085,True,0.8291817932093399,0.914305625717602,unresolved_non_null_single_mode,unresolved_parent_cartan_map,216,measured_first_e_fold_crossing,persistent_needs_bundle_closure
k+4,4,4,1,36,1/36,36,18,2,0.15933418942720104,0.001106487426577786,0.6108538844626059,0.12033721644062452,0.2472360091218039,-32.347675119523075,0.05115870881551237,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/36,0.007596123493895969,0.05875677124166023,0.13005309478285085,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-3,141,-3,-1,48,-1/48,48,24,2,0.10526098627812219,0.0007309790713758493,0.6232655602946813,0.3245546186017503,0.2875833950886192,-43.746521529711735,0.04410030052899817,2,False,F,F,F,address_prediction_not_confirmed_by_half_cycle,-0.6360972233201706,0.5190538114261247,0.8209972817687146,0.6339101592743855,-m/n,1/48,0.004277569313094794,0.21359149310772385,0.13005309478285085,True,0.9168425472110312,0.9557107175135936,unresolved_non_null_single_mode,unresolved_parent_cartan_map,192,measured_first_e_fold_crossing,persistent_needs_bundle_closure
k+5,5,5,5,144,5/144,144,72,2,0.08999402087833688,0.0006249584783217845,0.6139277868637951,0.14832698833632205,0.2526871821552745,-34.34053807624126,0.05208093200261052,2,False,F,F,F,address_prediction_not_confirmed_by_half_cycle,-0.6912068171985725,0.3959052928034671,0.7965600197170203,0.5020898630867137,+m/n,-5/144,0.011851996440033315,0.02483468792188659,0.13005309478285085,True,0.3380025981906961,0.5259153940282101,unresolved_non_null_single_mode,unresolved_parent_cartan_map,144,measured_first_e_fold_crossing,persistent_needs_bundle_closure
k-4,140,-4,-1,36,-1/36,36,18,2,0.06578700142258231,0.00045685417654571097,0.6228142880664722,0.3070294457433797,0.28383688027228243,-42.793412211283936,0.04477172627524271,2,False,B,F,B,address_prediction_not_confirmed_by_half_cycle,-0.6417777582725115,0.5074528107575543,0.8181607703618112,1.7184128033461736,-m/n,1/36,0.007596123493895969,0.05875677124166023,0.13005309478285085,True,0.9516943490679348,0.9733756424291328,unresolved_non_null_single_mode,unresolved_parent_cartan_map,180,measured_first_e_fold_crossing,persistent_needs_bundle_closure
