モード,波数k,有限位数住所m/n,回帰位数n,全体に占める強度比,窓間コヒーレンス平均,同一空間方向への集中度,単独零閉鎖誤差,B/F住所予測,粒子・反粒子の共役枝,住所から読むモデル電荷量,正負共役対のグラム行列式detΓ,状態と二次量の被覆比,内部スピン構造,相関寿命（ステップ）,総合判定
k=+1,1,1/144,144,0.948561,0.84481,0.40613,0.059958,F型,正方向の共役枝,0.0004758892,0.99489,2:1,未確定（単独では零閉鎖しない）,5904以上,持続するが倍音束での閉鎖が必要
k=+0,0,0/1,1,0.0244202,0.63375,0.30489,0.061574,B型,中立,0,0,1:1,未確定（単独では零閉鎖しない）,403,持続するが倍音束での閉鎖が必要
k=+2,2,1/72,72,0.0124163,0.59356,0.26731,0.014595,B型,正方向の共役枝,0.001902651,0.64081,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-1,-1,-1/144,144,0.00352967,0.62415,0.30017,0.035604,F型,負方向の共役枝,0.0004758892,0.99489,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+3,3,1/48,48,0.00257206,0.60233,0.24765,0.042274,F型,正方向の共役枝,0.004277569,0.21359,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-2,-2,-1/72,72,0.0013613,0.62378,0.29356,0.038537,B型,負方向の共役枝,0.001902651,0.64081,2:1,未確定（単独では零閉鎖しない）,216,持続するが倍音束での閉鎖が必要
k=+4,4,1/36,36,0.00110649,0.61085,0.24724,0.051159,B型,正方向の共役枝,0.007596123,0.058757,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-3,-3,-1/48,48,0.000730979,0.62327,0.28758,0.0441,F型,負方向の共役枝,0.004277569,0.21359,2:1,未確定（単独では零閉鎖しない）,192,持続するが倍音束での閉鎖が必要
k=+5,5,5/144,144,0.000624958,0.61393,0.25269,0.052081,F型,正方向の共役枝,0.011852,0.024835,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-4,-4,-1/36,36,0.000456854,0.62281,0.28384,0.044772,B型,負方向の共役枝,0.007596123,0.058757,2:1,未確定（単独では零閉鎖しない）,180,持続するが倍音束での閉鎖が必要
k=+6,6,1/24,24,0.000403164,0.61544,0.25614,0.047867,B型,正方向の共役枝,0.01703709,0.016993,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-5,-5,-5/144,144,0.000313022,0.62248,0.28131,0.045628,F型,負方向の共役枝,0.011852,0.024835,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+7,7,7/144,144,0.000282128,0.61632,0.25814,0.048344,F型,正方向の共役枝,0.02314152,0.015063,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-6,-6,-1/24,24,0.000228092,0.6222,0.2795,0.045899,B型,負方向の共役枝,0.01703709,0.016993,2:1,未確定（単独では零閉鎖しない）,168,持続するが倍音束での閉鎖が必要
k=+8,8,1/18,18,0.000208686,0.61693,0.25951,0.048041,B型,正方向の共役枝,0.03015369,0.010585,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-7,-7,-7/144,144,0.000173748,0.62198,0.27812,0.046093,F型,負方向の共役枝,0.02314152,0.015063,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+9,9,1/16,16,0.000160768,0.61735,0.26051,0.047839,F型,正方向の共役枝,0.03806023,0.0082357,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-8,-8,-1/18,18,0.000136886,0.62179,0.27707,0.046299,B型,負方向の共役枝,0.03015369,0.010585,2:1,未確定（単独では零閉鎖しない）,162,持続するが倍音束での閉鎖が必要
k=+10,10,5/72,72,0.000127767,0.6177,0.26143,0.047767,B型,正方向の共役枝,0.04684611,0.0066635,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-9,-9,-1/16,16,0.000110727,0.62163,0.27624,0.046442,F型,負方向の共役枝,0.03806023,0.0082357,2:1,未確定（単独では零閉鎖しない）,160,持続するが倍音束での閉鎖が必要
k=+11,11,11/144,144,0.000104084,0.61796,0.26216,0.048057,F型,正方向の共役枝,0.05649458,0.005746,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-10,-10,-5/72,72,9.14899e-05,0.6215,0.27554,0.046483,B型,負方向の共役枝,0.04684611,0.0066635,2:1,未確定（単独では零閉鎖しない）,216,持続するが倍音束での閉鎖が必要
k=+12,12,1/12,12,8.65025e-05,0.61817,0.26276,0.047596,B型,正方向の共役枝,0.0669873,0.0047121,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-11,-11,-11/144,144,7.69369e-05,0.62138,0.27496,0.046494,F型,負方向の共役枝,0.05649458,0.005746,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+13,13,13/144,144,7.30924e-05,0.61834,0.26327,0.047494,F型,正方向の共役枝,0.07830428,0.0037907,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-12,-12,-1/12,12,6.56585e-05,0.62128,0.27447,0.046535,B型,負方向の共役枝,0.0669873,0.0047121,2:1,未確定（単独では零閉鎖しない）,156,持続するが倍音束での閉鎖が必要
k=+14,14,7/72,72,6.26349e-05,0.61849,0.26372,0.047405,B型,正方向の共役枝,0.09042398,0.0031451,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-13,-13,-13/144,144,5.67397e-05,0.6212,0.27405,0.046593,F型,負方向の共役枝,0.07830428,0.0037907,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+15,15,5/48,48,5.43207e-05,0.61861,0.2641,0.047395,F型,正方向の共役枝,0.1033233,0.0027333,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-14,-14,-7/72,72,4.95674e-05,0.62112,0.27368,0.046631,B型,負方向の共役枝,0.09042398,0.0031451,2:1,未確定（単独では零閉鎖しない）,216,持続するが倍音束での閉鎖が必要
k=+16,16,1/9,9,4.76012e-05,0.61872,0.26443,0.047358,B型,正方向の共役枝,0.1169778,0.0023689,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-15,-15,-5/48,48,4.37137e-05,0.62105,0.27336,0.046668,F型,負方向の共役枝,0.1033233,0.0027333,2:1,未確定（単独では零閉鎖しない）,192,持続するが倍音束での閉鎖が必要
k=+17,17,17/144,144,4.2094e-05,0.61881,0.26473,0.047411,F型,正方向の共役枝,0.1313613,0.0021463,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-16,-16,-1/9,9,3.88744e-05,0.62099,0.27308,0.046698,B型,負方向の共役枝,0.1169778,0.0023689,1:1,未確定（単独では零閉鎖しない）,153,持続するが倍音束での閉鎖が必要
k=+18,18,1/8,8,3.75242e-05,0.61889,0.265,0.047401,B型,正方向の共役枝,0.1464466,0.0019171,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-17,-17,-17/144,144,3.48277e-05,0.62093,0.27283,0.046722,F型,負方向の共役枝,0.1313613,0.0021463,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+19,19,19/144,144,3.36906e-05,0.61897,0.26524,0.047373,F型,正方向の共役枝,0.1622049,0.0016936,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-18,-18,-1/8,8,3.14101e-05,0.62088,0.2726,0.046743,B型,負方向の共役枝,0.1464466,0.0019171,2:1,未確定（単独では零閉鎖しない）,152,持続するが倍音束での閉鎖が必要
k=+20,20,5/36,36,3.04435e-05,0.61903,0.26545,0.047378,B型,正方向の共役枝,0.1786062,0.001507,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-19,-19,-19/144,144,2.84978e-05,0.62084,0.27239,0.046759,F型,負方向の共役枝,0.1622049,0.0016936,2:1,未確定（単独では零閉鎖しない）,432,持続するが倍音束での閉鎖が必要
k=+21,21,7/48,48,2.76697e-05,0.61909,0.26565,0.047376,F型,正方向の共役枝,0.1956193,0.0013596,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-20,-20,-5/36,36,2.59962e-05,0.62079,0.27221,0.046773,B型,負方向の共役枝,0.1786062,0.001507,2:1,未確定（単独では零閉鎖しない）,180,持続するが倍音束での閉鎖が必要
k=+22,22,11/72,72,2.52815e-05,0.61914,0.26583,0.047367,B型,正方向の共役枝,0.2132118,0.0012271,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-21,-21,-7/48,48,2.3832e-05,0.62075,0.27203,0.046788,F型,負方向の共役枝,0.1956193,0.0013596,2:1,未確定（単独では零閉鎖しない）,192,持続するが倍音束での閉鎖が必要
k=+23,23,23/144,144,2.32108e-05,0.61919,0.26599,0.047353,F型,正方向の共役枝,0.2313502,0.0011115,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-22,-22,-11/72,72,2.19473e-05,0.62072,0.27188,0.0468,B型,負方向の共役枝,0.2132118,0.0012271,2:1,未確定（単独では零閉鎖しない）,216,持続するが倍音束での閉鎖が必要
k=+24,24,1/6,6,2.14042e-05,0.61923,0.26615,0.047314,B型,正方向の共役枝,0.25,0.00099672,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-23,-23,-23/144,144,2.02963e-05,0.62068,0.27173,0.046814,F型,負方向の共役枝,0.2313502,0.0011115,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+25,25,25/144,144,1.98187e-05,0.61927,0.26628,0.047283,F型,正方向の共役枝,0.2691257,0.00089257,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-24,-24,-1/6,6,1.88421e-05,0.62065,0.2716,0.046828,B型,負方向の共役枝,0.25,0.00099672,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+26,26,13/72,72,1.842e-05,0.61931,0.26641,0.047272,B型,正方向の共役枝,0.2886909,0.00080651,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-25,-25,-25/144,144,1.7555e-05,0.62062,0.27147,0.046841,F型,負方向の共役枝,0.2691257,0.00089257,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+27,27,3/16,16,1.71801e-05,0.61935,0.26653,0.047268,F型,正方向の共役枝,0.3086583,0.00073403,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-26,-26,-13/72,72,1.64105e-05,0.6206,0.27135,0.046851,B型,負方向の共役枝,0.2886909,0.00080651,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+28,28,7/36,36,1.60762e-05,0.61938,0.26664,0.047263,B型,正方向の共役枝,0.3289899,0.00066842,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-27,-27,-3/16,16,1.53885e-05,0.62057,0.27124,0.04686,F型,負方向の共役枝,0.3086583,0.00073403,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+29,29,29/144,144,1.50893e-05,0.61941,0.26675,0.047259,F型,正方向の共役枝,0.3496471,0.00060943,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-28,-28,-7/36,36,1.44725e-05,0.62055,0.27114,0.046869,B型,負方向の共役枝,0.3289899,0.00066842,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+30,30,5/24,24,1.42036e-05,0.61944,0.26685,0.047252,B型,正方向の共役枝,0.3705905,0.00055568,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-29,-29,-29/144,144,1.36486e-05,0.62052,0.27104,0.046878,F型,負方向の共役枝,0.3496471,0.00060943,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+31,31,31/144,144,1.34061e-05,0.61946,0.26694,0.047246,F型,正方向の共役枝,0.3917802,0.00050719,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-30,-30,-5/24,24,1.2905e-05,0.6205,0.27095,0.046886,B型,負方向の共役枝,0.3705905,0.00055568,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+32,32,2/9,9,1.26857e-05,0.61949,0.26703,0.047241,B型,正方向の共役枝,0.4131759,0.00046467,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-31,-31,-31/144,144,1.22319e-05,0.62048,0.27087,0.046893,F型,負方向の共役枝,0.3917802,0.00050719,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+33,33,11/48,48,1.2033e-05,0.61951,0.26711,0.047236,F型,正方向の共役枝,0.4347369,0.00042693,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-32,-32,-2/9,9,1.16209e-05,0.62046,0.27078,0.0469,B型,負方向の共役枝,0.4131759,0.00046467,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+34,34,17/72,72,1.14401e-05,0.61953,0.26719,0.047228,B型,正方向の共役枝,0.4564221,0.00039216,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-33,-33,-11/48,48,1.10648e-05,0.62044,0.27071,0.046906,F型,負方向の共役枝,0.4347369,0.00042693,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+35,35,35/144,144,1.09e-05,0.61955,0.26727,0.047219,F型,正方向の共役枝,0.4781903,0.00035981,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-34,-34,-17/72,72,1.05576e-05,0.62043,0.27063,0.046912,B型,負方向の共役枝,0.4564221,0.00039216,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+36,36,1/4,4,1.0407e-05,0.61957,0.26734,0.04721,B型,正方向の共役枝,0.5,0.00032962,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-35,-35,-35/144,144,1.00938e-05,0.62041,0.27056,0.046918,F型,負方向の共役枝,0.4781903,0.00035981,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+37,37,37/144,144,9.95595e-06,0.61959,0.26741,0.047202,F型,正方向の共役枝,0.5218097,0.00030171,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-36,-36,-1/4,4,9.66895e-06,0.62039,0.27049,0.046924,B型,負方向の共役枝,0.5,0.00032962,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+38,38,19/72,72,9.5425e-06,0.61961,0.26748,0.047194,B型,正方向の共役枝,0.5435779,0.00027613,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-37,-37,-37/144,144,9.27901e-06,0.62038,0.27043,0.046929,F型,負方向の共役枝,0.5218097,0.00030171,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+39,39,13/48,48,9.16282e-06,0.61963,0.26754,0.047186,F型,正方向の共役枝,0.5652631,0.0002525,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-38,-38,-19/72,72,8.92052e-06,0.62036,0.27036,0.046934,B型,負方向の共役枝,0.5435779,0.00027613,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+40,40,5/18,18,8.81358e-06,0.61965,0.2676,0.047178,B型,正方向の共役枝,0.5868241,0.00023056,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-39,-39,-13/48,48,8.59043e-06,0.62035,0.2703,0.04694,F型,負方向の共役枝,0.5652631,0.0002525,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+41,41,41/144,144,8.49187e-06,0.61966,0.26766,0.047172,F型,正方向の共役枝,0.6082198,0.00021042,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-40,-40,-5/18,18,8.28608e-06,0.62033,0.27025,0.046945,B型,負方向の共役枝,0.5868241,0.00023056,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+42,42,7/24,24,8.19512e-06,0.61968,0.26772,0.047166,B型,正方向の共役枝,0.6294095,0.00019206,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-41,-41,-41/144,144,8.0051e-06,0.62032,0.27019,0.04695,F型,負方向の共役枝,0.6082198,0.00021042,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+43,43,43/144,144,7.92107e-06,0.61969,0.26777,0.047161,F型,正方向の共役枝,0.6503529,0.00017531,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-42,-42,-7/24,24,7.74543e-06,0.6203,0.27014,0.046954,B型,負方向の共役枝,0.6294095,0.00019206,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+44,44,11/36,36,7.66772e-06,0.61971,0.26783,0.047157,B型,正方向の共役枝,0.6710101,0.00015996,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-43,-43,-43/144,144,7.50522e-06,0.62029,0.27008,0.046959,F型,負方向の共役枝,0.6503529,0.00017531,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+45,45,5/16,16,7.4333e-06,0.61972,0.26788,0.047153,F型,正方向の共役枝,0.6913417,0.00014578,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-44,-44,-11/36,36,7.28284e-06,0.62028,0.27003,0.046963,B型,負方向の共役枝,0.6710101,0.00015996,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+46,46,23/72,72,7.21623e-06,0.61973,0.26793,0.047148,B型,正方向の共役枝,0.7113091,0.00013259,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-45,-45,-5/16,16,7.07684e-06,0.62027,0.26998,0.046967,F型,負方向の共役枝,0.6913417,0.00014578,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+47,47,47/144,144,7.01511e-06,0.61975,0.26798,0.047144,F型,正方向の共役枝,0.7308743,0.00012033,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=-46,-46,-23/72,72,6.88592e-06,0.62025,0.26993,0.046971,B型,負方向の共役枝,0.7113091,0.00013259,2:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
k=+48,48,1/3,3,6.82869e-06,0.61976,0.26802,0.047139,B型,正方向の共役枝,0.75,0.00010893,1:1,未確定（単独では零閉鎖しない）,144,持続するが倍音束での閉鎖が必要
