step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
5400,5400,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.6250287352e-08,9.2238772383e-09,9.2238772383e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,4.4408920985e-16
5450,5450,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8438073474e-08,1.2222853260e-08,1.2222853260e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16
5500,5500,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2517635350e-08,1.5687085332e-08,1.5687085332e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,5.5511151231e-16
5550,5550,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.5889921644e-08,1.3408180429e-08,1.3408180429e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,4.4408920985e-16
5600,5600,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.0216104147e-08,1.9018793798e-08,1.9018793798e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16
5650,5650,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.5422135740e-08,2.3274473595e-08,2.3274473595e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,1.1102230246e-16
5667,5667,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.6904560662e-08,2.3461856623e-08,2.3461856623e+00,1.7055817740e-03,2.3461856623e+00,4,0.0000000000e+00,4.4408920985e-16,1.1102230246e-16
5700,5700,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1228008099e-08,9.5338161604e-09,9.5338161604e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16
5750,5750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3005453501e-08,9.1684236260e-09,9.1684236260e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16
5800,5800,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8737547997e-08,1.8083872982e-08,1.8083872982e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16
5850,5850,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.4485115458e-08,2.1492922981e-08,2.1492922981e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,3.3306690739e-16
