step,time,crossing_flag,splitting_fraction,direction_1_occupation,direction_2_occupation,direction_3_occupation,direction_4_occupation,other_rotating_occupation,kernel_occupation,occupation_sum,plane_1_occupation,plane_2_occupation,norm_error,conservation_error,projection_closure_error
0,0,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,1.0616688818e-31,7.1259407942e-32,2.1823193682e-32,2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,1.7742629613e-31,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
25,25,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,7.3871450429e-32,1.3486324436e-31,1.7014387352e-31,2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,2.0873469479e-31,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
50,50,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,7.8616460330e-31,3.7363040921e-31,1.6361978584e-31,2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,1.1597950125e-30,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
75,75,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,3.7027929111e-30,1.8999298901e-30,0.0000000000e+00,1.1102230246e-16,1.0000000000e+00,1.0000000000e+00,5.6027228012e-30,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
100,100,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,2.8987291964e-30,6.0537755942e-30,7.2776077774e-31,-9.6802655683e-30,1.0000000000e+00,1.0000000000e+00,8.9525047906e-30,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
125,125,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,3.5158332617e-30,1.2499071681e-29,5.1373097931e-30,1.1102230246e-16,1.0000000000e+00,1.0000000000e+00,1.6014904943e-29,1.1102230246e-16,1.1102230246e-16,0.0000000000e+00
150,150,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,2.4100365100e-29,2.0478990878e-29,0.0000000000e+00,1.1102230246e-16,1.0000000000e+00,1.0000000000e+00,4.4579355978e-29,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
175,175,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,5.7888880045e-29,4.1110900593e-29,0.0000000000e+00,1.1102230246e-16,1.0000000000e+00,1.0000000000e+00,9.8999780638e-29,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
200,200,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,1.0598512855e-28,9.4151312188e-29,0.0000000000e+00,2.2204460492e-16,1.0000000000e+00,1.0000000000e+00,2.0013644073e-28,4.4408920985e-16,4.4408920985e-16,0.0000000000e+00
225,225,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,1.8755784319e-28,1.9584763549e-28,7.5576861395e-30,-3.9096316482e-28,1.0000000000e+00,1.0000000000e+00,3.8340547868e-28,8.8817841970e-16,8.8817841970e-16,0.0000000000e+00
250,250,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,3.9156563182e-28,4.1696710704e-28,0.0000000000e+00,1.1102230246e-16,1.0000000000e+00,1.0000000000e+00,8.0853273886e-28,1.1102230246e-15,1.1102230246e-15,0.0000000000e+00
275,275,0,-2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,7.9555953031e-28,8.4868356337e-28,1.5077383311e-29,-2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,1.6442430937e-27,1.3322676296e-15,1.3322676296e-15,0.0000000000e+00
300,300,0,-2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,1.6865080115e-27,1.7296422459e-27,9.3293972436e-30,-2.2204460493e-16,1.0000000000e+00,1.0000000000e+00,3.4161502574e-27,1.3322676296e-15,1.3322676296e-15,0.0000000000e+00
325,325,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,3.4774940271e-27,3.5052743508e-27,4.3743743123e-29,-7.0265121210e-27,1.0000000000e+00,1.0000000000e+00,6.9827683779e-27,1.3322676296e-15,1.3322676296e-15,0.0000000000e+00
350,350,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,7.2883225442e-27,7.1799722292e-27,0.0000000000e+00,1.1102230245e-16,1.0000000000e+00,1.0000000000e+00,1.4468294773e-26,1.4432899320e-15,1.4432899320e-15,0.0000000000e+00
375,375,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,1.4832852415e-26,1.4731617497e-26,3.2841920377e-29,-2.9597311833e-26,1.0000000000e+00,1.0000000000e+00,2.9564469912e-26,1.5543122345e-15,1.5543122345e-15,0.0000000000e+00
400,400,0,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,3.0213762731e-26,3.0365451658e-26,1.7144220893e-28,-6.0750656598e-26,1.0000000000e+00,1.0000000000e+00,6.0579214389e-26,1.5543122345e-15,1.5543122345e-15,0.0000000000e+00
425,425,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,6.2373755406e-26,6.2449376227e-26,0.0000000000e+00,1.1102230234e-16,1.0000000000e+00,1.0000000000e+00,1.2482313163e-25,1.7763568394e-15,1.7763568394e-15,0.0000000000e+00
450,450,0,1.1102230246e-16,5.0000000000e-01,5.0000000000e-01,1.2769008977e-25,1.2792967999e-25,1.1276714790e-29,1.1102230221e-16,1.0000000000e+00,1.0000000000e+00,2.5561976976e-25,1.6653345369e-15,1.6653345369e-15,0.0000000000e+00
475,475,0,2.2204460493e-16,5.0000000000e-01,5.0000000000e-01,2.6205147492e-25,2.6227203222e-25,0.0000000000e+00,2.2204460440e-16,1.0000000000e+00,1.0000000000e+00,5.2432350714e-25,1.7763568394e-15,1.7763568394e-15,0.0000000000e+00
500,500,0,4.4408920985e-16,5.0000000000e-01,5.0000000000e-01,5.3771324533e-25,5.3727517301e-25,1.3268233332e-28,4.4408920877e-16,1.0000000000e+00,1.0000000000e+00,1.0749884183e-24,1.8873791419e-15,1.8873791419e-15,0.0000000000e+00
525,525,0,1.3322676296e-15,5.0000000000e-01,5.0000000000e-01,1.1034082213e-24,1.1015912262e-24,0.0000000000e+00,1.3322676273e-15,1.0000000000e+00,1.0000000000e+00,2.2049994474e-24,1.7763568394e-15,1.7763568394e-15,0.0000000000e+00
550,550,0,4.1078251911e-15,5.0000000000e-01,5.0000000000e-01,2.2645491979e-24,2.2581112165e-24,3.2459882080e-28,4.1078251866e-15,1.0000000000e+00,1.0000000000e+00,4.5226604144e-24,1.7763568394e-15,1.7763568394e-15,0.0000000000e+00
