N,M,k,best_residual,edges
15,105,2,2.5436547325802307e-05,"5-10;6-11;"
15,105,3,0.0027569698164119638,"1-15;2-5;2-9;"
15,105,4,2.8932314734446184e-05,"5-10;6-11;6-13;7-14;"
