N,M,k,best_residual,edges,runtime_s
14,91,5,0.00014769981544546646,1-4;1-10;5-10;7-11;10-12,0.3246300220489502
14,91,6,9.249993443238055e-07,1-7;2-14;4-10;5-9;5-14;10-13,6.701047897338867
