N,M,k,best_residual,edges
16,120,2,0.00013248572974095769,"4-15;5-11"
16,120,3,0.0080694734078094639,"2-6;6-13;6-15"
16,120,4,6.6991947384895979e-05,"1-4;3-4;5-11;5-13"
16,120,5,0.00011454101205234666,"2-4;3-9;5-14;5-16;6-7"
16,120,6,1.2156567989439234e-05,"4-15;5-16;6-8;8-13;10-15;11-13"
16,120,7,7.03952084700891e-06,"1-15;2-14;3-6;4-8;4-9;4-10;8-13"
16,120,8,7.4949907793118055e-06,"1-14;2-10;2-12;2-14;3-8;5-16;6-13;11-15"
16,120,9,2.326130772541439e-06,"2-6;2-15;4-14;5-10;6-7;6-8;6-9;6-13;12-13"
16,120,10,1.4276760331746821e-05,"1-8;1-15;2-7;3-11;3-12;3-15;4-9;5-15;6-11;15-16"
16,120,11,4.83221176922764e-06,"1-4;1-16;2-14;3-8;3-16;5-6;5-14;7-14;9-14;10-14;12-15"
16,120,12,2.1898404511002845e-06,"1-5;1-10;2-7;3-12;4-13;5-6;8-11;9-10;9-14;10-15;10-16;12-14"
16,120,13,1.2187579247027264e-06,"1-8;1-9;3-5;4-8;5-8;6-7;6-9;6-13;7-16;8-12;9-13;10-16;13-16"
16,120,14,3.1307434442918206e-06,"1-11;2-8;2-10;2-11;3-6;3-15;4-11;5-13;6-10;6-13;7-10;8-15;10-15;11-14"
