N,M,k,best_residual,edges,runtime_s
15,105,5,2.9040796314158083e-05,3-8;3-15;4-8;12-15;13-14,0.3896000385284424
15,105,6,4.762522725116778e-06,1-10;3-11;3-14;4-8;6-9;9-14,10.444094896316528
