N,M,k,best_residual,edges
14,91,2,0.00015582921155476545,"3-8;7-10"
14,91,3,0.0072254998963978594,"1-14;4-12;8-12"
14,91,4,8.9339087780781036e-06,"1-3;4-9;5-10;5-12"
14,91,5,0.00014769981544613767,"1-4;1-10;5-10;7-11;10-12"
14,91,6,9.2499934480572261e-07,"1-7;2-14;4-10;5-9;5-14;10-13"
14,91,7,2.2694399546855738e-05,"1-2;2-9;3-9;4-6;6-14;9-13;11-12"
14,91,8,6.6524126228166188e-06,"2-5;3-10;3-14;4-5;4-6;6-10;9-10;10-14"
14,91,9,1.4565844635957044e-05,"1-4;2-14;4-11;6-11;6-12;6-14;7-14;10-13;11-14"
14,91,10,1.1262947794081266e-05,"1-3;2-8;2-13;3-4;3-7;3-10;4-7;5-11;6-7;6-11"
14,91,11,5.0678039307826547e-06,"1-13;2-7;3-11;3-12;5-8;5-12;6-7;7-11;8-12;10-12;10-13"
14,91,12,5.7546417120114083e-06,"1-2;1-13;2-4;2-12;3-5;4-6;4-11;6-11;8-13;9-12;10-11;13-14"
