N,M,k,best_residual,edges
14,91,2,0.00015582921155483549,"3-8;7-10;"
14,91,3,0.0072254998963979774,"1-14;4-12;8-12;"
14,91,4,8.9339087780417761e-06,"1-3;4-9;5-10;5-12;"
