N,M,k,best_residual,edges
16,120,2,0.00013248572974102675,"4-15;5-11;"
16,120,3,0.008069473407809627,"2-6;6-13;6-15;"
16,120,4,6.4930341715393574e-05,"3-15;7-9;8-11;10-13;"
