step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6
0,0.37683336612107954,0.31818044582046995,0.27832820881790704,0.21682652964567523,0.16085092420496888,2.3950174739031456e-09
1,0.37823591383067706,0.31716743389420193,0.2796910583423407,0.2124102721244877,0.15910150059821673,3.415866165008665e-09
2,0.37971882228238085,0.3160916888257039,0.28060212846967075,0.2080776009644957,0.16127503085625083,2.897864548275512e-09
3,0.3811352318161913,0.3151139484548744,0.28109761114514686,0.20397922059999984,0.16628853384019437,1.7807003710312858e-09
4,0.38235150517897665,0.31435264174880484,0.2812406573678327,0.20028328812325208,0.17286619165488884,3.76796634539146e-09
5,0.3832573322710963,0.31387476646708107,0.2811148123013099,0.19715714649054927,0.18000231087596624,2.255632147409663e-09
6,0.3837698932607484,0.31369645211450214,0.28081565680383175,0.1947458670232353,0.1870460678323995,2.8773288392057993e-09
7,0.3838345469242087,0.3137935259431965,0.28044225046290183,0.1936118081124683,0.19315050067962738,2.4534902245008176e-09
8,0.3834247439989831,0.31411959096039255,0.2800896300554068,0.1994732485634697,0.19241094252242869,1.660445226801316e-09
9,0.3825425797134779,0.3146265145582218,0.2798434955488805,0.2044891958580679,0.19249871236449506,2.2982362604345382e-09
10,0.38121925684134633,0.3152807722309245,0.2797776845120068,0.20856235229458275,0.19332241559258026,1.5168534471740355e-09
11,0.3795130162018809,0.31607000809222674,0.2799536408607504,0.2116237165825582,0.19474426223034758,2.3898304565429308e-09
12,0.37750241058511375,0.3169980729056341,0.28041971305931257,0.21363411751778116,0.19660235292031972,1.8706201350430198e-09
13,0.3752754278579148,0.318072026375856,0.2812084859799712,0.2145934021760047,0.19873212349661365,2.0983009620444644e-09
14,0.37291780777075906,0.31928769630583564,0.282332597905533,0.2145486255618973,0.20098152923050808,1.8604355731279557e-09
15,0.37050451276553914,0.3206195895527573,0.28378145113459147,0.21359666660569535,0.20321770998081612,2.437689714338472e-09
16,0.368096610076988,0.3220178193334018,0.28552105733697986,0.2118813597698795,0.20532670491132807,1.6160445064555348e-09
