case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=6,6,15,5,0.7892403648398962,0.06666605043411579,0.0666672793685785,15,9,2x6 + 1x3 at tol1e-2
N=7,7,21,6,0.26081773699785493,0.04761904761904791,0.04761904761904824,21,21,all distinct at tol1e-2
