case,step,C_memory,delta_C_memory_forward,R2_memory,R3_memory,reaction_memory_abs_sum,c_effect_increment_abs,blind_signal_ratio,Q_raw,Q_closed
base,1,5.612790126948601e-07,2.474312911964451e-07,7.287272560379894e-07,4.5545453502374334e-07,1.1841817910617328e-06,2.474312911964451e-10,0.00020894704940075052,1.7454608037565927e-09,0.0
base,2,8.087103038913052e-07,2.2763769127978746e-07,1.0393962296563795e-06,6.496226435352372e-07,1.6890188731916166e-06,2.2763769127978745e-10,0.00013477510221637546,2.497729177082922e-09,0.0
base,3,1.0363479951710927e-06,2.094278223637621e-07,1.3189994911462535e-06,8.243746819664086e-07,2.143374173112662e-06,2.094278223637621e-10,9.770940836691417e-05,3.1797221682837547e-09,0.0
base,4,1.2457758175348548e-06,1.9267496166556227e-07,1.5706439305460427e-06,9.816524565912768e-07,2.5522963871373195e-06,1.9267496166556227e-10,7.549082568802614e-05,3.7980722046721735e-09,0.0
base,5,1.438450779200417e-06,1.77262526655609e-07,1.797125717005114e-06,1.123203573128196e-06,2.9203292901333102e-06,1.77262526655609e-10,6.0699499626467514e-05,4.358780069333726e-09,0.0
base,6,1.615713305856026e-06,1.630832635942306e-07,2.000961374061637e-06,1.2506008587885234e-06,3.2515622328501608e-06,1.630832635942306e-10,5.0155356691813886e-05,4.867275538706187e-09,0.0
base,7,1.7787965694502566e-06,1.5003850100969075e-07,2.1844157470737523e-06,1.365259841921095e-06,3.549675588994847e-06,1.5003850100969074e-10,4.226822909531763e-05,5.3284721584451035e-09,0.0
base,8,1.9288350704599474e-06,1.3803746291986925e-07,2.3495271736205905e-06,1.4684544835128687e-06,3.817981657133459e-06,1.3803746291986924e-10,3.61545641954466e-05,5.7468167275934064e-09,0.0
base,9,2.0668725333798166e-06,1.2699663701588122e-07,2.498130136604875e-06,1.5613313353780467e-06,4.059461471982922e-06,1.2699663701588121e-10,3.1284109454510296e-05,6.126334005362737e-09,0.0
base,10,2.193869170395698e-06,1.1683919340874302e-07,2.63187565181277e-06,1.6449222823829807e-06,4.276797934195751e-06,1.1683919340874303e-10,2.731931580740313e-05,6.47066710459145e-09,0.0
base,11,2.310708363804441e-06,1.0749444989223307e-07,2.7522496165084964e-06,1.7201560103178092e-06,4.472405626826306e-06,1.0749444989223308e-10,2.4035040392459427e-05,6.783113990630747e-09,0.0
base,12,2.418202813696674e-06,9.889737999910325e-08,2.8605893229811714e-06,1.7878683268632311e-06,4.6484576498444025e-06,9.889737999910325e-11,2.12753105328202e-05,7.0666604635410755e-09,0.0
