wave_id,resolution,base_wave,harmonics,phase_composition,reflection_fraction,reflection_value,theta_over_pi,finite_order_lock,real_rotation_period,closure_address,conjugate_address,charge_magnitude,particle_antiparticle,conjugate_direction_count,winding_cover_spin
N5-W0001,5,1lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N5-W0002,5,1lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N5-W0003,5,5lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N5-W0004,5,5lambda0(0deg),1lambda0(0deg);order=5,"base:0deg, order5:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N5-W0005,5,5lambda0(0deg),1lambda0(180deg);order=5,"base:0deg, order5:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N5-W0006,5,5lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N5-W0007,5,5lambda0(180deg),1lambda0(0deg);order=5,"base:180deg, order5:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N5-W0008,5,5lambda0(180deg),1lambda0(180deg);order=5,"base:180deg, order5:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
