time,source_cid,target_cid,source_branch,target_branch,subspace_overlap,sigma_source,sigma_target,ambiguity_flag
5,0,0,0,0,1.00000000000000000e+00,3.74165738677394089e+00,3.74165738677394000e+00,0
5,2,1,2,2,9.15972039065647614e-01,1.41421356237309448e+00,1.41421356237309581e+00,0
5,1,2,1,1,9.15972039065647392e-01,1.41421356237309492e+00,1.41421356237309426e+00,0
10,0,0,0,0,1.00000000000000000e+00,3.74165738677394000e+00,3.74165738677394177e+00,0
10,1,1,2,2,9.79463313502434096e-01,1.41421356237309581e+00,1.41421356237309626e+00,0
10,2,2,1,1,9.79463313502434207e-01,1.41421356237309426e+00,1.41421356237309515e+00,0
15,0,0,0,0,9.99999999999999445e-01,3.74165738677394177e+00,3.74165738677393911e+00,0
15,1,1,2,2,9.89673551023544484e-01,1.41421356237309626e+00,1.41421356237309559e+00,0
15,2,2,1,1,9.89673551023544373e-01,1.41421356237309515e+00,1.41421356237309470e+00,0
20,0,0,0,0,9.99999999999999667e-01,3.74165738677393911e+00,3.74165738677394177e+00,0
20,2,1,1,1,8.11133879045654704e-01,1.41421356237309470e+00,1.41421356237309603e+00,1
20,1,2,2,2,8.11133879045654593e-01,1.41421356237309559e+00,1.41421356237309559e+00,1
25,0,0,0,0,1.00000000000000022e+00,3.74165738677394177e+00,3.74165738677394089e+00,0
25,1,1,1,1,8.67748293071942456e-01,1.41421356237309603e+00,1.41421356237309603e+00,1
25,2,2,2,2,8.67748293071941790e-01,1.41421356237309559e+00,1.41421356237309537e+00,1
30,0,0,0,0,1.00000000000000000e+00,3.74165738677394089e+00,3.74165738677394177e+00,0
30,1,1,1,1,6.88730915319246906e-01,1.41421356237309603e+00,1.41421356237309470e+00,1
30,2,2,2,2,6.88730915319246240e-01,1.41421356237309537e+00,1.41421356237309404e+00,1
35,0,0,0,0,1.00000000000000022e+00,3.74165738677394177e+00,3.74165738677394000e+00,0
35,2,1,2,2,8.51525259400720547e-01,1.41421356237309404e+00,1.41421356237309448e+00,1
35,1,2,1,1,8.51525259400720658e-01,1.41421356237309470e+00,1.41421356237309426e+00,1
40,0,0,0,0,1.00000000000000067e+00,3.74165738677394000e+00,3.74165738677394089e+00,0
40,2,1,1,1,9.59511841502067919e-01,1.41421356237309426e+00,1.41421356237309581e+00,0
40,1,2,2,2,9.59511841502067586e-01,1.41421356237309448e+00,1.41421356237309315e+00,0
45,0,0,0,0,1.00000000000000022e+00,3.74165738677394089e+00,3.74165738677394177e+00,0
45,2,1,2,2,5.26514592120110203e-01,1.41421356237309315e+00,1.41421356237309581e+00,1
45,1,2,1,1,5.26514592120110425e-01,1.41421356237309581e+00,1.41421356237309515e+00,1
50,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677393911e+00,0
50,1,1,2,2,5.70133526211726083e-01,1.41421356237309581e+00,1.41421356237309603e+00,1
50,2,2,1,1,5.70133526211726194e-01,1.41421356237309515e+00,1.41421356237309448e+00,1
55,0,0,0,0,1.00000000000000067e+00,3.74165738677393911e+00,3.74165738677394177e+00,0
55,2,1,1,1,9.88720211746332733e-01,1.41421356237309448e+00,1.41421356237309492e+00,0
55,1,2,2,2,9.88720211746332622e-01,1.41421356237309603e+00,1.41421356237309359e+00,0
60,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677393955e+00,0
60,1,1,1,1,9.75521149357415740e-01,1.41421356237309492e+00,1.41421356237309515e+00,0
60,2,2,2,2,9.75521149357415629e-01,1.41421356237309359e+00,1.41421356237309492e+00,0
65,0,0,0,0,1.00000000000000067e+00,3.74165738677393955e+00,3.74165738677394133e+00,0
65,2,1,2,2,9.90960184073757411e-01,1.41421356237309492e+00,1.41421356237309603e+00,0
65,1,2,1,1,9.90960184073757189e-01,1.41421356237309515e+00,1.41421356237309537e+00,0
70,0,0,0,0,1.00000000000000022e+00,3.74165738677394133e+00,3.74165738677394444e+00,0
70,1,1,2,2,9.19506538615807556e-01,1.41421356237309603e+00,1.41421356237309626e+00,0
70,2,2,1,1,9.19506538615807112e-01,1.41421356237309537e+00,1.41421356237309470e+00,0
75,0,0,0,0,1.00000000000000000e+00,3.74165738677394444e+00,3.74165738677394266e+00,0
75,2,1,1,1,8.20460539908142827e-01,1.41421356237309470e+00,1.41421356237309470e+00,1
75,1,2,2,2,8.20460539908142383e-01,1.41421356237309626e+00,1.41421356237309315e+00,1
80,0,0,0,0,1.00000000000000022e+00,3.74165738677394266e+00,3.74165738677394177e+00,0
80,2,1,2,2,9.91784670636960186e-01,1.41421356237309315e+00,1.41421356237309537e+00,0
80,1,2,1,1,9.91784670636960075e-01,1.41421356237309470e+00,1.41421356237309492e+00,0
85,0,0,0,0,1.00000000000000044e+00,3.74165738677394177e+00,3.74165738677394000e+00,0
85,1,1,2,2,8.38095302283691446e-01,1.41421356237309537e+00,1.41421356237309537e+00,1
85,2,2,1,1,8.38095302283691002e-01,1.41421356237309492e+00,1.41421356237309470e+00,1
90,0,0,0,0,1.00000000000000044e+00,3.74165738677394000e+00,3.74165738677394089e+00,0
90,2,1,1,1,9.39537539133533439e-01,1.41421356237309470e+00,1.41421356237309448e+00,0
