N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
9,5,True,36,3.496155812958904e-11,0.4263895814765583,0.4263895814765583,8.199440293932833e-11,0.07505354535475965,0.1501070907095193,3,0.145421239972228,42,13,1.5411703974804503e-09,0.8527791629534042,0.000000;0.000001;0.000003;0.001877;0.033696;0.145421;0.311485;0.342220;0.353768;0.357735;0.369264;0.369996;0.852779
9,6,True,36,1.4406034044114974e-11,0.42571321222609715,0.4257132122260969,3.383976055218776e-11,1.4361250543610908e-10,2.8722501087221817e-10,0,,44,14,1.295604987614563e-06,0.851426424453609,0.000001;0.007103;0.024853;0.053078;0.065789;0.264375;0.283660;0.325282;0.338028;0.352236;0.361688;0.367870;0.371080;0.851426
9,7,True,36,5.807986817218003e-12,0.4247539252694508,0.4247539252694504,1.367376913705003e-11,0.060907754649490074,0.12181550929898015,2,0.1765084226270109,46,12,0.00253062117689335,0.8495078505394237,0.002531;0.018138;0.033484;0.176508;0.311707;0.326898;0.338603;0.347731;0.364679;0.367449;0.371658;0.849508
9,8,True,36,2.3849717905919468e-11,0.4358218642664613,0.4358218642664611,5.4723544964844996e-11,1.9318205391509425e-06,3.863641078301885e-06,1,0.0,44,14,1.162186043120108e-06,0.8716437285371433,0.000001;0.000002;0.004216;0.010275;0.033120;0.267016;0.293756;0.330332;0.353837;0.363000;0.370096;0.377433;0.381285;0.871644
9,9,True,36,3.452163160109943e-12,0.4171790706109675,0.4171790706109673,8.275016336349743e-12,1.051292355802724e-10,2.102584711605448e-10,0,,44,14,1.4779010961572176e-06,0.8343581412232427,0.000001;0.004309;0.012214;0.047179;0.104345;0.238774;0.285892;0.324855;0.326454;0.342133;0.354402;0.360814;0.364990;0.834358
9,10,True,36,5.02931190969444e-12,0.434824662443574,0.4348246624435738,1.1566303086143455e-11,3.820406508213746e-10,7.640813016427492e-10,0,,42,14,1.8181897333190977e-09,0.8696493248865435,0.000000;0.001191;0.004604;0.030703;0.042924;0.273744;0.297342;0.332199;0.345358;0.363544;0.365500;0.373293;0.380101;0.869649
9,11,True,36,2.3525883256339023e-11,0.41409618598087805,0.41409618598087766,5.6812595305114126e-11,1.1249644886490976e-09,2.249928977298195e-09,0,,44,14,7.106590927503865e-07,0.8281923719602049,0.000001;0.002006;0.015822;0.037592;0.106773;0.216994;0.286109;0.321197;0.335132;0.343554;0.350864;0.358038;0.361329;0.828192
9,12,True,36,4.219462685093929e-12,0.42522983149192894,0.4252298314919289,9.922779545108782e-12,5.753685948821355e-10,1.150737189764271e-09,0,,42,14,1.082766240715767e-09,0.8504596629827917,0.000000;0.000332;0.029428;0.058072;0.124202;0.232405;0.299450;0.317065;0.337147;0.348855;0.363961;0.367758;0.370330;0.850460
9,13,True,36,2.5722947110442288e-12,0.4170978390885624,0.41709783908856257,6.167128539513027e-12,6.529238107519138e-10,1.3058476215038275e-09,0,,44,14,1.2931661683444648e-06,0.8341956781764321,0.000001;0.001248;0.016451;0.030105;0.090235;0.237962;0.306486;0.312430;0.334261;0.338537;0.354101;0.357935;0.364030;0.834196
9,14,True,36,9.632247694756061e-12,0.41475697741165546,0.41475697741165546,2.322383241497182e-11,5.146517508146881e-10,1.0293035016293763e-09,0,,44,14,4.4783595468054926e-07,0.8295139548219502,0.000000;0.017368;0.021522;0.041520;0.126925;0.212170;0.296783;0.310561;0.327488;0.345966;0.354662;0.357678;0.362372;0.829514
9,15,True,36,4.31005841949946e-12,0.4053100115079185,0.4053100115079183,1.0633979815387516e-11,7.254524218381543e-07,1.4509048436763086e-06,0,,46,13,0.011087633305007432,0.8106200230159964,0.011088;0.017378;0.032240;0.138888;0.187643;0.288244;0.310061;0.319087;0.340961;0.346381;0.349843;0.354618;0.810620
9,16,True,36,2.9171836201024603e-12,0.42649505320559594,0.42649505320559616,6.839900247790689e-12,8.972891461360225e-07,1.794578292272045e-06,0,,46,13,0.00038903908851765505,0.8529901064108902,0.000389;0.016926;0.026609;0.073322;0.262139;0.299788;0.321020;0.339143;0.354555;0.356590;0.367115;0.372584;0.852990
9,17,True,36,1.8670770649737654e-11,0.4147209479179609,0.4147209479179608,4.502008091086845e-11,0.03489797993587741,0.06979595987175483,2,0.16855612698089395,44,13,1.1983891544504272e-06,0.8294418958384799,0.000001;0.005898;0.020334;0.051539;0.168556;0.292338;0.321817;0.341054;0.346588;0.350639;0.354773;0.358046;0.829442
9,18,True,36,3.199502102741927e-12,0.4250673934972242,0.4250673934972238,7.527048651583944e-12,0.06497803729646254,0.12995607459292507,2,0.17465798363610915,44,13,5.373022313334782e-07,0.8501347869948851,0.000001;0.002716;0.022550;0.033023;0.174658;0.317547;0.326818;0.341083;0.350490;0.362792;0.366901;0.369022;0.850135
9,19,True,36,7.117835477929953e-12,0.425365811758768,0.42536581175876825,1.6733443354942232e-11,5.238871684480632e-10,1.0477743368961264e-09,0,,44,14,3.5343311358297707e-07,0.8507316235186346,0.000000;0.007798;0.014228;0.042331;0.086500;0.251081;0.283203;0.314078;0.343186;0.354864;0.367069;0.369418;0.371939;0.850732
9,20,True,36,1.2104106815219698e-11,0.434580683519632,0.4345806835196317,2.7852381098003655e-11,1.361561334278201e-06,2.723122668556402e-06,1,0.0,46,13,0.001022628406404845,0.8691613670400399,0.001023;0.006822;0.015789;0.136488;0.174477;0.313465;0.349312;0.359622;0.360014;0.364333;0.372702;0.379567;0.869161
9,21,True,36,2.2905219705481705e-11,0.42542135614801485,0.4254213561480147,5.384125461196411e-11,7.655311281679726e-07,1.5310622563359453e-06,0,,46,13,0.005435397519504769,0.8508427122975862,0.005435;0.010717;0.030596;0.062654;0.256724;0.301323;0.325442;0.337939;0.354479;0.355000;0.365466;0.371276;0.850843
9,22,True,36,7.0890336821263195e-12,0.425334573070737,0.4253345730707371,1.6666957615947713e-11,5.922738603219143e-07,1.1845477206438286e-06,0,,46,13,0.00031425473524637884,0.8506691461406988,0.000314;0.008210;0.045975;0.063997;0.265667;0.284972;0.326349;0.333427;0.353905;0.360226;0.368695;0.371292;0.850669
9,23,True,36,3.3709335314597596e-12,0.40475399316902066,0.4047539931690206,8.32835109959542e-12,1.2987636271824615e-07,2.597527254364923e-07,0,,46,13,0.010158831914536311,0.809507986336249,0.010159;0.021331;0.037210;0.084463;0.236513;0.265059;0.313028;0.323861;0.337820;0.343422;0.351756;0.353825;0.809508
9,24,True,36,2.017992430291688e-12,0.42535628834338723,0.42535628834338707,4.744240265380955e-12,5.121551734021742e-07,1.0243103468043483e-06,0,,46,13,0.0001749943992239425,0.8507125766866882,0.000175;0.022124;0.043160;0.086433;0.248309;0.304380;0.311781;0.342189;0.353623;0.357426;0.368293;0.371173;0.850713
10,5,True,45,1.7334317443061928e-11,0.42718517235607434,0.4271851723560744,4.057800070805686e-11,1.4754975550521707e-06,2.9509951101043414e-06,1,0.0,60,15,2.0279070960075543e-06,0.8543703447133751,0.000002;0.008202;0.021512;0.049438;0.089133;0.272573;0.309560;0.324489;0.346433;0.363882;0.365061;0.372681;0.374673;0.378974;0.854370
