N,seed,parent_residual,sigma_max,lambda_f_L124,lambda_f_L248,a_flow_per_tau,b_discretization,artifact_share_L124
18,4,6.843591923618789e-13,0.46326317522840577,0.0003213274696835598,8.034259624888926e-05,8.469428207983192e-07,0.12513346805146225,0.9998664436873712
19,0,2.1926608886875774e-11,0.4673863539936486,0.0003083006843776879,7.708143991564757e-05,4.948660871652417e-07,0.12006676186756501,0.999918666139347
19,1,2.0099750301595106e-11,0.4629188659247817,0.0003067949169759077,7.670314034405331e-05,3.4821599728900046e-07,0.1194831918136916,0.9999424879640135
19,2,6.8333829595396206e-12,0.4673949934913859,0.0003206420670587435,8.017344788778284e-05,1.0207938716640833e-06,0.12486308738869517,0.9998386846340458
19,3,1.4589388484647874e-11,0.4622854355749283,0.00030506107946817767,7.627107657026055e-05,4.583860978779618e-07,0.1188057249262799,0.9999238617626837
19,4,6.001638225942188e-12,0.4670818453285689,0.00032739153921427215,8.185661771745696e-05,6.893836608570969e-07,0.1274984030076033,0.9998933031206624
20,0,1.3840435042883572e-12,0.4657407509422759,0.0003185192048386953,7.963549135509479e-05,4.491849262465921e-07,0.1240475587439776,0.999928542513801
20,1,2.1606132243430537e-11,0.46885414913562895,0.0003266354039110183,8.166957269761398e-05,8.463816981782705e-07,0.12720080607595877,0.9998687010687634
20,2,7.902643269395355e-13,0.46890957324943866,0.0003186071519982315,7.965923373154232e-05,5.877724249299179e-07,0.12407907722938141,0.9999065214708741
20,3,1.3534266621338728e-11,0.46887138251464644,0.00031890504132687386,7.97369723480698e-05,8.456156949870363e-07,0.12419001016512857,0.9998656400500066
20,4,5.096276380791152e-13,0.46993668476719996,0.00032356878055478464,8.090403930345282e-05,9.349884544375407e-07,0.12600467313948568,0.9998535808709808
