N,seed,parent_residual,sigma_max,lambda_f_L124,lambda_f_L248,a_flow_per_tau,b_discretization,artifact_share_L124
4,0,5.024877407534516e-15,0.3333333333332882,8.430544371848936e-06,6.268489084891426e-06,0.00032846127928753955,-0.0031987364189623828,-0.9741799857304629
4,1,1.708462007574035e-14,0.33333333333327814,7.571195734346667e-06,4.980834299195753e-06,0.00024377214206812008,-0.001862076191903726,-0.6314650810572705
4,2,6.5370880285377456e-15,0.33333333333327564,2.2956157287682956e-08,1.024080240206667e-08,3.5537301202957527e-07,1.9275706219217497e-06,0.21558943446317372
4,3,1.6084525200166862e-14,0.33333333333324716,1.46090206065056e-08,2.3558277412213183e-08,1.5713983526745667e-06,-2.5321979778621134e-05,-4.450337239369039
4,4,1.0624200807733856e-14,0.33333333333323495,7.854937079736355e-08,2.0640501353269587e-07,1.4743599019352675e-05,-0.0002603747648796298,-8.510842362578096
5,0,3.777199322890674e-11,0.3438596491228431,0.008902168513376872,0.004456548296900981,0.17611752725798221,-0.008512507583263364,-0.002455150204956843
5,1,3.799689448000241e-11,0.34385964912311384,0.00019596667829365185,4.9003569608433085e-05,9.393989006244123e-07,0.07630629413466698,0.9997571008474758
5,2,4.008072789596781e-11,0.3438596491228442,0.003329106185115783,0.0016615810860346678,0.0654660067480135,0.004630132115127598,0.0035709362909617077
5,3,4.212503668447852e-11,0.34385964912302047,0.00037350083243387067,9.385429333774567e-05,3.7819396071346325e-05,0.14472421865589302,0.9948692459274471
5,4,2.2328014286714064e-11,0.3999999999956687,0.00025672044800557886,6.428788441554693e-05,8.507646170870917e-06,0.09981922815312658,0.9983207817688153
6,0,6.387259776412142e-11,0.3999999999999172,0.015093781870322839,0.007556197084167396,0.2986136346612401,-0.014498184658759145,-0.002466220616126475
6,1,3.8498693504444365e-11,0.3917938690394118,0.01102569243749864,0.0055203627022118095,0.21818774570928673,-0.011710038723181628,-0.0027268975640662237
6,2,7.853401903275775e-11,0.3583610696828772,0.006837345465239536,0.0034236918655495166,0.13533268335269774,-0.00781938006748234,-0.0029363050062427925
6,3,7.853311448842492e-11,0.358361069682938,0.006837345785954926,0.0034236921816032124,0.13533270197285915,-0.007819622628542638,-0.002936395954149253
6,4,7.058150448589648e-11,0.3583610696829115,0.007813990706999908,0.003912375048217469,0.15463544822363548,-0.008381104511887219,-0.002753878226497435
7,0,1.6198350886961902e-11,0.39559993874937704,0.0070477041579251505,0.0035270517572662825,0.13934052764939944,-0.004984825287665208,-0.001816011700836885
7,1,2.8788101358966757e-11,0.41863101809634695,0.007504703968836587,0.0037557782733664592,0.14837740507012243,-0.005337865300982157,-0.0018262087151703335
7,2,6.65959817310683e-11,0.3910242497049914,0.014453412977885174,0.007236074555862206,0.2859807060594997,-0.014594647475451606,-0.0025926241598307775
7,3,3.201539043539038e-11,0.3982922482337055,0.0088503655396417,0.00443134526251065,0.17515032097369543,-0.009600636838889658,-0.0027851923910702384
7,4,3.008747263790083e-11,0.37589225606526494,0.0066312300060909915,0.0033194076329882533,0.13116812968497965,-0.005908593255612487,-0.0022877384372274154
8,0,2.009057765809291e-11,0.4106150269778682,0.0005393245154215687,0.00013539367366675713,4.440776656995731e-05,0.2091789766196801,0.9958277823812609
8,1,1.8384464676676122e-11,0.4235979715710472,0.0010560974212292305,0.0002782246831299837,0.0011209859737861185,0.3892044797843885,0.946215841314534
8,2,4.0017113190506705e-12,0.41170072103039995,0.0006901157978256863,0.00017452965313588528,0.00015793725260340066,0.2656684301122643,0.9884036639313737
8,3,1.1890214873035095e-11,0.40916509453745387,0.0002882332921572101,7.206542664311688e-05,5.6076453576752e-07,0.11224964091952723,0.9999014186909334
8,4,7.813149457366806e-12,0.38512613327666534,0.005006391766712542,0.0025007736224047527,0.0986109922514009,0.003773675506835507,0.0019353347196070332
9,0,6.1130681319692285e-12,0.4067947334785481,0.0006583976173223042,0.0001661146615396753,0.00011961569474235356,0.25407116073092584,0.9907942728270385
9,1,1.7673084835555553e-11,0.4256382804247745,0.000599181932196468,0.0001505378077990452,5.8599748051942166e-05,0.23221207951915124,0.9950444116550243
9,2,7.80363053251142e-12,0.4247542468475297,0.00035895377403501216,8.979030467829924e-05,4.093964897951033e-06,0.13972402884713747,0.9994220852566811
9,3,1.171913828500228e-11,0.4250428456226278,0.00029840556541448716,7.461518385554483e-05,1.0887918498936657e-06,0.11620110323947082,0.9998151173634596
9,4,3.0396707267965132e-12,0.4187401702460368,0.0003023017793266666,7.559738135119272e-05,1.731687536335328e-06,0.11770590761259386,0.9997097401202875
10,0,4.6571130364497224e-12,0.4414879934095264,0.000338012941661182,8.452764618972754e-05,1.92700732611842e-06,0.13161078751388913,0.9997111261561515
10,1,1.5468697707508425e-11,0.4417262937959948,0.0006153995648100375,0.0001545107432700643,5.21682251091172e-05,0.23865542832487577,0.9957045659090843
10,2,9.887202859138572e-12,0.4290668661884021,0.0003918191738070229,9.802605641512077e-05,5.625559027946622e-06,0.15249417338585267,0.999272491311003
10,3,1.2128162439397445e-11,0.4344349573360378,0.0015827274594534366,0.0004772340470989461,0.006437798729671461,0.4893871936297171,0.7938945666267789
10,4,2.095146429757379e-12,0.427361113161293,0.0003713337306160215,9.288694208003234e-05,4.224079668482853e-06,0.14454318953208875,0.999423597463789
11,0,2.048079656818064e-12,0.44312825531732714,0.00031851777300472174,7.964646123003042e-05,1.3434137458826925e-06,0.12402935327906767,0.9997862853467868
11,1,1.0412724404769308e-12,0.43119412111796024,0.00041801399042393716,0.00010459670373044694,7.357770855595595e-06,0.16266230910356239,0.9991081052156353
11,2,1.3728508141679948e-11,0.4311519737916668,0.00034535016773972957,8.637342228720205e-05,2.8324255701021623e-06,0.1344506116525357,0.9995844177229798
11,3,3.313575723155163e-12,0.436331081025278,0.0003418708026402015,8.549669276184585e-05,2.2886612104408695e-06,0.133106204606005,0.9996607829440646
11,4,1.0999478049645224e-11,0.4426187144548629,0.00038715096483251597,9.684087233502157e-05,4.194216412589533e-06,0.15070425360158513,0.9994510552035891
12,0,8.146813264348911e-12,0.44122747241085447,0.00039661130418538245,9.92099365645093e-05,4.508352949073147e-06,0.15438265405988788,0.9994240152253754
12,1,6.105431496031595e-12,0.448770445114132,0.0005128556642121633,0.000128413790185551,1.5778234267856884e-05,0.199434934631506,0.9984410886223344
12,2,1.3346568054014761e-12,0.4299030969680808,0.000402016936144131,0.00010057797801650528,5.821412631675152e-06,0.15646211867659568,0.9992662599622809
12,3,5.098204004977743e-12,0.4486232281963765,0.00035689760782593337,8.925323699181348e-05,2.276262249882674e-06,0.13895906879796271,0.9996768256811157
12,4,4.1112655988207527e-13,0.4484223799319432,0.00034722011570955844,8.682946025914651e-05,1.928630138852915e-06,0.13519675302114145,0.999718549350668
13,0,1.4472124168149433e-11,0.4500381432494793,0.00031075462009906964,7.77024279081464e-05,1.0872431453155408e-06,0.12101082670285795,0.999822716928558
13,1,1.8910800950236914e-11,0.4557650504336439,0.0003036651051197096,7.592394044222081e-05,6.050154995731293e-07,0.11825912898716728,0.9998990445439505
13,2,2.440193789932467e-13,0.44688456304030105,0.000298948279757384,7.474275401112529e-05,4.4870546779971734e-07,0.11642511111923362,0.9999239457502962
13,3,1.680201543308102e-11,0.4495542756570143,0.0002906840724369139,7.267387514142227e-05,2.255365549225663e-07,0.1132107832606906,0.9999606853974511
13,4,1.853655496832841e-12,0.44946179092561145,0.0003063078907219785,7.658532711099018e-05,6.59505859401867e-07,0.11928736212385972,0.9998909015307982
14,0,4.675972782182896e-14,0.44794101959724364,0.0003074323252503166,7.686869921760646e-05,8.381864669068656e-07,0.11972177904355491,0.999861850506206
14,1,2.730649999657811e-12,0.4554224073917062,0.00032568525314650943,8.143424520325312e-05,1.0208565135026545e-06,0.12682729936034562,0.9998411728317346
14,2,1.0660048092395246e-13,0.44567399182508277,0.0003262255097576798,8.157429265208785e-05,1.414242147709583e-06,0.12702995421581015,0.9997803333935323
14,3,6.371795742010302e-13,0.45509363740315256,0.0003171035481583256,7.928882663171134e-05,1.0214624243404362e-06,0.1234848967013809,0.9998367777061455
14,4,2.6936985325871226e-13,0.45055956095556543,0.0003525353101917562,8.815763638194806e-05,1.8794896364075034e-06,0.13726787748411218,0.9997298558944797
15,0,1.3315551948431286e-11,0.4479003696035777,0.00032228159950589225,8.058409853904614e-05,1.0813840916768974e-06,0.1255004544790277,0.9998299789675356
15,1,8.867121753850996e-12,0.4521239375946784,0.0003143695175844123,7.86098839277771e-05,1.381822640245651e-06,0.1224129384336934,0.9997772744404924
15,2,9.798742407473774e-13,0.4516817787295029,0.000307842020043362,7.697014746076844e-05,7.611832104956013e-07,0.11988286608589867,0.9998747091131148
15,3,1.980281953066624e-11,0.4482060328448428,0.00033179661208921696,8.296543525813386e-05,1.2853335651683615e-06,0.12920232355737443,0.9998037082328588
15,4,2.4684709159454805e-11,0.4560542776488431,0.0003127621851027194,7.819956626697744e-05,7.120457960221199e-07,0.12180013496954122,0.9998846408967935
16,0,9.383977435598456e-13,0.4558842486620092,0.0003210044501033616,8.02627522477286e-05,9.188495602608907e-07,0.1250062397331136,0.999854958747339
16,1,1.3850253961569252e-11,0.45438272888371883,0.00031945413261152186,7.987588514749903e-05,9.75076976292172e-07,0.12440131454042043,0.9998453362363156
16,2,7.163513242075953e-12,0.45851304766348067,0.0003124916496514788,7.81295799739046e-05,5.263429473478171e-07,0.1216984320779097,0.9999146529381845
16,3,1.3109646603992084e-13,0.4623187155524645,0.0003204332418441402,8.011679545177681e-05,6.698123964452971e-07,0.12478868112437114,0.999894081017401
16,4,8.286732037915493e-13,0.45059035574921336,0.000310041877002485,7.751823832858813e-05,6.13297632200942e-07,0.1207425819137393,0.9998997673728208
17,0,8.071730735810368e-12,0.4640000728208532,0.0003245294643913135,8.114407325948182e-05,9.241733127743865e-07,0.12637905240304806,0.9998557029430236
17,1,6.039875088467699e-12,0.4584746470546138,0.00030977070031926,7.745099761478605e-05,6.569879995302784e-07,0.12063610215198745,0.9998925329611551
17,2,3.297551579692712e-12,0.4613100627308032,0.000313975194875437,7.85013944240089e-05,5.996114343345482e-07,0.12227479526997027,0.9999032317804256
17,3,7.432895553710827e-12,0.4654161458295121,0.00030877327658324614,7.719924687050424e-05,4.679396363214685e-07,0.12025135783153847,0.9999232093559611
17,4,7.859424622209956e-14,0.45895959952041787,0.0003026679844879367,7.567251238943533e-05,4.3545885120466447e-07,0.11787411804619978,0.9999270981044066
18,0,2.708388710011751e-13,0.46743689254414134,0.00033103137188672765,8.276909189046446e-05,8.879992302257031e-07,0.12891212032945812,0.9998640742873592
18,1,7.430797337563003e-15,0.45853555188687944,0.00031683467969757193,7.922171778810735e-05,1.0300094754374227e-06,0.12338000950378412,0.9998352722785673
18,2,1.0347184568751543e-11,0.46632112185735275,0.0003184038331511499,7.961295540925782e-05,9.47062987700524e-07,0.12399279820761809,0.9998492842080245
18,3,4.444856960270973e-12,0.46400748821060955,0.00031749509098151035,7.938859976117809e-05,1.1704572565521374e-06,0.12363445381896919,0.9998132000623422
