N,M,parent_residual,fixed_point_defect,mu_max,lambda_J,n_unstable_gt1,mu_top4,sigma1
4,6,1.708462007574035e-14,0.01689008231419416,0.9999999999557683,-4.423172939125431e-11,0,"1.000000, 1.000000, 1.000000, 1.000000",0.33333333333327814
5,10,3.799689448000241e-11,0.017423440047561876,1.000015661295128,1.566117249128667e-05,8,"1.000016, 1.000016, 1.000015, 1.000015",0.34385964912311384
6,15,3.8498693504444365e-11,0.019852202063370402,1.0000388109057246,3.881015260083578e-05,10,"1.000039, 1.000039, 1.000034, 1.000034",0.3917938690394118
7,21,2.8788101358966757e-11,0.021211991510411154,1.0000479127738482,4.79116260679042e-05,12,"1.000048, 1.000048, 1.000048, 1.000048",0.41863101809634695
8,28,1.8384464676676122e-11,0.021463656936782913,1.0000511216221466,5.112031548100626e-05,14,"1.000051, 1.000051, 1.000048, 1.000048",0.4235979715710472
9,36,1.7673084835555553e-11,0.021567035136753922,1.0000558491977647,5.584763825630933e-05,16,"1.000056, 1.000056, 1.000052, 1.000052",0.4256382804247745
10,45,1.5468697707508425e-11,0.022382179224502405,1.0000590447843511,5.9043041276480786e-05,18,"1.000059, 1.000059, 1.000058, 1.000058",0.4417262937959948
11,55,1.0412724404769308e-12,0.02184853771979861,1.0000574596223835,5.745797164259147e-05,20,"1.000057, 1.000057, 1.000056, 1.000056",0.43119412111796024
12,66,6.105431496031595e-12,0.022739089643774357,1.000062751521142,6.274955234765042e-05,22,"1.000063, 1.000063, 1.000062, 1.000062",0.448770445114132
13,78,1.8910800950236914e-11,0.023093488968357397,1.0000654646382987,6.546249558278719e-05,24,"1.000065, 1.000065, 1.000065, 1.000065",0.4557650504336439
14,91,2.730649999657811e-12,0.02307612811101629,1.0000647784911034,6.477639306757302e-05,26,"1.000065, 1.000065, 1.000064, 1.000064",0.4554224073917062
15,105,8.867121753850996e-12,0.022909002890326307,1.000064448806589,6.444672985396092e-05,28,"1.000064, 1.000064, 1.000064, 1.000064",0.4521239375946784
16,120,1.3850253961569252e-11,0.023023450216841355,1.0000651350049719,6.513288377952261e-05,30,"1.000065, 1.000065, 1.000065, 1.000065",0.45438272888371883
17,136,6.039875088467699e-12,0.02323077732268494,1.000066858490436,6.685625550671634e-05,32,"1.000067, 1.000067, 1.000066, 1.000066",0.4584746470546138
18,153,7.430797337563003e-15,0.02323386321404064,1.0000664732000193,6.647099077403304e-05,34,"1.000066, 1.000066, 1.000066, 1.000066",0.45853555188687944
19,171,2.0099750301595106e-11,0.023455954327682483,1.0000680403786084,6.803806396684537e-05,36,"1.000068, 1.000068, 1.000068, 1.000068",0.4629188659247817
20,190,2.1606132243430537e-11,0.02375667921837512,1.0000701228206907,7.012036220068274e-05,38,"1.000070, 1.000070, 1.000070, 1.000070",0.46885414913562895
