N,lambda_f_min,lambda_f_med,lambda_f_max,t50_pred_med,t50_pred_min,t50_pred_max,lambda_emp,lambda_f_pred,step_50pct,saturated,lambda_last10000,t50_pred_run_parent
4,1.46090206065056e-08,7.854937079736355e-08,8.430544371848936e-06,564964746.0225581,5263909.821879225,3037686544.367133,,,,,,
5,0.00019596667829365185,0.00037350083243387067,0.008902168513376872,118815.33177204207,4985.035416492066,226454.9550422308,0.008902789934365237,0.008902168513376872,5029.0,True,-1.0922811768886572e-05,4985.035416492066
6,0.006837345465239536,0.007813990706999908,0.015093781870322839,5679.252380350285,2940.126318508607,6490.475806491889,0.015094176568083244,0.015093781870322839,2933.0,True,6.350255923832206e-07,2940.126318508607
7,0.0066312300060909915,0.007504703968836587,0.014453412977885174,5913.307907552796,3070.390736822188,6692.216267872175,0.007046280261483071,0.0070477041579251505,6564.0,True,1.9186775893836414e-06,6296.749172262226
8,0.0002882332921572101,0.0006901157978256863,0.005006391766712542,64304.607230529466,8864.19349317221,153964.25926592652,0.0005381166141968913,0.0005393245154215687,,False,0.0005386200495431498,82283.71611862665
9,0.00029840556541448716,0.00035895377403501216,0.0006583976173223042,123630.47426389692,67402.46950353123,148715.80984464363,,,,,,
10,0.000338012941661182,0.0003918191738070229,0.0015827274594534366,113260.473936431,28038.70309932524,131289.7225315342,,0.000338012941661182,,False,0.00028956334925793795,131289.7225315342
11,0.00031851777300472174,0.00034535016773972957,0.00041801399042393716,128500.37286273764,106163.01449087336,139325.42885795695,,,,,,
12,0.00034722011570955844,0.00039661130418538245,0.0005128556642121633,111891.98304348237,86530.43813201535,127808.33631161247,,,,,,
13,0.0002906840724369139,0.0003036651051197096,0.00031075462009906964,146140.02259255265,142806.0033624488,152666.17448534386,,,,,,
14,0.0003074323252503166,0.00032568525314650943,0.0003525353101917562,136259.2407670389,125881.3629154643,144349.24917746117,,,,,,
15,0.000307842020043362,0.0003143695175844123,0.00033179661208921696,141163.89420882153,133749.48298396583,144157.14045962048,,,,,,
16,0.000310041877002485,0.00031945413261152186,0.0003210044501033616,138917.04877936412,138246.1374241849,143134.29447599605,0.0002751091609288669,0.0003210044501033616,,False,0.0002750190661642271,138246.1374241849
17,0.0003026679844879367,0.00030977070031926,0.0003245294643913135,143259.59581402366,136744.51842454053,146621.47170221427,,,,,,
18,0.00031683467969757193,0.0003184038331511499,0.00033103137188672765,139375.28604342425,134058.66963554555,140065.55521360223,,,,,,
19,0.00030506107946817767,0.0003083006843776879,0.00032739153921427215,143942.67535390492,135549.09033162228,145471.27873581616,,,,,,
20,0.0003185192048386953,0.00031890504132687386,0.0003266354039110183,139156.23640856057,135862.87582852942,139324.80255072215,0.0002919891443594837,0.0003185192048386953,,False,0.0002934877526889046,139324.80255072215
