N,seed,M,parent_residual,sigma_max,mu,critical_point_residual,H_int,n_pos,n_neg,n_zero,ev_min,ev_max,definite,a_flow_per_tau,b_discretization
4,0,6,5.024877407534516e-15,0.3333333333332882,0.3333333333332882,1.5084465511432584e-14,0.0555555555555405,0,5,5,-0.6666666666669966,9.953485753202665e-13,True,0.00032846127928753955,-0.0031987364189623828
4,1,6,1.708462007574035e-14,0.33333333333327814,0.33333333333327825,5.128349582987455e-14,0.05555555555553718,0,5,5,-0.6666666666673382,9.856550498021718e-13,True,0.00024377214206812008,-0.001862076191903726
4,2,6,6.5370880285377456e-15,0.33333333333327564,0.3333333333332756,1.961345148653901e-14,0.055555555555536304,0,5,5,-0.6666666666668114,1.3939202307292515e-12,True,3.5537301202957527e-07,1.9275706219217497e-06
4,3,6,1.6084525200166862e-14,0.33333333333324716,0.33333333333324716,4.830971001821871e-14,0.05555555555552681,0,5,5,-0.6666666666668792,7.411271209409882e-13,True,1.5713983526745667e-06,-2.5321979778621134e-05
4,4,6,1.0624200807733856e-14,0.33333333333323495,0.33333333333323495,3.1848993668782716e-14,0.05555555555552277,0,5,5,-0.6666666666667057,1.0901514165891994e-12,True,1.4743599019352675e-05,-0.0002603747648796298
5,0,10,3.777199322890674e-11,0.3438596491228431,0.343859649122843,1.0984712435878573e-10,0.07389966143430295,4,10,4,-0.6877192982457242,0.17192982458271014,False,0.17611752725798221,-0.008512507583263364
5,1,10,3.799689448000241e-11,0.34385964912311384,0.34385964912311356,1.1050111595971411e-10,0.07389966143441924,4,10,4,-0.6877192982464496,0.17192982460436948,False,9.393989006244123e-07,0.07630629413466698
5,2,10,4.008072789596781e-11,0.3438596491228442,0.3438596491228441,1.1656126254829383e-10,0.07389966143430339,4,10,4,-0.6877192982460214,0.17192982458180822,False,0.0654660067480135,0.004630132115127598
5,3,10,4.212503668447852e-11,0.34385964912302047,0.3438596491230207,1.2250651107521872e-10,0.07389966143437927,4,10,4,-0.6877192982463189,0.17192982458974831,False,3.7819396071346325e-05,0.14472421865589302
5,4,10,2.2328014286714064e-11,0.3999999999956687,0.3999999999956688,5.582003126023977e-11,0.09999999999783445,4,10,4,-0.7999999999922552,0.20000000002053056,False,8.507646170870917e-06,0.09981922815312658
6,0,15,6.387259776412142e-11,0.3999999999999172,0.3999999999999172,1.5968149332484291e-10,0.11999999999995031,5,12,11,-0.8000000000002776,0.2957625668333364,False,0.2986136346612401,-0.014498184658759145
6,1,15,3.8498693504444365e-11,0.3917938690394118,0.39179386903941193,9.826264316572265e-11,0.11512682686265387,5,12,11,-0.7835877380794386,0.27133808520379127,False,0.21818774570928673,-0.011710038723181628
6,2,15,7.853401903275775e-11,0.3583610696828772,0.3583610696828774,2.191477490662991e-10,0.09631699219819212,5,12,11,-0.7167221393656886,0.2657676822824318,False,0.13533268335269774,-0.00781938006748234
6,3,15,7.853311448842492e-11,0.358361069682938,0.35836106968293774,2.1914522407446197e-10,0.09631699219822451,5,12,11,-0.7167221393664156,0.26576768228243297,False,0.13533270197285915,-0.007819622628542638
6,4,15,7.058150448589648e-11,0.3583610696829115,0.3583610696829114,1.9695639479376198e-10,0.0963169921982104,5,12,11,-0.7167221393661866,0.26576768228183845,False,0.15463544822363548,-0.008381104511887219
7,0,21,1.6198350886961902e-11,0.39559993874937704,0.39559993874937716,4.094631702752567e-11,0.1369368975961971,6,14,20,-0.7911998774992973,0.31251227113121705,False,0.13934052764939944,-0.004984825287665208
7,1,21,2.8788101358966757e-11,0.41863101809634695,0.418631018096347,6.87673016689759e-11,0.153345438148336,6,14,20,-0.8372620361933364,0.33168991271819936,False,0.14837740507012243,-0.005337865300982157
7,2,21,6.65959817310683e-11,0.3910242497049914,0.39102424970499133,1.7031164599089379e-10,0.13378746837518246,6,14,20,-0.7820484994105841,0.31926996293181603,False,0.2859807060594997,-0.014594647475451606
7,3,21,3.201539043539038e-11,0.3982922482337055,0.39829224823370546,8.038165713869497e-11,0.13880712562767716,6,14,20,-0.7965844964681368,0.31707004977519715,False,0.17515032097369543,-0.009600636838889658
7,4,21,3.008747263790083e-11,0.37589225606526494,0.3758922560652648,8.004278375642763e-11,0.12363311464860531,6,14,20,-0.7517845121307728,0.3069147418648391,False,0.13116812968497965,-0.005908593255612487
8,0,28,2.009057765809291e-11,0.4106150269778682,0.41061502697786834,4.892800159532842e-11,0.1686047003800355,7,16,31,-0.821230053956435,0.3380415105540739,False,4.440776656995731e-05,0.2091789766196801
8,1,28,1.8384464676676122e-11,0.4235979715710472,0.4235979715710472,4.3400714617429115e-11,0.17943524151910584,7,16,31,-0.8471959431427686,0.348693203568745,False,0.0011209859737861185,0.3892044797843885
8,2,28,4.0017113190506705e-12,0.41170072103039995,0.41170072103039984,9.719950042085466e-12,0.1694974836969511,7,16,31,-0.8234014420614921,0.3387816970991268,False,0.00015793725260340066,0.2656684301122643
8,3,28,1.1890214873035095e-11,0.40916509453745387,0.409165094537454,2.9059684838034808e-11,0.16741607458784363,7,16,31,-0.8183301890753091,0.34286769157323194,False,5.6076453576752e-07,0.11224964091952723
8,4,28,7.813149457366806e-12,0.38512613327666534,0.38512613327666545,2.0287234936152357e-11,0.14832213853263587,7,16,31,-0.7702522665544226,0.3221271889594712,False,0.0986109922514009,0.003773675506835507
9,0,36,6.1130681319692285e-12,0.4067947334785481,0.4067947334785479,1.5027399857566666e-11,0.18616719958411815,8,18,44,-0.8135894669573835,0.3512419642688981,False,0.00011961569474235356,0.25407116073092584
9,1,36,1.7673084835555553e-11,0.4256382804247745,0.42563828042477425,4.152136163264835e-11,0.20381393898332856,8,18,44,-0.8512765608498698,0.36902728618784425,False,5.8599748051942166e-05,0.23221207951915124
9,2,36,7.80363053251142e-12,0.4247542468475297,0.42475424684752977,1.8372113479461137e-11,0.20296819149188877,8,18,44,-0.8495084936953522,0.36602661744437187,False,4.093964897951033e-06,0.13972402884713747
9,3,36,1.171913828500228e-11,0.4250428456226278,0.4250428456226276,2.757166137717263e-11,0.2032440981918534,8,18,44,-0.8500856912457887,0.365872407831399,False,1.0887918498936657e-06,0.11620110323947082
9,4,36,3.0396707267965132e-12,0.4187401702460368,0.41874017024603677,7.259125304216359e-12,0.19726124644988982,8,18,44,-0.8374803404924015,0.3575038076945387,False,1.731687536335328e-06,0.11770590761259386
10,0,45,4.6571130364497224e-12,0.4414879934095264,0.4414879934095261,1.0548640604788638e-11,0.24363956040596216,9,20,59,-0.8829759868194381,0.3880558925111462,False,1.92700732611842e-06,0.13161078751388913
10,1,45,1.5468697707508425e-11,0.4417262937959948,0.4417262937959951,3.5018739219324537e-11,0.24390264828843222,9,20,59,-0.8834525875923716,0.38672923877237686,False,5.21682251091172e-05,0.23865542832487577
10,2,45,9.887202859138572e-12,0.4290668661884021,0.42906686618840206,2.3043500863376162e-11,0.2301229695759202,9,20,59,-0.858133732377135,0.3781391572082472,False,5.625559027946622e-06,0.15249417338585267
10,3,45,1.2128162439397445e-11,0.4344349573360378,0.43443495733603765,2.7917078671453483e-11,0.2359171651944561,9,20,59,-0.8688699146727422,0.3806451832894905,False,0.006437798729671461,0.4893871936297171
10,4,45,2.095146429757379e-12,0.427361113161293,0.4273611131612929,4.902539642649298e-12,0.22829690130307417,9,20,59,-0.8547222263229662,0.37689707515008974,False,4.224079668482853e-06,0.14454318953208875
