N,seed,M,parent_residual,sigma_max,mu,critical_point_residual,H_int,n_pos,n_neg,n_zero,ev_min,ev_max,definite,a_flow_per_tau,b_discretization
11,0,55,2.048079656818064e-12,0.44312825531732714,0.44312825531732697,4.621857857530719e-12,0.26999864465829493,10,22,76,-0.8862565106351777,0.3950557521990169,False,1.3434137458826925e-06,0.12402935327906767
11,1,55,1.0412724404769308e-12,0.43119412111796024,0.43119412111796057,2.414896371351351e-12,0.2556515088691993,10,22,76,-0.8623882422363084,0.3846822685508482,False,7.357770855595595e-06,0.16266230910356239
11,2,55,1.3728508141679948e-11,0.4311519737916668,0.4311519737916668,3.184147127325657e-11,0.25560153369361893,10,22,76,-0.8623039475837381,0.3855099164967009,False,2.8324255701021623e-06,0.1344506116525357
11,3,55,3.313575723155163e-12,0.436331081025278,0.4363310810252779,7.594177514500013e-12,0.26177911686944544,10,22,76,-0.8726621620509447,0.38990209229502537,False,2.2886612104408695e-06,0.133106204606005
11,4,55,1.0999478049645224e-11,0.4426187144548629,0.4426187144548626,2.4850909286987924e-11,0.2693780737803033,10,22,76,-0.8852374289100674,0.3968981879438987,False,4.194216412589533e-06,0.15070425360158513
12,0,66,8.146813264348911e-12,0.44122747241085447,0.4412274724108545,1.8463982166263347e-11,0.29202252361510705,11,24,95,-0.8824549448220917,0.39929166219535517,False,4.508352949073147e-06,0.15438265405988788
12,1,66,6.105431496031595e-12,0.448770445114132,0.44877044511413233,1.3604800381689477e-11,0.3020923686119048,11,24,95,-0.8975408902283496,0.40548852660313406,False,1.5778234267856884e-05,0.199434934631506
12,2,66,1.3346568054014761e-12,0.4299030969680808,0.4299030969680809,3.1045305339967683e-12,0.27722500917412063,11,24,95,-0.8598061939366779,0.389076125325915,False,5.821412631675152e-06,0.15646211867659568
12,3,66,5.098204004977743e-12,0.4486232281963765,0.4486232281963762,1.1364110869832634e-11,0.3018942013160068,11,24,95,-0.8972464563931755,0.40414488650776914,False,2.276262249882674e-06,0.13895906879796271
12,4,66,4.1112655988207527e-13,0.4484223799319432,0.44842237993194284,9.16830579887888e-13,0.3016239462357416,11,24,95,-0.8968447598644074,0.4059661642766196,False,1.928630138852915e-06,0.13519675302114145
13,0,78,1.4472124168149433e-11,0.4500381432494793,0.45003814324947927,3.2157535433016366e-11,0.32911828686658817,12,26,116,-0.9000762864994377,0.41184664254784076,False,1.0872431453155408e-06,0.12101082670285795
13,1,78,1.8910800950236914e-11,0.4557650504336439,0.4557650504336444,4.1492441079807546e-11,0.3375478944447711,12,26,116,-0.9115301008680958,0.41644498274712977,False,6.050154995731293e-07,0.11825912898716728
13,2,78,2.440193789932467e-13,0.44688456304030105,0.4468845630403011,5.460543934868634e-13,0.3245219456110464,12,26,116,-0.8937691260812944,0.4070061185470262,False,4.4870546779971734e-07,0.11642511111923362
13,3,78,1.680201543308102e-11,0.4495542756570143,0.4495542756570142,3.7374825390053666e-11,0.3284109509874419,12,26,116,-0.8991085513144852,0.4109415318485496,False,2.255365549225663e-07,0.1132107832606906
13,4,78,1.853655496832841e-12,0.44946179092561145,0.4494617909256116,4.124167132336283e-12,0.32827583994084464,12,26,116,-0.8989235818520588,0.4107462835451258,False,6.59505859401867e-07,0.11928736212385972
14,0,91,4.675972782182896e-14,0.44794101959724364,0.4479410195972432,1.0437692310510861e-13,0.35113952481618116,13,28,139,-0.8958820391948469,0.4110091048698948,False,8.381864669068656e-07,0.11972177904355491
14,1,91,2.730649999657811e-12,0.4554224073917062,0.4554224073917062,5.99585537679246e-12,0.3629667460203003,13,28,139,-0.910844814783935,0.4177313388173743,False,1.0208565135026545e-06,0.12682729936034562
14,2,91,1.0660048092395246e-13,0.44567399182508277,0.4456739918250828,2.391799828950873e-13,0.34759428723128194,13,28,139,-0.8913479836503557,0.408676519859331,False,1.414242147709583e-06,0.12702995421581015
14,3,91,6.371795742010302e-13,0.45509363740315256,0.4550936374031526,1.4001187397425195e-12,0.3624428829084563,13,28,139,-0.9101872748066664,0.41871594958022157,False,1.0214624243404362e-06,0.1234848967013809
14,4,91,2.6936985325871226e-13,0.45055956095556543,0.450559560955566,5.978618376479286e-13,0.35525685644482663,13,28,139,-0.9011191219117076,0.4153012130364458,False,1.8794896364075034e-06,0.13726787748411218
15,0,105,1.3315551948431286e-11,0.4479003696035777,0.44790036960357754,2.9728818865793087e-11,0.376152639545665,14,30,164,-0.8958007392074161,0.4131554540468818,False,1.0813840916768974e-06,0.1255004544790277
15,1,105,8.867121753850996e-12,0.4521239375946784,0.4521239375946779,1.9612153052711945e-11,0.383280103023968,14,30,164,-0.9042478751896151,0.41833166467633043,False,1.381822640245651e-06,0.1224129384336934
15,2,105,9.798742407473774e-13,0.4516817787295029,0.45168177872950266,2.169394984869228e-12,0.38253080481796387,14,30,164,-0.9033635574592651,0.4179054793358098,False,7.611832104956013e-07,0.11988286608589867
15,3,105,1.980281953066624e-11,0.4482060328448428,0.44820603284484306,4.4182392724187425e-11,0.376666214772211,14,30,164,-0.8964120656899339,0.41421623119774037,False,1.2853335651683615e-06,0.12920232355737443
15,4,105,2.4684709159454805e-11,0.4560542776488431,0.4560542776488435,5.412669052924494e-11,0.3899728203033907,14,30,164,-0.9121085552981587,0.4222415001281731,False,7.120457960221199e-07,0.12180013496954122
16,0,120,9.383977435598456e-13,0.4558842486620092,0.4558842486620093,2.0584176394512107e-12,0.4156608963562495,15,32,191,-0.9117684973242114,0.4237906009058951,False,9.188495602608907e-07,0.1250062397331136
16,1,120,1.3850253961569252e-11,0.45438272888371883,0.4543827288837189,3.048146383963363e-11,0.4129273286156303,15,32,191,-0.9087654577678167,0.42232498989361333,False,9.75076976292172e-07,0.12440131454042043
16,2,120,7.163513242075953e-12,0.45851304766348067,0.45851304766348044,1.5623357203851756e-11,0.4204684297553062,15,32,191,-0.9170260953273424,0.4258055719830866,False,5.263429473478171e-07,0.1216984320779097
16,3,120,1.3109646603992084e-13,0.4623187155524645,0.4623187155524645,2.8355222898605015e-13,0.42747718950016134,15,32,191,-0.9246374311056689,0.4297309487476553,False,6.698123964452971e-07,0.12478868112437114
16,4,120,8.286732037915493e-13,0.45059035574921336,0.4505903557492131,1.8390823458352224e-12,0.4060633373884048,15,32,191,-0.9011807114987719,0.4192608634450042,False,6.13297632200942e-07,0.1207425819137393
17,0,136,8.071730735810368e-12,0.4640000728208532,0.46400007282085315,1.7395968692596283e-11,0.45750414360273356,16,34,220,-0.928000145642068,0.4345960505900618,False,9.241733127743865e-07,0.12637905240304806
17,1,136,6.039875088467699e-12,0.4584746470546138,0.45847464705461427,1.3173845270571692e-11,0.446672879232688,16,34,220,-0.9169492941095937,0.4291729140334913,False,6.569879995302784e-07,0.12063610215198745
17,2,136,3.297551579692712e-12,0.4613100627308032,0.46131006273080327,7.148244623724128e-12,0.4522148197004825,16,34,220,-0.922620125462005,0.43118596175552376,False,5.996114343345482e-07,0.12227479526997027
17,3,136,7.432895553710827e-12,0.4654161458295121,0.4654161458295125,1.5970431714454297e-11,0.46030090119744593,16,34,220,-0.9308322916597581,0.43574964132870336,False,4.679396363214685e-07,0.12025135783153847
17,4,136,7.859424622209956e-14,0.45895959952041787,0.45895959952041776,1.7123811127974273e-13,0.4476183172328773,16,34,220,-0.9179191990414561,0.4281814260788153,False,4.3545885120466447e-07,0.11787411804619978
18,0,153,2.708388710011751e-13,0.46743689254414134,0.46743689254414156,5.794156505661099e-13,0.49161880915047745,17,36,251,-0.9348737850887103,0.43865319185378254,False,8.879992302257031e-07,0.12891212032945812
18,1,153,7.430797337563003e-15,0.45853555188687944,0.45853555188687894,1.6212515056773328e-14,0.47307341777446055,17,36,251,-0.9170711037742372,0.4302488992951667,False,1.0300094754374227e-06,0.12338000950378412
18,2,153,1.0347184568751543e-11,0.46632112185735275,0.4663211218573525,2.218897599501361e-11,0.4892746245531748,17,36,251,-0.9326422437148536,0.43804369968787504,False,9.47062987700524e-07,0.12399279820761809
18,3,153,4.444856960270973e-12,0.46400748821060955,0.4640074882106099,9.579274979812469e-12,0.4844316355099181,17,36,251,-0.9280149764216382,0.43611955901914834,False,1.1704572565521374e-06,0.12363445381896919
18,4,153,6.843591923618789e-13,0.46326317522840577,0.46326317522840565,1.4772495691828561e-12,0.48287873142608506,17,36,251,-0.9265263504573671,0.4351837711098274,False,8.469428207983192e-07,0.12513346805146225
19,0,171,2.1926608886875774e-11,0.4673863539936486,0.467386353993648,4.691323616259227e-11,0.5188187592612545,18,38,284,-0.9347727079876932,0.4402991415527222,False,4.948660871652417e-07,0.12006676186756501
19,1,171,2.0099750301595106e-11,0.4629188659247817,0.46291886592478143,4.341958218622148e-11,0.508947956519079,18,38,284,-0.9258377318500604,0.43625652492463335,False,3.4821599728900046e-07,0.1194831918136916
19,2,171,6.8333829595396206e-12,0.4673949934913859,0.4673949934913859,1.462014348885944e-11,0.51883793985943,18,38,284,-0.9347899869832169,0.44095883310558515,False,1.0207938716640833e-06,0.12486308738869517
19,3,171,1.4589388484647874e-11,0.4622854355749283,0.462285435574928,3.155925868659214e-11,0.5075560818686645,18,38,284,-0.9245708711502354,0.4359285956077485,False,4.583860978779618e-07,0.1188057249262799
19,4,171,6.001638225942188e-12,0.4670818453285689,0.4670818453285691,1.2849224007507193e-11,0.518142944309411,18,38,284,-0.9341636906572239,0.44020759268105014,False,6.893836608570969e-07,0.1274984030076033
20,0,190,1.3840435042883572e-12,0.4657407509422759,0.4657407509422759,2.971703807802035e-12,0.5422861177206877,19,40,319,-0.9314815018847719,0.43970491701302744,False,4.491849262465921e-07,0.1240475587439776
20,1,190,2.1606132243430537e-11,0.46885414913562895,0.46885414913562923,4.6082837725449753e-11,0.5495605329042372,19,40,319,-0.9377082982713444,0.44372553996603925,False,8.463816981782705e-07,0.12720080607595877
20,2,190,7.902643269395355e-13,0.46890957324943866,0.46890957324943827,1.6853102964193312e-12,0.549690469712426,19,40,319,-0.9378191464991588,0.4433011689076833,False,5.877724249299179e-07,0.12407907722938141
20,3,190,1.3534266621338728e-11,0.46887138251464644,0.4688713825146467,2.886562459213753e-11,0.5496009333529902,19,40,319,-0.937742765029463,0.44369706795740804,False,8.456156949870363e-07,0.12419001016512857
20,4,190,5.096276380791152e-13,0.46993668476719996,0.46993668476719985,1.0844609208948776e-12,0.5521012192249667,19,40,319,-0.9398733695348181,0.44469229054278564,False,9.349884544375407e-07,0.12600467313948568
