N,M,parent_residual,steps,f_final,f_max,onset_1e8,step_50pct,saturated,lambda_emp,ln_f_seed,n_window,lambda_last10000,lambda_f_pred,lambda_G,n_unstable,relative_equilibrium_defect,lambda_DF_max,mu_top4
5,10,3.777199322890674e-11,40000,0.7678697735306973,0.9887775054487269,2971.0,5029.0,True,0.008902789934365237,-44.86345286254684,3202,-1.0922811768886572e-05,0.008902168513376872,0.004451084256688436,6,1.9140399794830186e-12,2.0577712420318464e-05,"1.004461, 1.004461, 1.000095, 1.000095"
6,15,6.387259776412142e-11,40000,0.8456252317897913,0.9647780777177694,1715.0,2933.0,True,0.015094176568083244,-44.29414752112315,1903,6.350255923832206e-07,0.015093781870322839,0.007546890935161419,7,3.236631576260822e-12,4.1420675326529574e-05,"1.007575, 1.007575, 1.000122, 1.000113"
7,21,1.6198350886961902e-11,40000,0.8936323658211894,0.9902761404872796,4002.0,6564.0,True,0.007046280261483071,-46.610583883089866,4200,1.9186775893836414e-06,0.0070477041579251505,0.0035238520789625753,9,8.207849347465252e-13,4.230605607069514e-05,"1.003530, 1.003530, 1.000212, 1.000212"
8,28,2.009057765809291e-11,40000,8.302886431101094e-11,8.302886431101094e-11,,,False,0.0005381166141968913,-44.74090299277498,13023,0.0005386200495431498,0.0005393245154215687,0.00026966225771078435,8,1.0178815252286995e-12,4.779371926771811e-05,"1.000270, 1.000270, 1.000141, 1.000141"
10,45,4.6571130364497224e-12,40000,5.352086682487159e-15,5.352086682487159e-15,,,False,,,0,0.00028956334925793795,0.000338012941661182,0.000169006470830591,14,2.359255500911223e-13,5.9802051401720216e-05,"1.000169, 1.000169, 1.000145, 1.000145"
16,120,9.383977435598456e-13,40000,1.5771482810673958e-15,1.5771482810673958e-15,,,False,0.0002751091609288669,-45.088038149640816,6678,0.0002750190661642271,0.0003210044501033616,0.0001605022250516808,22,4.758895409612575e-14,6.553354693665608e-05,"1.000161, 1.000161, 1.000157, 1.000157"
20,190,1.3840435042883572e-12,40000,4.003724456629058e-15,4.003724456629058e-15,,,False,0.0002919891443594837,-44.82750961076945,6854,0.0002934877526889046,0.0003185192048386953,0.00015925960241934764,34,7.022072094252814e-14,6.853073972823628e-05,"1.000159, 1.000159, 1.000149, 1.000149"
