N,seed,sigma_max,n_sigma,sigma_rest_mean,sigma_rest_spread,sigma_2nd,sigma_min,a_flow_per_tau
4,0,0.3333333333332882,1,,0.0,,0.3333333333332882,1.9043733964674504e-06
4,1,0.33333333333327814,1,,0.0,,0.33333333333327814,2.2148718888527435e-06
4,2,0.33333333333327564,1,,0.0,,0.33333333333327564,3.1209546668489e-06
4,3,0.33333333333324716,1,,0.0,,0.33333333333324716,2.9920887086531368e-06
4,4,0.33333333333323495,1,,0.0,,0.33333333333323495,1.7583154115671155e-06
5,0,0.3438596491228431,5,0.08383594283377444,0.6374257143558559,0.10842656626159612,0.054987380512080755,0.17612629858487105
5,1,0.34385964912311384,5,0.08594506209144004,0.06078995939253826,0.0885375103193657,0.08331291348483788,1.365437048531879e-06
5,2,0.3438596491228442,5,0.08546932880742882,0.3045883246659347,0.09799022517011031,0.07195726549833366,0.06566285326142482
5,3,0.34385964912302047,5,0.08570824118543782,0.2188956755089739,0.09483215176495034,0.07607098841397787,3.5991812433118153e-06
5,4,0.3999999999956687,5,0.09999999999891722,2.253711994828467e-08,0.10000000112498462,0.09999999887127263,6.69899520100984e-06
6,0,0.3999999999999172,6,0.11721328503705888,1.0752818163469848,0.14945189060651198,0.023414576571866432,0.2986162925231808
6,1,0.3917938690394118,6,0.11993707912464502,0.740728508018805,0.1565603209762535,0.06771950730012183,0.21820044649152714
6,2,0.3583610696828772,6,0.10122095278996297,1.3128094649697564,0.13288384114080945,1.6264889189875092e-08,0.13534021335491128
6,3,0.358361069682938,6,0.10122094982425486,1.3128096499323973,0.13288384114082943,1.4362246259505859e-09,0.13534021334855853
6,4,0.3583610696829115,5,0.12651605861540768,0.12968717381937658,0.13288384114081975,0.11647633105622093,0.15464155626910975
7,0,0.39559993874937704,7,0.13761046910349403,0.5286169989344798,0.16424883129254328,0.09150559809308831,0.13940756953129652
7,1,0.41863101809634695,7,0.1453809596286134,0.5589287546062642,0.17084326799840197,0.0895856692897175,0.1484465310292977
7,2,0.3910242497049914,7,0.13125132776635814,0.940602098752162,0.15963498146248836,0.03617970710144396,0.28598436645312997
7,3,0.3982922482337055,7,0.13826040348686927,0.5961786618973585,0.16432827594796215,0.08190037360377155,0.17518392568532778
7,4,0.37589225606526494,7,0.12994518989116732,0.6044542055460472,0.15506548509388773,0.07651956857369194,0.13121856536956367
8,0,0.4106150269778682,8,0.15415144855233573,0.3350369887671534,0.1747850429161801,0.12313860577911077,2.8744384752289207e-06
8,1,0.4235979715710472,8,0.15897817973414058,0.35444089139227625,0.1794905950244279,0.12314222728753761,3.973371008978464e-06
8,2,0.41170072103039995,8,0.1544264191857169,0.38265110915685785,0.17573786571935637,0.11664642513481993,9.351932379874458e-11
8,3,0.40916509453745387,8,0.15348399634793847,0.3844463665207818,0.17455191791070013,0.11554555319564624,2.721362778613348e-06
8,4,0.38512613327666534,8,0.1442151058527436,0.42544388105097714,0.16478766107050374,0.10343222673033502,0.0988138943103274
9,0,0.4067947334785481,9,0.1597581476126352,0.33239541062152084,0.17777554407403887,0.12467266899820345,1.408789044307957e-06
9,1,0.4256382804247745,9,0.16718008229720033,0.3545278351039459,0.18578637014534718,0.12651637749602124,3.1726224129623803e-10
9,2,0.4247542468475297,9,0.16696896388493618,0.3122299299431328,0.183864875694827,0.13173216779835592,1.0936948768678495e-06
9,3,0.4250428456226278,9,0.1672116108037146,0.2778574116507142,0.18551016256688557,0.13904917719101884,1.319052071333862e-09
9,4,0.4187401702460368,9,0.16488075873114894,0.2688469997598733,0.18287530029017138,0.13854760298717045,2.1235773741898334e-06
9,5,0.4263895814765583,9,0.1657748558127029,0.5811579473740596,0.1849807298138912,0.08863935488355008,0.1501070907095193
9,6,0.42571321222609715,9,0.16738942466878537,0.29230898750952417,0.18550897354139917,0.13657954029666475,2.8722501087221817e-10
9,7,0.4247539252694508,9,0.16663284048959734,0.40501980044941627,0.18582916676690897,0.11833956696349285,0.12181550929898015
9,8,0.4358218642664613,9,0.17118940906517638,0.32765052418652213,0.19064224480079536,0.13455194518540936,3.863641078301885e-06
9,9,0.4171790706109675,9,0.16402569205652098,0.3193007923145394,0.18249415093774105,0.13012061750415324,2.102584711605448e-10
9,10,0.434824662443574,9,0.17101306178849324,0.30110056112464134,0.19005008097501144,0.13855795211085317,7.640813016427492e-10
9,11,0.41409618598087805,9,0.16260102205948573,0.358107777964681,0.18065601431319495,0.12242732360868643,2.249928977298195e-09
