amplitude,theta_star_over_pi,nearest_rational,dist
0.05,0.015525977033444608,3/193,1.8064417332593757e-05
0.05610092271509817,0.01741694659120549,3/172,2.4913873910788892e-05
0.06294627058970836,0.019537215196643993,3/154,5.6695716124512824e-05
0.0706268772311377,0.021914173061085576,3/137,1.6362842107472964e-05
0.07924465962305566,0.024578312148766147,3/122,1.1851785660082353e-05
0.08891397050194613,0.027563507357771574,4/145,2.269953878014999e-05
0.09976311574844397,0.03090729330507133,3/97,2.054174647506124e-05
0.11193605692841699,0.0346511212984053,6/173,3.0959626450187405e-05
0.125594321575479,0.03884057387060474,4/103,5.622414294061129e-06
0.14091914656322266,0.0435255045617419,1/23,4.724369217668639e-05
0.15811388300841894,0.04876005791270134,2/41,2.0429892176709874e-05
0.17740669461678774,0.05460250843422037,10/183,4.230030894902814e-05
0.19905358527674863,0.06111483752905807,11/180,3.7264179469642666e-06
0.22334179607548155,0.0683619446118328,8/117,1.412376423558237e-05
0.2505936168136361,0.07641036504079249,11/144,2.147615190359331e-05
0.2811706625951745,0.08532634736128622,7/82,3.95062972503718e-05
0.3154786722400966,0.09517313372931335,2/21,6.496150878188e-05
0.35397289219206896,0.106007302882216,16/151,4.7037981553754715e-05
0.39716411736214075,0.11787409227436313,23/195,7.462567435481682e-05
0.4456254690668728,0.1308017356308741,17/130,3.2504861643328775e-05
0.49999999999999994,0.14479505158193473,21/145,3.2534624961833014e-05
0.5610092271509817,0.159828800055173,31/194,3.498562218332002e-05
0.6294627058970836,0.17584165431163634,16/91,1.7478487460503844e-05
0.7062687723113773,0.19273193677868397,37/192,2.3603445350628416e-05
0.7924465962305569,0.2103564046850902,41/195,9.999442867994479e-05
0.8891397050194613,0.22853319872201844,8/35,3.8229849410126304e-05
0.9976311574844398,0.24704949390847744,21/85,9.329620934334093e-06
1.11936056928417,0.2656734722129189,17/64,4.847221291892634e-05
1.2559432157547903,0.28416921378447213,52/183,1.6208319991273257e-05
1.4091914656322273,0.30231233901908594,13/43,1.3242376262878608e-05
1.5811388300841895,0.3199040368463154,8/25,9.596315368459729e-05
1.7740669461678773,0.3367815714137462,65/193,5.993353093147746e-06
1.9905358527674863,0.35282428157933865,6/17,0.00011689489124960817
2.233417960754816,0.3679551242355378,39/106,3.0595933651011986e-05
2.5059361681363623,0.38213863826415767,47/123,2.481712594626373e-05
2.811706625951745,0.39537666054877824,17/43,2.7823339475929743e-05
3.1547867224009662,0.4077032395734658,53/130,1.0931881158138257e-05
3.5397289219206898,0.41918013238178564,83/198,1.1786810133529446e-05
3.9716411736214083,0.42989428811107094,46/107,1.2253945003815048e-05
4.456254690668729,0.4399592055212454,11/25,4.079447875460218e-05
5.0,0.4495239081135824,49/109,1.7376290087356416e-05
