t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(216.77160029276317),np.float64(-30.399619570182644),np.float64(-6.598596122589293e-15),np.float64(26.852367670038404),np.float64(7.888609052210118e-31)
1,np.float64(216.7716002927629),np.float64(-30.399619570182505),np.float64(5.240252676230739e-14),np.float64(29.83492510566183),np.float64(8.881784197001252e-16)
2,np.float64(216.771600292763),np.float64(-30.39961957018248),np.float64(1.9984014443252818e-14),np.float64(32.500557649739946),np.float64(8.881784197001252e-16)
3,np.float64(216.77160029276334),np.float64(-30.399619570182523),np.float64(1.8385293287792592e-13),np.float64(46.028748671042734),np.float64(8.881784197001252e-16)
4,np.float64(216.77160029276382),np.float64(-30.399619570182473),np.float64(-3.4017233474514796e-13),np.float64(50.387617508407295),np.float64(1.7763568394002505e-15)
5,np.float64(216.77160029276382),np.float64(-30.399619570182338),np.float64(-7.220890552162018e-13),np.float64(53.13439037411241),np.float64(1.7763568394002505e-15)
6,np.float64(216.77160029276334),np.float64(-30.399619570182164),np.float64(-4.333200465111986e-13),np.float64(70.95114315406401),np.float64(3.552713678800501e-15)
7,np.float64(216.77160029276337),np.float64(-30.3996195701824),np.float64(-4.3653969328261155e-13),np.float64(85.13645758126354),np.float64(3.552713678800501e-15)
8,np.float64(216.77160029276433),np.float64(-30.39961957018283),np.float64(-8.109068971862143e-13),np.float64(89.49624210159435),np.float64(7.105427357601002e-15)
9,np.float64(216.77160029276442),np.float64(-30.3996195701828),np.float64(3.375077994860476e-14),np.float64(96.56106550395155),np.float64(7.105427357601002e-15)
10,np.float64(216.77160029276428),np.float64(-30.399619570182587),np.float64(-3.774758283725532e-14),np.float64(98.00953366305616),np.float64(7.105427357601002e-15)
11,np.float64(216.77160029276402),np.float64(-30.399619570182455),np.float64(-2.651212582804874e-13),np.float64(98.22955639599444),np.float64(7.105427357601002e-15)
12,np.float64(216.77160029276428),np.float64(-30.399619570182395),np.float64(-2.4158453015843406e-13),np.float64(98.37716402559566),np.float64(7.105427357601002e-15)
13,np.float64(216.77160029276402),np.float64(-30.39961957018231),np.float64(-6.569189636707051e-13),np.float64(98.47960396251652),np.float64(7.105427357601002e-15)
14,np.float64(216.7716002927641),np.float64(-30.39961957018234),np.float64(-6.766809335090329e-13),np.float64(98.56231613278845),np.float64(7.105427357601002e-15)
