case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=10,10,45,9,2.0144915044245124,0.0010236528546436708,0.21589514120450914,45,38
N=11,11,55,10,2.3452025672122008,0.0012043142674804104,0.2621231642417968,55,48
