step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10
0,0.36812484588682787,0.3513127630731799,0.27423757776113417,0.27089029814388077,0.2299447282829448,0.20058191808359685,0.1874580524100159,0.17108024638418268,0.06950577495956613,2.90208896400044e-09
1,0.3681259479725311,0.3513150486716048,0.27423473052723857,0.27089168074871994,0.22994122028564457,0.20058079801433268,0.1874994402444677,0.17103930728382896,0.06951901673814248,2.3844327757443177e-09
2,0.36812825086954754,0.3513184635006098,0.2742338540187292,0.27089243305257804,0.22993784980546889,0.20057925979824673,0.18754251272055117,0.17099735056914922,0.06953144735435171,2.493769627492031e-09
3,0.36813175564335804,0.35132300869118593,0.2742349527131688,0.27089255144258334,0.22993461901549905,0.2005773018971209,0.1875872394507255,0.17095440495446035,0.0695430692211537,3.110754909809978e-09
4,0.36813646355719826,0.35132868616064916,0.27423802999687585,0.2708920342058663,0.22993153032413455,0.20057492349000475,0.18763358814936698,0.1709105017617793,0.06955388379767322,3.3012534431419082e-09
5,0.3681423760701746,0.35133549860799634,0.27424308814726084,0.27089088154468344,0.22992858637305436,0.20057212447639763,0.18768152472519528,0.17086567482410964,0.06956389159179345,2.5652429355068947e-09
6,0.36814949483471765,0.3513434495081536,0.274250128333052,0.27088909557266194,0.22992579003462701,0.2005689054785623,0.18773101337698073,0.17081996038605018,0.06957309216350939,2.9827314076692763e-09
7,0.36815782169337957,0.351352543105121,0.2742591506322641,0.27088668029231927,0.22992314440877462,0.2005652678429786,0.18778201669184627,0.17077339700237903,0.06958148412902651,2.4881678307332697e-09
8,0.36816735867498057,0.3513627844040171,0.2742701540673165,0.27088364155446226,0.22992065281929708,0.2005612136409477,0.1878344957455189,0.17072602543523835,0.06958906516559366,3.18540152772137e-09
9,0.3681781079901062,0.35137417916203184,0.27428313665629955,0.27087998700047333,0.22991831880966165,0.20055674566835255,0.18788841020391114,0.1706778885505088,0.06959583201705759,3.146346872560265e-09
10,0.36819007202597165,0.3513867338782941,0.27429809547900685,0.2708757259888786,0.22991614613826944,0.20055186744458536,0.18794371842545343,0.1706290312139129,0.06960178050012683,2.7140787896649914e-09
11,0.3682032533406472,0.3514004557826532,0.27431502675603725,0.2708708695079023,0.22991413877320238,0.20054658321064697,0.18800037756363328,0.17057950018734816,0.06960690551132684,3.438854864984853e-09
12,0.3682176546566614,0.35141535282338665,0.27433392593902284,0.2708654300759649,0.22991230088646683,0.20054089792642824,0.1880583436692519,0.17052934402589878,0.06961120103463417,7.821324978481136e-10
13,0.3682332788539988,0.35143143365384344,0.27435478780987393,0.27085942163226345,0.2299106368477447,0.20053481726718544,0.18811757179194202,0.17047861297593056,0.06961466014977795,3.2482899154201013e-09
14,0.36825012896248105,0.3514487076180197,0.2743776065868093,0.27085285941965864,0.22990915121766206,0.2005283476192101,0.1881780160805424,0.17042735887461116,0.0696172750411828,2.018081286254339e-09
15,0.3682682081535646,0.35146718473508404,0.27440237603494677,0.2708457598621299,0.22990784874059267,0.20052149607470562,0.1882396298819719,0.17037563505116035,0.06961903700754445,3.27711253924502e-09
16,0.3682875197315614,0.35148687568286135,0.27442908957925727,0.2708381404390184,0.22990673433701603,0.2005142704258826,0.18830236583829496,0.17032349623008328,0.06961993647202065,2.6861906720119288e-09
17,0.3683080671242872,0.35150779178027686,0.2744577404177924,0.27083001955815617,0.22990581309543892,0.20050667915827172,0.18836617598170205,0.17027099843657909,0.0696199629930122,2.303952181645649e-09
18,0.36832985387316225,0.35152994496877416,0.27448832163325915,0.27082141642983976,0.22990509026390527,0.20049873144326733,0.18843101182718885,0.17021819890428425,0.06961910527552204,2.808541775428932e-09
19,0.36835288362277596,0.3515533477927209,0.27452082630121444,0.2708123509434051,0.22990457124111272,0.20049043712991005,0.18849682446274976,0.17016515598546542,0.06961735118307373,2.325571443623627e-09
20,0.36837716010993155,0.3515780133788075,0.274555247593369,0.27080284354793127,0.22990426156715563,0.2004818067359097,0.1885635646369407,0.17011192906371933,0.06961468775016261,3.122171052728746e-09
21,0.3684026871521876,0.35160395541445616,0.27459157887474367,0.27079291513836873,0.2299041669139179,0.2004728514379229,0.18863118284370647,0.17005857846922162,0.06961110119522824,2.3728602153291027e-09
22,0.3684294686359135,0.35163118812524563,0.2746298137936554,0.2707825869481334,0.22990429307513682,0.20046358306108344,0.1886996294043964,0.170005165396507,0.06960657693411852,2.9248751091317514e-09
23,0.36845750850387593,0.3516597262513718,0.2746699463637694,0.27077188044896777,0.2299046459561623,0.20045401406779756,0.1887688545469276,0.16995175182475022,0.06960109959403264,2.890189440150196e-09
24,0.3684868107423866,0.3516895850231607,0.27471197103768197,0.2707608172586459,0.2299052315634431,0.20044415754581169,0.18883880848208504,0.16989840044047863,0.06959465302791415,1.8527662299487224e-09
25,0.36851737936801204,0.35172078013563823,0.27475588277170515,0.27074941905686295,0.22990605599375472,0.2004340271955515,0.18890944147695515,0.16984517456261766,0.06958722032927467,2.3335815219973424e-09
