case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=12,12,66,11,0.0,0.040797313181521355,0.040797313204317585,66,47
N=13,13,78,12,4.440892098500626e-16,0.03798042080812865,0.03798042094036199,78,43
