abs_delta_theta_over_pi,count
2.5682670328390396e-05,1
0.0006506340767235634,1
0.0007244691772836526,1
0.0008189679712298011,1
0.001074632881566805,1
0.0012470623388185405,1
0.0013569521567742056,1
0.0014850254734013874,1
0.0015844318751708727,1
0.0016807889001680244,1
0.0017238463286763696,1
0.0017991020588504576,1
0.0018991960979146615,1
0.0019535316230596543,1
0.00198972222281234,1
0.00208510334097359,1
0.002448315505960022,1
0.002457142277510935,1
0.0024959939651092483,1
0.0026590647567376778,1
0.0026849325300142444,1
0.002694354589032389,1
0.0027320878122197865,1
0.002735737417697012,1
0.0033466743795866165,1
0.003383533934021472,1
0.003491094505615467,1
0.003522948387526827,1
0.003579984998082686,1
0.0038612146132430674,1
0.0038854187245924354,1
0.0038940811002685185,1
0.003911101394920826,1
0.003919763770596909,1
0.004543407039213938,1
0.004666271638869891,1
0.0051073802626977,1
0.005140343750573992,1
0.005313423595007397,1
0.005426148141602519,1
0.00596405767173096,1
0.006012184480879038,1
0.00609422128989745,1
0.006291937917533968,1
0.006579013630282763,1
0.006604696300611153,1
0.006700272619212564,1
0.006751374979843339,1
0.006798449068408643,1
0.0071622656039791385,1
0.007402009056566902,1
0.007449083145132065,1
0.007465486118029283,1
0.007533338764421379,1
0.007539000256352508,1
0.007678057935893026,1
0.007805182495189344,1
0.007825276280588237,1
0.007993417387811971,1
0.008045511407227183,1
0.008049161012704267,1
0.008281660140346307,1
0.008296617294457881,1
0.008404621652456935,1
0.00863143825618946,1
0.008696145483950746,1
0.008706539069911427,1
0.009024025729753754,1
0.009128792633325094,1
0.009133755356965876,1
0.009247368944952658,1
0.009486870387481033,1
0.009528722479164848,1
0.009534186486105656,1
0.009638612297120585,1
0.009674206287980136,1
0.009898003021676151,1
0.010228116436545108,1
0.010490115025203589,1
0.010561487232455632,1
0.010585691343805142,1
0.010611374014133462,1
0.010753759571968816,1
0.010781248824924195,1
0.010885674635938983,1
0.011013747952566095,1
0.011194110870305486,1
0.011316370786203846,1
0.01157104836088875,1
0.011719357380856756,1
0.011745040051185146,1
0.011792178083494476,1
0.012068976960687362,1
0.01237070010934023,1
0.012431182554847141,1
0.0127154326515743,1
0.012887944931917163,1
0.01314764249336514,1
0.01329489468956512,1
0.013433324789947059,1
0.013672199672538961,1
0.013788134711621276,1
0.014019363866848773,1
0.014200458124975546,1
0.014314348847273645,1
0.01433744932476115,1
0.01444690595704821,1
0.014472588627376458,1
0.01450545511440198,1
0.014988083401484715,1
0.015093996748415578,1
0.015104894271669712,1
0.015210451886472364,2
0.015236134556800613,1
0.015254813050898456,1
0.015447520463794086,1
0.01556007146630283,1
0.01563045877577758,1
0.015777856934433617,1
0.01580263975040552,1
0.01632717154757349,1
0.016379039437532487,1
0.0165992414749953,1
0.01667842862358659,1
0.016681866932284378,1
0.016696452090084794,1
0.016977805624296984,1
0.01703407477880361,1
0.01707318674245816,1
0.0171841639801939,1
0.017190387644416154,1
0.01753341428578203,1
0.017684123704347767,1
0.017943514428903476,1
0.017949167639930846,1
0.018234725467507925,1
0.01826629880745525,1
0.01833475778107119,1
0.018366669727644978,1
0.01890579467885409,1
0.018990312996262148,1
0.019015995666590395,1
0.019053693438737584,1
0.019062908965270502,1
0.019121553281393047,1
0.01913900920979531,1
0.019340931689021984,1
0.019445509270825955,1
0.02006540086630571,1
0.0202874458684903,1
0.02041986112204464,1
0.02050203649723037,1
0.020680961192500905,2
0.020700415216876822,1
0.020723441084966186,1
0.02072779984930488,1
0.02105160225765922,1
0.02151938318810648,1
0.021739458381328052,1
0.021789247194982077,1
0.02179807396653299,1
0.022069794851967584,1
0.022084752006079157,1
0.022139863859858486,1
0.022182825397398395,1
0.02233073139499043,1
0.022522543143816503,1
0.022910076766858915,1
0.023184942126815957,1
0.023316857190786265,1
0.023375315781533436,1
0.023385347746891206,1
0.023729180604140393,1
0.023961352120809885,1
0.024074474228891498,1
0.024082021495313057,1
0.02420431571812087,1
0.024233686904994875,1
0.024235452346437304,1
0.024246389472493014,1
0.02433194282045668,1
0.024541894283590094,1
0.02471750274461528,1
0.02480188266418737,1
0.02508613276091467,1
0.02528842018889045,1
0.025595009296873302,1
0.025821825900605826,1
0.02610652693076812,1
0.026191946008233494,1
0.02622517456924964,1
0.02653161650640243,1
0.026671034367674935,1
0.027038577543435242,1
0.027279428847159726,1
0.027305111517487976,1
0.027435626504253192,1
0.027582126726023847,1
0.028039550035819965,1
0.028098396818389385,1
0.028119105629587172,1
0.028124079488717636,1
0.028144788299915492,1
0.029020058379424066,1
0.029387500262412332,1
0.02942883633781341,1
0.029683040513848822,1
0.0300946912609908,1
0.030115306259194768,1
0.030176242785210507,1
0.030247804309042926,1
0.030366412146425464,1
0.03046739956875067,1
0.030735353047447293,1
0.03076594033591833,1
0.030819160438274523,1
0.031122670399424946,1
0.031190530242080412,1
0.03138236796087306,1
0.03161347448524401,1
0.03178441042079625,1
0.03185849422937898,1
0.03200949821331007,1
0.03203886940018401,1
0.032201335932102865,1
0.03254300676695089,1
0.03282355442393654,1
0.03285104367689178,1
0.03298680373059956,1
0.03309849995864525,1
0.03336029555587076,1
0.03346569817742256,1
0.033582340558055354,1
0.033623898366567186,1
0.033718655115264076,1
0.03407061676275494,1
0.03422644755306276,1
0.034306809735339075,1
0.034601794715764016,1
0.034613764905040416,1
0.034723801930198465,1
0.03538144261690595,1
0.03550503615384932,1
0.03555564223615619,1
0.03581743783338162,1
0.036214649080373466,1
0.03647958404962957,1
0.03696587449207668,1
0.037394676910756874,1
0.03751731531576167,1
0.03786514523798042,1
